,0,1,2,3,4,5,6,Stock
42,Equity Share Dividend,110.19,105.95,101.72,101.72,93.24,,abbindia
43,Tax On Dividend,0.00,0.00,0.00,20.91,19.17,,abbindia
44,Equity Dividend Rate (%),275.00,260.00,250.00,240.00,240.00,,abbindia
0,Profit & Loss account of ACC (in Rs. Cr.),Mar 23,Dec 21,Dec 20,Dec 19,Dec 18,,acc
1,,15 mths,12 mths,12 mths,12 mths,12 mths,,acc
2,INCOME,,,,,,,acc
3,Revenue From Operations [Gross],21767.29,15814.40,13486.83,15343.11,14477.47,,acc
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,,acc
5,Revenue From Operations [Net],21767.29,15814.40,13486.83,15343.11,14477.47,,acc
6,Total Operating Revenues,22210.18,16151.67,13785.98,15657.55,14801.62,,acc
7,Other Income,341.89,206.71,216.74,318.43,142.66,,acc
8,Total Revenue,22552.07,16358.38,14002.72,15975.98,14944.28,,acc
9,EXPENSES,,,,,,,acc
10,Cost Of Materials Consumed,9088.68,5484.34,4247.86,5390.40,5369.00,,acc
11,Purchase Of Stock-In Trade,2300.95,921.19,696.89,361.69,89.26,,acc
12,Operating And Direct Expenses,5140.24,3822.99,3416.09,4032.09,3992.82,,acc
13,Changes In Inventories Of FGWIP And Stock In Trade,-193.19,-174.25,142.41,100.81,-124.98,,acc
14,Employee Benefit Expenses,1036.20,836.16,841.21,866.11,883.58,,acc
15,Finance Costs,77.28,54.62,57.08,86.27,87.77,,acc
16,Depreciation And Amortisation Expenses,841.32,600.68,638.84,606.44,603.22,,acc
17,Other Expenses,2931.24,2287.61,2087.43,2495.99,2546.53,,acc
18,Total Expenses,21203.85,13808.89,12126.79,13937.48,13444.49,,acc
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",1348.22,2549.49,1875.93,2038.50,1499.79,,acc
20,Exceptional Items,-161.77,-54.76,-176.01,0.00,0.00,,acc
21,Profit/Loss Before Tax,1186.45,2494.73,1699.92,2038.50,1499.79,,acc
22,Tax Expenses-Continued Operations,,,,,,,acc
23,Current Tax,274.21,636.19,548.06,690.20,457.57,,acc
24,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,,acc
25,Deferred Tax,43.18,7.09,-269.47,-15.22,32.55,,acc
26,Other Direct Taxes,0.00,0.00,0.00,0.00,0.00,,acc
27,Total Tax Expenses,317.39,643.28,278.59,674.98,-10.51,,acc
28,Profit/Loss After Tax And Before ExtraOrdinary Items,869.06,1851.45,1421.33,1363.52,1510.30,,acc
29,Profit/Loss From Continuing Operations,869.06,1851.45,1421.33,1363.52,1510.30,,acc
30,Profit/Loss For The Period,869.06,1851.45,1421.33,1363.52,1510.30,,acc
31,Minority Interest,-0.14,-0.11,-0.08,-0.13,-0.15,,acc
32,Consolidated Profit/Loss After MI And Associates,885.07,1862.99,1430.18,1377.41,1520.47,,acc
33,OTHER ADDITIONAL INFORMATION,,,,,,,acc
34,EARNINGS PER SHARE,,,,,,,acc
35,Basic EPS (Rs.),47.00,99.00,76.00,73.00,81.00,,acc
36,Diluted EPS (Rs.),47.00,99.00,76.00,73.00,81.00,,acc
37,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,,acc
38,Equity Share Dividend,1089.17,262.90,262.90,262.90,281.68,,acc
39,Tax On Dividend,0.00,0.00,0.00,54.04,57.90,,acc
0,Profit & Loss account of AU Small Finance Bank (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,ausmallfinancebank
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,ausmallfinancebank
2,INCOME,,,,,,,ausmallfinancebank
3,Interest / Discount on Advances / Bills,6847.02,4881.55,3947.36,3414.84,2374.19,,ausmallfinancebank
4,Income from Investments,1189.88,780.53,773.04,613.47,333.86,,ausmallfinancebank
5,Interest on Balance with RBI and Other Inter-Bank funds,58.28,87.08,85.01,25.80,31.38,,ausmallfinancebank
6,Others,110.23,172.57,144.64,231.77,209.70,,ausmallfinancebank
7,Total Interest Earned,8205.41,5921.73,4950.05,4285.88,2949.13,,ausmallfinancebank
8,Other Income,1034.46,993.69,1451.55,706.09,461.91,,ausmallfinancebank
9,Total Income,9239.87,6915.43,6401.60,4991.98,3411.04,,ausmallfinancebank
10,EXPENDITURE,,,,,,,ausmallfinancebank
11,Interest Expended,3780.13,2687.61,2584.61,2376.94,1606.53,,ausmallfinancebank
12,Payments to and Provisions for Employees,1793.03,1378.92,980.17,759.62,601.11,,ausmallfinancebank
13,Depreciation,185.42,140.17,104.37,88.62,61.75,,ausmallfinancebank
14,Operating Expenses (excludes Employee Cost & Depreciation),1461.82,893.69,573.88,569.62,419.74,,ausmallfinancebank
15,Total Operating Expenses,3440.27,2412.77,1658.43,1417.86,1082.61,,ausmallfinancebank
16,Provision Towards Income Tax,387.37,365.82,347.72,268.92,195.56,,ausmallfinancebank
17,Provision Towards Deferred Tax,49.35,-41.58,-59.90,-29.73,2.76,,ausmallfinancebank
18,Other Provisions and Contingencies,154.83,360.97,700.06,283.20,141.78,,ausmallfinancebank
19,Total Provisions and Contingencies,591.55,685.21,987.88,522.39,340.10,,ausmallfinancebank
20,Total Expenditure,7811.95,5785.59,5230.91,4317.19,3029.23,,ausmallfinancebank
21,Net Profit / Loss for The Year,1427.93,1129.83,1170.68,674.78,381.81,,ausmallfinancebank
22,Net Profit / Loss After EI & Prior Year Items,1427.93,1129.83,1170.68,674.78,381.81,,ausmallfinancebank
23,Profit / Loss Brought Forward,3382.42,2691.10,1887.32,1572.03,1365.84,,ausmallfinancebank
24,Total Profit / Loss available for Appropriations,4810.35,3820.94,3058.00,2246.81,1747.64,,ausmallfinancebank
25,APPROPRIATIONS,,,,,,,ausmallfinancebank
26,Transfer To / From Statutory Reserve,356.98,282.46,292.67,168.70,95.45,,ausmallfinancebank
27,Transfer To / From Capital Reserve,2.52,18.52,28.87,6.93,2.76,,ausmallfinancebank
28,Transfer To / From Revenue And Other Reserves,0.00,0.00,0.00,0.00,0.00,,ausmallfinancebank
29,Dividend and Dividend Tax for The Previous Year,0.00,0.00,0.00,26.44,0.00,,ausmallfinancebank
30,Equity Share Dividend,31.51,0.00,0.00,0.00,17.48,,ausmallfinancebank
31,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,,ausmallfinancebank
32,Balance Carried Over To Balance Sheet,4287.14,3382.42,2691.10,1887.32,1572.03,,ausmallfinancebank
33,Total Appropriations,4810.35,3820.94,3058.00,2246.81,1747.64,,ausmallfinancebank
34,OTHER INFORMATION,,,,,,,ausmallfinancebank
35,EARNINGS PER SHARE,,,,,,,ausmallfinancebank
36,Basic EPS (Rs.),21.86,36.06,38.19,22.78,13.16,,ausmallfinancebank
37,Diluted EPS (Rs.),21.74,36.06,37.86,22.32,12.90,,ausmallfinancebank
38,DIVIDEND PERCENTAGE,,,,,,,ausmallfinancebank
39,Equity Dividend Rate (%),10.00,5.00,0.00,0.00,8.00,,ausmallfinancebank
0,Profit & Loss account of Aarti Industries (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,aartiindustries
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,aartiindustries
2,INCOME,,,,,,,aartiindustries
3,Revenue From Operations [Gross],7156.20,7017.08,4822.40,4539.63,4659.49,,aartiindustries
4,Less: Excise/Sevice Tax/Other Levies,664.04,919.35,517.18,434.38,0.00,,aartiindustries
5,Revenue From Operations [Net],6492.16,6097.73,4305.22,4105.25,4659.49,,aartiindustries
6,Total Operating Revenues,6618.58,6999.96,4506.10,4186.31,4705.51,,aartiindustries
7,Other Income,0.86,0.80,0.70,8.84,2.10,,aartiindustries
8,Total Revenue,6619.44,7000.76,4506.80,4195.15,4707.61,,aartiindustries
9,EXPENSES,,,,,,,aartiindustries
10,Cost Of Materials Consumed,3462.03,3268.59,1937.56,1780.92,2570.51,,aartiindustries
11,Purchase Of Stock-In Trade,313.94,286.51,244.24,274.65,183.47,,aartiindustries
12,Operating And Direct Expenses,852.95,900.30,734.39,612.91,544.88,,aartiindustries
13,Changes In Inventories Of FGWIP And Stock In Trade,65.70,-261.28,-53.25,0.75,-59.40,,aartiindustries
14,Employee Benefit Expenses,385.33,442.08,371.38,305.22,242.82,,aartiindustries
15,Finance Costs,168.28,114.29,86.37,124.78,182.54,,aartiindustries
16,Depreciation And Amortisation Expenses,310.45,288.52,231.31,185.21,162.68,,aartiindustries
17,Other Expenses,449.66,434.95,290.25,234.53,258.14,,aartiindustries
18,Total Expenses,6008.34,5473.96,3842.25,3518.97,4085.64,,aartiindustries
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",611.10,1526.80,664.55,676.18,621.97,,aartiindustries
20,Exceptional Items,0.00,0.00,0.00,0.00,0.00,,aartiindustries
21,Profit/Loss Before Tax,611.10,1526.80,664.55,676.18,621.97,,aartiindustries
22,Tax Expenses-Continued Operations,,,,,,,aartiindustries
23,Current Tax,107.35,268.12,116.03,118.13,136.65,,aartiindustries
24,Less: MAT Credit Entitlement,40.92,75.88,9.80,7.09,38.79,,aartiindustries
25,Deferred Tax,15.96,27.13,23.10,18.00,21.99,,aartiindustries
26,Other Direct Taxes,0.00,0.00,0.00,0.00,0.00,,aartiindustries
27,Total Tax Expenses,65.87,219.38,129.33,129.42,117.80,,aartiindustries
28,Profit/Loss After Tax And Before ExtraOrdinary Items,545.23,1307.42,535.22,546.76,504.17,,aartiindustries
29,Profit/Loss From Continuing Operations,545.23,1307.42,535.22,546.76,504.17,,aartiindustries
30,Profit/Loss For The Period,545.23,1307.42,535.22,546.76,504.17,,aartiindustries
31,Minority Interest,0.00,-0.23,-11.75,-10.68,-12.44,,aartiindustries
32,Consolidated Profit/Loss After MI And Associates,545.23,1307.19,523.47,536.08,491.73,,aartiindustries
33,OTHER ADDITIONAL INFORMATION,,,,,,,aartiindustries
34,EARNINGS PER SHARE,,,,,,,aartiindustries
35,Basic EPS (Rs.),15.00,36.00,30.00,31.00,60.00,,aartiindustries
36,Diluted EPS (Rs.),15.00,36.00,30.00,31.00,60.00,,aartiindustries
37,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,,aartiindustries
38,Equity Share Dividend,90.63,126.88,46.65,108.24,47.38,,aartiindustries
39,Tax On Dividend,0.00,0.00,0.00,21.87,9.23,,aartiindustries
0,Profit & Loss account of Abbott India (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,abbottindia
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,abbottindia
2,INCOME,,,,,,,abbottindia
3,Revenue From Operations [Gross],5346.73,4910.30,4307.59,4077.59,3662.32,,abbottindia
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,,abbottindia
5,Revenue From Operations [Net],5346.73,4910.30,4307.59,4077.59,3662.32,,abbottindia
6,Total Operating Revenues,5348.73,4919.27,4310.02,4093.14,3678.60,,abbottindia
7,Other Income,154.15,77.21,80.90,114.39,113.29,,abbottindia
8,Total Revenue,5502.88,4996.48,4390.92,4207.53,3791.89,,abbottindia
9,EXPENSES,,,,,,,abbottindia
10,Cost Of Materials Consumed,558.61,495.46,454.32,451.76,406.40,,abbottindia
11,Purchase Of Stock-In Trade,2350.36,2184.03,2040.60,1802.64,1684.38,,abbottindia
12,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,,abbottindia
13,"Changes In Inventories Of FG,WIP And Stock-In Trade",66.09,-22.28,-104.00,61.25,-2.18,,abbottindia
14,Employee Benefit Expenses,563.59,579.46,492.65,476.11,435.58,,abbottindia
15,Finance Costs,15.99,19.10,18.28,8.53,2.25,,abbottindia
16,Depreciation And Amortisation Expenses,69.97,66.10,58.13,59.61,16.92,,abbottindia
17,Other Expenses,604.45,594.88,504.99,544.94,549.69,,abbottindia
18,Total Expenses,4229.06,3916.75,3464.97,3404.84,3093.03,,abbottindia
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",1273.82,1079.73,925.95,802.69,698.85,,abbottindia
20,Exceptional Items,0.00,0.00,0.00,0.00,0.00,,abbottindia
21,Profit/Loss Before Tax,1273.82,1079.73,925.95,802.69,698.85,,abbottindia
22,Tax Expenses-Continued Operations,,,,,,,abbottindia
23,Current Tax,329.41,276.98,242.76,208.04,248.46,,abbottindia
24,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,,abbottindia
25,Deferred Tax,-1.19,-0.13,-3.79,1.48,2.65,,abbottindia
26,Tax For Earlier Years,-3.81,4.18,-3.71,0.25,-2.58,,abbottindia
27,Total Tax Expenses,324.41,281.03,235.26,209.76,248.52,,abbottindia
28,Profit/Loss After Tax And Before ExtraOrdinary Items,949.41,798.70,690.69,592.93,450.33,,abbottindia
29,Profit/Loss From Continuing Operations,949.41,798.70,690.69,592.93,450.33,,abbottindia
30,Profit/Loss For The Period,949.41,798.70,690.69,592.93,450.33,,abbottindia
31,OTHER ADDITIONAL INFORMATION,,,,,,,abbottindia
32,EARNINGS PER SHARE,,,,,,,abbottindia
33,Basic EPS (Rs.),446.78,375.86,325.04,279.04,211.93,,abbottindia
34,Diluted EPS (Rs.),446.78,375.86,325.04,279.04,211.93,,abbottindia
35,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,,abbottindia
36,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,,abbottindia
37,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,,abbottindia
38,"STORES, SPARES AND LOOSE TOOLS",,,,,,,abbottindia
39,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,,abbottindia
40,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,,abbottindia
41,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,,abbottindia
42,Equity Share Dividend,584.36,0.00,0.00,138.12,116.87,,abbottindia
43,Tax On Dividend,0.00,0.00,0.00,28.39,24.02,,abbottindia
44,Equity Dividend Rate (%),3250.00,2750.00,2750.00,2500.00,650.00,,abbottindia
0,Profit & Loss account of Adani Enterprises (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,adanienterprises
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,adanienterprises
2,INCOME,,,,,,,adanienterprises
3,Revenue From Operations [Gross],136825.88,69304.36,39442.95,43297.11,40210.42,,adanienterprises
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,,adanienterprises
5,Revenue From Operations [Net],136825.88,69304.36,39442.95,43297.11,40210.42,,adanienterprises
6,Total Operating Revenues,136977.76,69420.18,39537.13,43402.56,40378.66,,adanienterprises
7,Other Income,1197.36,1012.51,753.80,683.65,571.96,,adanienterprises
8,Total Revenue,138175.12,70432.69,40290.93,44086.21,40950.62,,adanienterprises
9,EXPENSES,,,,,,,adanienterprises
10,Cost Of Materials Consumed,4052.14,2502.72,1948.90,1750.17,1223.17,,adanienterprises
11,Purchase Of Stock-In Trade,99187.75,55148.60,27842.18,32600.03,32598.23,,adanienterprises
12,Operating And Direct Expenses,15077.36,3101.16,1777.54,1242.37,0.00,,adanienterprises
13,Changes In Inventories Of FGWIP And Stock In Trade,-327.16,-3933.82,456.74,310.13,-499.99,,adanienterprises
14,Employee Benefit Expenses,1877.33,1180.56,829.31,682.48,656.40,,adanienterprises
15,Finance Costs,3969.98,2525.88,1376.85,1572.32,1625.07,,adanienterprises
16,Depreciation And Amortisation Expenses,2436.14,1247.78,537.14,472.06,389.77,,adanienterprises
17,Other Expenses,8282.36,7707.76,4177.41,4533.07,4432.05,,adanienterprises
18,Total Expenses,134555.90,69480.64,38946.07,43162.63,40424.70,,adanienterprises
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",3619.22,952.05,1344.86,923.58,525.92,,adanienterprises
20,Exceptional Items,-369.32,0.00,-258.89,198.75,-157.98,,adanienterprises
21,Profit/Loss Before Tax,3249.90,952.05,1085.97,1122.33,367.94,,adanienterprises
22,Tax Expenses-Continued Operations,,,,,,,adanienterprises
23,Current Tax,769.81,391.00,123.73,240.63,159.80,,adanienterprises
24,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,,adanienterprises
25,Deferred Tax,271.15,85.27,216.99,82.95,-23.01,,adanienterprises
26,Other Direct Taxes,0.00,0.00,0.00,0.00,0.00,,adanienterprises
27,Total Tax Expenses,1040.96,476.68,339.65,324.33,144.54,,adanienterprises
28,Profit/Loss After Tax And Before ExtraOrdinary Items,2208.94,475.37,746.32,798.00,223.40,,adanienterprises
29,Profit/Loss From Continuing Operations,2208.94,475.37,746.32,798.00,223.40,,adanienterprises
30,Profit/Loss For The Period,2208.94,475.37,746.32,798.00,314.18,,adanienterprises
31,Minority Interest,51.34,-11.14,-123.12,98.18,211.23,,adanienterprises
32,Consolidated Profit/Loss After MI And Associates,2472.94,776.56,922.64,1138.17,717.14,,adanienterprises
33,OTHER ADDITIONAL INFORMATION,,,,,,,adanienterprises
34,EARNINGS PER SHARE,,,,,,,adanienterprises
35,Basic EPS (Rs.),22.00,7.00,8.00,10.00,7.00,,adanienterprises
36,Diluted EPS (Rs.),22.00,7.00,8.00,10.00,7.00,,adanienterprises
37,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,,adanienterprises
38,Equity Share Dividend,114.00,109.98,0.00,153.97,43.99,,adanienterprises
39,Tax On Dividend,0.00,0.00,0.00,31.66,9.04,,adanienterprises
0,Profit & Loss account of Adani Ports and Special Economic Zone (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,adaniportsspecialeconomiczone
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,adaniportsspecialeconomiczone
2,INCOME,,,,,,,adaniportsspecialeconomiczone
3,Revenue From Operations [Gross],20617.64,15795.81,12425.50,11201.67,10780.98,,adaniportsspecialeconomiczone
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,,adaniportsspecialeconomiczone
5,Revenue From Operations [Net],20617.64,15795.81,12425.50,11201.67,10780.98,,adaniportsspecialeconomiczone
6,Total Operating Revenues,20851.91,15934.03,12549.60,11873.07,10925.44,,adaniportsspecialeconomiczone
7,Other Income,1553.48,2154.78,1970.23,1861.35,1362.34,,adaniportsspecialeconomiczone
8,Total Revenue,22405.39,18088.81,14519.83,13734.42,12287.78,,adaniportsspecialeconomiczone
9,EXPENSES,,,,,,,adaniportsspecialeconomiczone
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,,adaniportsspecialeconomiczone
11,Purchase Of Stock-In Trade,0.00,0.00,0.00,0.00,0.00,,adaniportsspecialeconomiczone
12,Operating And Direct Expenses,5654.56,4629.62,3259.49,3097.26,2760.80,,adaniportsspecialeconomiczone
13,Changes In Inventories Of FGWIP And Stock In Trade,0.00,0.00,0.00,0.00,0.00,,adaniportsspecialeconomiczone
14,Employee Benefit Expenses,1178.17,663.92,615.05,546.52,529.81,,adaniportsspecialeconomiczone
15,Finance Costs,2362.64,2540.58,2255.29,1813.14,1385.19,,adaniportsspecialeconomiczone
16,Depreciation And Amortisation Expenses,3423.24,2739.63,2107.34,1680.28,1373.48,,adaniportsspecialeconomiczone
17,Other Expenses,3072.05,1761.56,-23.62,2290.28,1043.27,,adaniportsspecialeconomiczone
18,Total Expenses,15690.66,12335.31,8213.55,9427.48,7092.55,,adaniportsspecialeconomiczone
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",6714.73,5753.50,6306.28,4306.94,5195.23,,adaniportsspecialeconomiczone
20,Exceptional Items,-1273.38,-405.19,0.00,-58.63,-68.95,,adaniportsspecialeconomiczone
21,Profit/Loss Before Tax,5441.35,5348.31,6306.28,4248.31,5126.28,,adaniportsspecialeconomiczone
22,Tax Expenses-Continued Operations,,,,,,,adaniportsspecialeconomiczone
23,Current Tax,977.90,800.26,1271.51,707.49,1057.60,,adaniportsspecialeconomiczone
24,Less: MAT Credit Entitlement,0.00,160.83,130.63,103.50,195.44,,adaniportsspecialeconomiczone
25,Deferred Tax,-881.52,106.49,102.39,-144.60,219.31,,adaniportsspecialeconomiczone
26,Other Direct Taxes,0.00,0.00,0.00,0.00,0.00,,adaniportsspecialeconomiczone
27,Total Tax Expenses,96.38,745.92,1243.27,459.39,1081.47,,adaniportsspecialeconomiczone
28,Profit/Loss After Tax And Before ExtraOrdinary Items,5344.97,4602.39,5063.01,3788.92,4044.81,,adaniportsspecialeconomiczone
29,Profit/Loss From Continuing Operations,5344.97,4602.39,5063.01,3788.92,4044.81,,adaniportsspecialeconomiczone
30,Profit/Loss For The Period,5344.97,4602.39,5063.01,3788.92,4044.81,,adaniportsspecialeconomiczone
31,Minority Interest,-82.57,-67.15,-54.44,-21.40,-54.53,,adaniportsspecialeconomiczone
32,Consolidated Profit/Loss After MI And Associates,5310.18,4728.09,4994.30,3763.13,3990.22,,adaniportsspecialeconomiczone
33,OTHER ADDITIONAL INFORMATION,,,,,,,adaniportsspecialeconomiczone
34,EARNINGS PER SHARE,,,,,,,adaniportsspecialeconomiczone
35,Basic EPS (Rs.),25.00,22.00,25.00,18.00,19.00,,adaniportsspecialeconomiczone
36,Diluted EPS (Rs.),25.00,22.00,25.00,18.00,19.00,,adaniportsspecialeconomiczone
37,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,,adaniportsspecialeconomiczone
38,Equity Share Dividend,1056.19,1020.88,0.00,691.58,414.19,,adaniportsspecialeconomiczone
39,Tax On Dividend,0.00,0.00,0.00,142.84,85.64,,adaniportsspecialeconomiczone
0,Profit & Loss account of Aditya Birla Capital (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,adityabirlacapital
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,adityabirlacapital
2,INCOME,,,,,,,adityabirlacapital
3,Revenue From Operations [Gross],27415.65,22229.91,19247.79,16691.18,15163.51,,adityabirlacapital
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,,adityabirlacapital
5,Revenue From Operations [Net],27415.65,22229.91,19247.79,16691.18,15163.51,,adityabirlacapital
6,Total Operating Revenues,27415.65,22229.91,19247.79,16691.18,15163.51,,adityabirlacapital
7,Other Income,2785.68,11.44,25.99,18.12,8.46,,adityabirlacapital
8,Total Revenue,30201.33,22241.35,19273.78,16709.30,15171.97,,adityabirlacapital
9,EXPENSES,,,,,,,adityabirlacapital
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,,adityabirlacapital
11,Purchase Of Stock-In Trade,0.00,0.00,0.00,0.00,0.00,,adityabirlacapital
12,Operating And Direct Expenses,17067.97,14623.81,12034.11,9048.47,8313.94,,adityabirlacapital
13,Changes In Inventories Of FGWIP And Stock In Trade,0.00,0.00,0.00,0.00,0.00,,adityabirlacapital
14,Employee Benefit Expenses,1140.07,867.59,758.02,705.46,788.45,,adityabirlacapital
15,Finance Costs,4722.00,3479.53,3915.76,4633.81,4109.06,,adityabirlacapital
16,Depreciation And Amortisation Expenses,144.83,121.91,114.45,102.56,57.89,,adityabirlacapital
17,Other Expenses,782.71,472.46,402.22,402.14,520.07,,adityabirlacapital
18,Total Expenses,24838.67,20295.53,17996.50,15670.49,14017.16,,adityabirlacapital
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",5362.66,1945.82,1277.28,1038.81,1154.81,,adityabirlacapital
20,Exceptional Items,0.00,0.00,0.00,-9.99,0.00,,adityabirlacapital
21,Profit/Loss Before Tax,5362.66,1945.82,1277.28,1028.82,1154.81,,adityabirlacapital
22,Tax Expenses-Continued Operations,,,,,,,adityabirlacapital
23,Current Tax,925.31,623.66,422.44,418.09,629.77,,adityabirlacapital
24,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,,adityabirlacapital
25,Deferred Tax,-114.84,-1.41,24.04,2.81,-56.02,,adityabirlacapital
26,Other Direct Taxes,0.00,0.00,0.00,0.00,0.00,,adityabirlacapital
27,Total Tax Expenses,811.16,626.65,440.04,413.63,569.35,,adityabirlacapital
28,Profit/Loss After Tax And Before ExtraOrdinary Items,4551.50,1319.17,837.24,615.19,585.46,,adityabirlacapital
29,Profit/Loss From Continuing Operations,4551.50,1319.17,837.24,615.19,585.46,,adityabirlacapital
