,Date,Open,High,Low,Close,Adj Close,Volume,Stock,Open Rolling Mean 50 days,Open Rolling Mean 200 days,Open Rolling Mean 10 days,Open Rolling Mean 40 days,rsi,MB,UB,LB,TR,ATR,macd,signal,di+,di-,adx,%K,%D,RSI_Strength,Bollinger_Strength,ADX_Strength,RM Signal,RM_Trend,MACD_Trend,ATR_Signal,ATR_Trend,ADX_Signal,ADX_Trend,Stochastic_Signal
25,2023-11-13,1838.5,1839.1500244140625,1815.0,1834.8499755859375,1834.8499755859375,361409,ACC.NS,,,,,,,,,24.1500244140625,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
26,2023-11-15,1848.0,1858.9000244140625,1829.1500244140625,1836.3499755859375,1836.3499755859375,274781,ACC.NS,,,,,,,,,29.75,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
27,2023-11-16,1843.0,1853.800048828125,1835.4000244140625,1844.8499755859375,1844.8499755859375,215184,ACC.NS,,,,,,,,,18.4000244140625,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
28,2023-11-17,1855.0,1874.300048828125,1842.949951171875,1848.25,1848.25,257285,ACC.NS,,,,,,,,,31.35009765625,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
29,2023-11-20,1848.25,1858.4000244140625,1826.199951171875,1828.449951171875,1828.449951171875,170647,ACC.NS,,,,,,,,,32.2000732421875,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
30,2023-11-21,1832.0,1849.9000244140625,1830.0,1839.550048828125,1839.550048828125,187241,ACC.NS,,,1850.9,,,,,,21.4500732421875,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
31,2023-11-22,1842.050048828125,1847.3499755859375,1803.0,1815.25,1815.25,313236,ACC.NS,,,1848.3800048828125,,,,,,44.3499755859375,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
32,2023-11-23,1826.75,1826.75,1806.0,1819.699951171875,1819.699951171875,254690,ACC.NS,,,1844.1550048828126,,,,,,20.75,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
33,2023-11-24,1822.0,1829.0,1813.0,1820.5,1820.5,188206,ACC.NS,,,1839.9550048828125,,,,,,16.0,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
34,2023-11-28,1830.0,1891.5,1825.0,1869.0,1869.0,934618,ACC.NS,,,1838.5550048828125,,60.156671291639825,1838.6964198521205,1869.6448702106409,1807.7479694936,71.0,,,,,,,74.57627118644068,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
35,2023-11-29,1886.0,1887.1500244140625,1861.0999755859375,1871.800048828125,1871.800048828125,398562,ACC.NS,,,1843.3050048828125,,61.10620734621179,1839.4964250837054,1873.1307927495614,1805.8620574178494,26.050048828125,30.827047020595735,,,,,,77.74016816737289,, ,Overbought,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
36,2023-11-30,1871.800048828125,1891.0,1850.0,1875.550048828125,1875.550048828125,2698012,ACC.NS,,,1845.685009765625,,62.39864524455223,1841.0249982561384,1878.8662898285831,1803.1837066836936,41.0,31.87894617126903,,,,,,81.9774563029661,78.09796521892656, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
37,2023-12-01,1899.050048828125,1911.199951171875,1885.9000244140625,1900.25,1900.25,465342,ACC.NS,,,1851.2900146484376,,69.57106439301032,1844.9750017438616,1893.6301494908225,1796.3198539969007,35.64990234375,32.25505267095751,,,,,,89.87989268638295,83.19917238557397, ,Overbought,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
38,2023-12-04,1979.0,2031.800048828125,1950.0,2019.5,2019.5,1802093,ACC.NS,,,1863.6900146484375,,84.72263405100205,1858.846426827567,1959.790078829356,1757.9027748257781,131.550048828125,41.84147443640187,,,,,,94.6241056804298,88.82715155659294,Overbought,Overbought,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
39,2023-12-05,2023.0,2193.0,2013.75,2184.800048828125,2184.800048828125,3873194,ACC.NS,,,1881.1650146484376,,91.23657672177362,1883.8428606305804,2078.4751903933093,1689.2105308678515,179.25,54.72269405901115,,,,,,97.89744841746794,94.13381559476022,Overbought,,Invalid Value,,,Hold,Bullish,Bullish,Hold,Hold,Hold
40,2023-12-06,2201.0,2218.0,2114.0,2128.25,2128.25,1764074,ACC.NS,,,1918.0650146484375,,78.85023325778523,1904.692862374442,2133.9645433170363,1675.4211814318478,104.0,59.22035935090965,,,,,,78.37349397590361,90.29834935793379,Overbought,Overbought,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Bearish
41,2023-12-07,2143.949951171875,2153.550048828125,2118.60009765625,2141.550048828125,2141.550048828125,557975,ACC.NS,,,1948.2550048828125,,79.55330898589,1925.8857247488838,2182.3515368646586,1669.4199126331089,34.949951171875,57.05833584033721,,,,,,81.57832501882531,85.94975580406562,Overbought,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Bearish
