,Value,Num,Stock
5,Book Value Per Share,--,abbottindia
0,Open,- -,abbottindia
1,Previous Close,- -,abbottindia
2,Volume,- -,abbottindia
3,Value(lacs),- -,abbottindia
0,High,- -,abbottindia
1,Low,- -,abbottindia
2,ATP,- -,abbottindia
3,Spot,- -,abbottindia
0,Open,2502.4,adanienterprises
1,Previous Close,2502.45,adanienterprises
2,Volume,1203019.0,adanienterprises
3,Value (Lacs),29718.18,adanienterprises
4,i  VWAP,2489.13,adanienterprises
5,Beta,,adanienterprises
0,High,2533.65,adanienterprises
1,Low,2458.9,adanienterprises
2,UC Limit,2752.65,adanienterprises
3,LC Limit,2252.2,adanienterprises
4,52 Week High,4190.0,adanienterprises
5,52 Week Low,1017.45,adanienterprises
0,TTM EPS See historical trend,23.49  (+174.78% YoY),adanienterprises
1,TTM PE See historical trend,105.16  (Low PE),adanienterprises
2,P/B See historical trend,10.82 (High P/B),adanienterprises
3,Face Value,1.00,adanienterprises
0,Mkt Cap (Rs. Cr.),281614,adanienterprises
1,Dividend Yield,0.05,adanienterprises
2,20D Avg Volume,4630910,adanienterprises
3,20D Avg Delivery(%),--,adanienterprises
4,Sector PE,91.67,adanienterprises
5,Book Value Per Share,228.24,adanienterprises
0,Open,- -,adanienterprises
1,Previous Close,- -,adanienterprises
2,Volume,- -,adanienterprises
3,Value(lacs),- -,adanienterprises
0,High,- -,adanienterprises
1,Low,- -,adanienterprises
2,ATP,- -,adanienterprises
3,Spot,- -,adanienterprises
0,Open,832.0,adaniportsspecialeconomiczone
1,Previous Close,831.25,adaniportsspecialeconomiczone
2,Volume,3016411.0,adaniportsspecialeconomiczone
3,Value (Lacs),24675.75,adaniportsspecialeconomiczone
4,i  VWAP,823.76,adaniportsspecialeconomiczone
5,Beta,,adaniportsspecialeconomiczone
0,High,837.6,adaniportsspecialeconomiczone
1,Low,815.0,adaniportsspecialeconomiczone
2,UC Limit,914.35,adaniportsspecialeconomiczone
3,LC Limit,748.15,adaniportsspecialeconomiczone
4,52 Week High,987.85,adaniportsspecialeconomiczone
5,52 Week Low,395.1,adaniportsspecialeconomiczone
0,TTM EPS See historical trend,29.01  (+35.56% YoY),adaniportsspecialeconomiczone
1,TTM PE See historical trend,28.20  (Average PE),adaniportsspecialeconomiczone
2,P/B See historical trend,5.51 (High P/B),adaniportsspecialeconomiczone
3,Face Value,2.00,adaniportsspecialeconomiczone
0,Mkt Cap (Rs. Cr.),176710,adaniportsspecialeconomiczone
1,Dividend Yield,0.61,adaniportsspecialeconomiczone
2,20D Avg Volume,0,adaniportsspecialeconomiczone
3,20D Avg Delivery(%),--,adaniportsspecialeconomiczone
4,Sector PE,78.86,adaniportsspecialeconomiczone
5,Book Value Per Share,148.37,adaniportsspecialeconomiczone
0,Open,- -,adaniportsspecialeconomiczone
1,Previous Close,- -,adaniportsspecialeconomiczone
2,Volume,- -,adaniportsspecialeconomiczone
3,Value(lacs),- -,adaniportsspecialeconomiczone
0,High,- -,adaniportsspecialeconomiczone
1,Low,- -,adaniportsspecialeconomiczone
2,ATP,- -,adaniportsspecialeconomiczone
3,Spot,- -,adaniportsspecialeconomiczone
0,Open,182.5,adityabirlacapital
1,Previous Close,182.95,adityabirlacapital
2,Volume,2871977.0,adityabirlacapital
3,Value (Lacs),5173.87,adityabirlacapital
4,i  VWAP,181.58,adityabirlacapital
5,Beta,,adityabirlacapital
0,High,183.8,adityabirlacapital
1,Low,179.5,adityabirlacapital
2,UC Limit,201.2,adityabirlacapital
3,LC Limit,164.65,adityabirlacapital
4,52 Week High,199.3,adityabirlacapital
5,52 Week Low,106.65,adityabirlacapital
0,TTM EPS See historical trend,19.30  (+154.42% YoY),adityabirlacapital
1,TTM PE See historical trend,9.33  (Low PE),adityabirlacapital
2,P/B See historical trend,2.87 (High P/B),adityabirlacapital
3,Face Value,10.00,adityabirlacapital
0,Mkt Cap (Rs. Cr.),46815,adityabirlacapital
1,Dividend Yield,0.00,adityabirlacapital
2,20D Avg Volume,4653417,adityabirlacapital
3,20D Avg Delivery(%),--,adityabirlacapital
4,Sector PE,28.73,adityabirlacapital
5,Book Value Per Share,62.76,adityabirlacapital
0,Open,- -,adityabirlacapital
1,Previous Close,- -,adityabirlacapital
2,Volume,- -,adityabirlacapital
3,Value(lacs),- -,adityabirlacapital
0,High,- -,adityabirlacapital
1,Low,- -,adityabirlacapital
2,ATP,- -,adityabirlacapital
3,Spot,- -,adityabirlacapital
0,Open,223.5,adityabirlafashionretail
1,Previous Close,225.5,adityabirlafashionretail
2,Volume,1467516.0,adityabirlafashionretail
3,Value (Lacs),3262.29,adityabirlafashionretail
4,i  VWAP,223.29,adityabirlafashionretail
5,Beta,,adityabirlafashionretail
0,High,225.05,adityabirlafashionretail
1,Low,221.55,adityabirlafashionretail
2,UC Limit,248.05,adityabirlafashionretail
3,LC Limit,202.95,adityabirlafashionretail
4,52 Week High,359.5,adityabirlafashionretail
5,52 Week Low,184.4,adityabirlafashionretail
0,TTM EPS See historical trend,-2.90,adityabirlafashionretail
1,TTM PE See historical trend,--  (Low PE),adityabirlafashionretail
2,P/B See historical trend,7.78 (Low P/B),adityabirlafashionretail
3,Face Value,10.00,adityabirlafashionretail
0,Mkt Cap (Rs. Cr.),21098,adityabirlafashionretail
1,Dividend Yield,0.00,adityabirlafashionretail
2,20D Avg Volume,0,adityabirlafashionretail
3,20D Avg Delivery(%),--,adityabirlafashionretail
4,Sector PE,103.71,adityabirlafashionretail
5,Book Value Per Share,28.58,adityabirlafashionretail
0,Open,- -,adityabirlafashionretail
1,Previous Close,- -,adityabirlafashionretail
2,Volume,- -,adityabirlafashionretail
3,Value(lacs),- -,adityabirlafashionretail
0,High,- -,adityabirlafashionretail
1,Low,- -,adityabirlafashionretail
2,ATP,- -,adityabirlafashionretail
3,Spot,- -,adityabirlafashionretail
0,Open,3659.85,alkemlaboratories
1,Previous Close,3659.9,alkemlaboratories
2,Volume,62007.0,alkemlaboratories
3,Value (Lacs),2285.11,alkemlaboratories
4,i  VWAP,3661.97,alkemlaboratories
5,Beta,,alkemlaboratories
0,High,3694.0,alkemlaboratories
1,Low,3616.95,alkemlaboratories
2,UC Limit,4025.85,alkemlaboratories
3,LC Limit,3293.95,alkemlaboratories
4,52 Week High,4243.0,alkemlaboratories
5,52 Week Low,2940.05,alkemlaboratories
0,TTM EPS See historical trend,95.62  (-12.41% YoY),alkemlaboratories
1,TTM PE See historical trend,38.54  (High PE),alkemlaboratories
2,P/B See historical trend,4.98 (Average P/B),alkemlaboratories
3,Face Value,2.00,alkemlaboratories
0,Mkt Cap (Rs. Cr.),44063,alkemlaboratories
1,Dividend Yield,1.36,alkemlaboratories
2,20D Avg Volume,158160,alkemlaboratories
3,20D Avg Delivery(%),--,alkemlaboratories
4,Sector PE,44.47,alkemlaboratories
5,Book Value Per Share,739.96,alkemlaboratories
0,Open,- -,alkemlaboratories
1,Previous Close,- -,alkemlaboratories
2,Volume,- -,alkemlaboratories
3,Value(lacs),- -,alkemlaboratories
0,High,- -,alkemlaboratories
1,Low,- -,alkemlaboratories
2,ATP,- -,alkemlaboratories
3,Spot,- -,alkemlaboratories
0,Open,436.5,ambujacements
1,Previous Close,436.65,ambujacements
2,Volume,2289507.0,ambujacements
3,Value (Lacs),9802.52,ambujacements
4,i  VWAP,429.74,ambujacements
5,Beta,,ambujacements
0,High,438.35,ambujacements
1,Low,425.05,ambujacements
2,UC Limit,480.3,ambujacements
3,LC Limit,393.0,ambujacements
4,52 Week High,598.0,ambujacements
5,52 Week Low,315.3,ambujacements
0,TTM EPS See historical trend,10.47  (-12.18% YoY),ambujacements
1,TTM PE See historical trend,40.89  (Average PE),ambujacements
2,P/B See historical trend,2.62 (Average P/B),ambujacements
3,Face Value,2.00,ambujacements
0,Mkt Cap (Rs. Cr.),85015,ambujacements
1,Dividend Yield,0.58,ambujacements
2,20D Avg Volume,3811972,ambujacements
3,20D Avg Delivery(%),--,ambujacements
4,Sector PE,48.24,ambujacements
5,Book Value Per Share,163.67,ambujacements
0,Open,- -,ambujacements
1,Previous Close,- -,ambujacements
2,Volume,- -,ambujacements
3,Value(lacs),- -,ambujacements
0,High,- -,ambujacements
1,Low,- -,ambujacements
2,ATP,- -,ambujacements
3,Spot,- -,ambujacements
0,Open,5051.45,apollohospitalsenterprises
1,Previous Close,5075.15,apollohospitalsenterprises
2,Volume,509910.0,apollohospitalsenterprises
3,Value (Lacs),25527.62,apollohospitalsenterprises
4,i  VWAP,4981.58,apollohospitalsenterprises
5,Beta,,apollohospitalsenterprises
0,High,5059.8,apollohospitalsenterprises
1,Low,4929.0,apollohospitalsenterprises
2,UC Limit,5582.65,apollohospitalsenterprises
3,LC Limit,4567.65,apollohospitalsenterprises
4,52 Week High,5364.0,apollohospitalsenterprises
5,52 Week Low,4123.0,apollohospitalsenterprises
0,TTM EPS See historical trend,46.50  (-24.32% YoY),apollohospitalsenterprises
1,TTM PE See historical trend,107.66  (Average PE),apollohospitalsenterprises
2,P/B See historical trend,12.20 (High P/B),apollohospitalsenterprises
3,Face Value,5.00,apollohospitalsenterprises
0,Mkt Cap (Rs. Cr.),71983,apollohospitalsenterprises
1,Dividend Yield,0.30,apollohospitalsenterprises
2,20D Avg Volume,439891,apollohospitalsenterprises
3,20D Avg Delivery(%),--,apollohospitalsenterprises
4,Sector PE,69.87,apollohospitalsenterprises
5,Book Value Per Share,410.30,apollohospitalsenterprises
0,Open,- -,apollohospitalsenterprises
1,Previous Close,- -,apollohospitalsenterprises
2,Volume,- -,apollohospitalsenterprises
3,Value(lacs),- -,apollohospitalsenterprises
0,High,- -,apollohospitalsenterprises
1,Low,- -,apollohospitalsenterprises
2,ATP,- -,apollohospitalsenterprises
3,Spot,- -,apollohospitalsenterprises
0,Open,370.0,apollotyres
1,Previous Close,373.05,apollotyres
2,Volume,2135884.0,apollotyres
3,Value (Lacs),8093.93,apollotyres
4,i  VWAP,376.33,apollotyres
5,Beta,,apollotyres
0,High,379.85,apollotyres
1,Low,370.0,apollotyres
2,UC Limit,410.35,apollotyres
3,LC Limit,335.75,apollotyres
4,52 Week High,440.9,apollotyres
5,52 Week Low,262.0,apollotyres
0,TTM EPS See historical trend,20.64  (+86.87% YoY),apollotyres
1,TTM PE See historical trend,18.36  (Average PE),apollotyres
2,P/B See historical trend,2.05 (High P/B),apollotyres
3,Face Value,1.00,apollotyres
0,Mkt Cap (Rs. Cr.),24067,apollotyres
1,Dividend Yield,1.19,apollotyres
2,20D Avg Volume,2301967,apollotyres
3,20D Avg Delivery(%),--,apollotyres
4,Sector PE,45.48,apollotyres
5,Book Value Per Share,185.04,apollotyres
0,Open,- -,apollotyres
1,Previous Close,- -,apollotyres
2,Volume,- -,apollotyres
3,Value(lacs),- -,apollotyres
0,High,- -,apollotyres
1,Low,- -,apollotyres
2,ATP,- -,apollotyres
3,Spot,- -,apollotyres
0,Open,183.25,ashokleyland
1,Previous Close,183.65,ashokleyland
2,Volume,5632691.0,ashokleyland
3,Value (Lacs),10265.58,ashokleyland
4,i  VWAP,182.44,ashokleyland
5,Beta,,ashokleyland
0,High,184.15,ashokleyland
1,Low,181.1,ashokleyland
2,UC Limit,202.0,ashokleyland
3,LC Limit,165.3,ashokleyland
4,52 Week High,191.5,ashokleyland
5,52 Week Low,133.1,ashokleyland
0,TTM EPS See historical trend,"6.06  (+10,769.01% YoY)",ashokleyland
1,TTM PE See historical trend,30.07  (Average PE),ashokleyland
2,P/B See historical trend,6.26 (High P/B),ashokleyland
3,Face Value,1.00,ashokleyland
0,Mkt Cap (Rs. Cr.),53511,ashokleyland
1,Dividend Yield,1.43,ashokleyland
2,20D Avg Volume,20259789,ashokleyland
3,20D Avg Delivery(%),--,ashokleyland
4,Sector PE,54.13,ashokleyland
5,Book Value Per Share,29.12,ashokleyland
0,Open,- -,ashokleyland
1,Previous Close,- -,ashokleyland
2,Volume,- -,ashokleyland
3,Value(lacs),- -,ashokleyland
0,High,- -,ashokleyland
1,Low,- -,ashokleyland
2,ATP,- -,ashokleyland
3,Spot,- -,ashokleyland
0,Open,3206.3,asianpaints
1,Previous Close,3206.3,asianpaints
2,Volume,901084.0,asianpaints
3,Value (Lacs),28963.99,asianpaints
4,i  VWAP,3205.77,asianpaints
5,Beta,,asianpaints
0,High,3228.0,asianpaints
1,Low,3195.0,asianpaints
2,UC Limit,3526.9,asianpaints
3,LC Limit,2885.7,asianpaints
4,52 Week High,3582.9,asianpaints
5,52 Week Low,2685.85,asianpaints
0,TTM EPS See historical trend,48.37  (+33.36% YoY),asianpaints
1,TTM PE See historical trend,66.45  (Low PE),asianpaints
2,P/B See historical trend,21.71 (Average P/B),asianpaints
3,Face Value,1.00,asianpaints
0,Mkt Cap (Rs. Cr.),308320,asianpaints
1,Dividend Yield,0.80,asianpaints
2,20D Avg Volume,820051,asianpaints
3,20D Avg Delivery(%),--,asianpaints
4,Sector PE,72.08,asianpaints
5,Book Value Per Share,148.03,asianpaints
0,Open,- -,asianpaints
1,Previous Close,- -,asianpaints
2,Volume,- -,asianpaints
3,Value(lacs),- -,asianpaints
0,High,- -,asianpaints
1,Low,- -,asianpaints
2,ATP,- -,asianpaints
3,Spot,- -,asianpaints
0,Open,1909.8,astrallimited
1,Previous Close,1902.7,astrallimited
2,Volume,307241.0,astrallimited
3,Value (Lacs),5815.15,astrallimited
4,i  VWAP,1892.24,astrallimited
5,Beta,,astrallimited
0,High,1914.0,astrallimited
1,Low,1876.25,astrallimited
2,UC Limit,2092.95,astrallimited
3,LC Limit,1712.45,astrallimited
4,52 Week High,2058.0,astrallimited
5,52 Week Low,1297.8,astrallimited
0,TTM EPS See historical trend,18.20  (-26.66% YoY),astrallimited
1,TTM PE See historical trend,103.99  (High PE),astrallimited
2,P/B See historical trend,16.08 (Average P/B),astrallimited
3,Face Value,1.00,astrallimited
0,Mkt Cap (Rs. Cr.),50842,astrallimited
1,Dividend Yield,0.18,astrallimited
2,20D Avg Volume,1589284,astrallimited
3,20D Avg Delivery(%),--,astrallimited
4,Sector PE,79.06,astrallimited
5,Book Value Per Share,117.68,astrallimited
0,Open,- -,astrallimited
1,Previous Close,- -,astrallimited
2,Volume,- -,astrallimited
3,Value(lacs),- -,astrallimited
0,High,- -,astrallimited
1,Low,- -,astrallimited
2,ATP,- -,astrallimited
3,Spot,- -,astrallimited
0,Open,7182.0,atul
1,Previous Close,7238.35,atul
2,Volume,46167.0,atul
3,Value (Lacs),3300.46,atul
4,i  VWAP,7144.11,atul
5,Beta,,atul
0,High,7241.5,atul
1,Low,7070.9,atul
2,UC Limit,7962.15,atul
3,LC Limit,6514.55,atul
4,52 Week High,9449.75,atul
5,52 Week Low,6466.75,atul
0,TTM EPS See historical trend,153.46  (-24.88% YoY),atul
1,TTM PE See historical trend,46.59  (High PE),atul
2,P/B See historical trend,4.74 (Average P/B),atul
3,Face Value,10.00,atul
0,Mkt Cap (Rs. Cr.),21099,atul
1,Dividend Yield,0.45,atul
2,20D Avg Volume,44064,atul
3,20D Avg Delivery(%),--,atul
4,Sector PE,41.64,atul
5,Book Value Per Share,1507.35,atul
0,Open,- -,atul
1,Previous Close,- -,atul
2,Volume,- -,atul
3,Value(lacs),- -,atul
0,High,- -,atul
1,Low,- -,atul
2,ATP,- -,atul
3,Spot,- -,atul
0,Open,894.6,aurobindopharma
1,Previous Close,894.6,aurobindopharma
2,Volume,1612327.0,aurobindopharma
3,Value (Lacs),14349.71,aurobindopharma
4,i  VWAP,891.54,aurobindopharma
5,Beta,,aurobindopharma
0,High,899.5,aurobindopharma
1,Low,886.25,aurobindopharma
2,UC Limit,984.05,aurobindopharma
3,LC Limit,805.15,aurobindopharma
4,52 Week High,907.7,aurobindopharma
5,52 Week Low,397.2,aurobindopharma
0,TTM EPS See historical trend,33.75  (-17.56% YoY),aurobindopharma
1,TTM PE See historical trend,26.37  (High PE),aurobindopharma
2,P/B See historical trend,2.12 (Average P/B),aurobindopharma
3,Face Value,1.00,aurobindopharma
0,Mkt Cap (Rs. Cr.),52149,aurobindopharma
1,Dividend Yield,0.34,aurobindopharma
2,20D Avg Volume,1808861,aurobindopharma
3,20D Avg Delivery(%),--,aurobindopharma
4,Sector PE,44.47,aurobindopharma
5,Book Value Per Share,419.40,aurobindopharma
0,Open,- -,aurobindopharma
1,Previous Close,- -,aurobindopharma
2,Volume,- -,aurobindopharma
3,Value(lacs),- -,aurobindopharma
0,High,- -,aurobindopharma
1,Low,- -,aurobindopharma
2,ATP,- -,aurobindopharma
3,Spot,- -,aurobindopharma
0,Open,5176.0,bajajauto
1,Previous Close,5176.65,bajajauto
2,Volume,622924.0,bajajauto
3,Value (Lacs),32285.84,bajajauto
4,i  VWAP,5214.98,bajajauto
5,Beta,,bajajauto
0,High,5263.35,bajajauto
1,Low,5166.1,bajajauto
2,UC Limit,5694.3,bajajauto
3,LC Limit,4659.0,bajajauto
4,52 Week High,5274.9,bajajauto
5,52 Week Low,3461.25,bajajauto
0,TTM EPS See historical trend,231.17  (+8.61% YoY),bajajauto
1,TTM PE See historical trend,22.42  (High PE),bajajauto
2,P/B See historical trend,5.02 (High P/B),bajajauto
3,Face Value,10.00,bajajauto
0,Mkt Cap (Rs. Cr.),146655,bajajauto
1,Dividend Yield,2.70,bajajauto
2,20D Avg Volume,418470,bajajauto
3,20D Avg Delivery(%),--,bajajauto
4,Sector PE,28.28,bajajauto
5,Book Value Per Share,1031.90,bajajauto
0,Open,- -,bajajauto
1,Previous Close,- -,bajajauto
2,Volume,- -,bajajauto
3,Value(lacs),- -,bajajauto
0,High,- -,bajajauto
1,Low,- -,bajajauto
2,ATP,- -,bajajauto
3,Spot,- -,bajajauto
0,Open,7488.65,bajajfinance
1,Previous Close,7548.65,bajajfinance
2,Volume,844190.0,bajajfinance
3,Value (Lacs),63643.48,bajajfinance
4,i  VWAP,7583.18,bajajfinance
5,Beta,,bajajfinance
0,High,7647.0,bajajfinance
1,Low,7483.0,bajajfinance
2,UC Limit,8303.5,bajajfinance
3,LC Limit,6793.8,bajajfinance
4,52 Week High,7999.9,bajajfinance
5,52 Week Low,5485.7,bajajfinance
0,TTM EPS See historical trend,203.80  (+42.69% YoY),bajajfinance
1,TTM PE See historical trend,36.99  (Low PE),bajajfinance
2,P/B See historical trend,10.54 (High P/B),bajajfinance
3,Face Value,2.00,bajajfinance
0,Mkt Cap (Rs. Cr.),456802,bajajfinance
1,Dividend Yield,0.40,bajajfinance
2,20D Avg Volume,810458,bajajfinance
3,20D Avg Delivery(%),--,bajajfinance
4,Sector PE,28.73,bajajfinance
5,Book Value Per Share,715.45,bajajfinance
0,Open,- -,bajajfinance
1,Previous Close,- -,bajajfinance
2,Volume,- -,bajajfinance
3,Value(lacs),- -,bajajfinance
0,High,- -,bajajfinance
1,Low,- -,bajajfinance
2,ATP,- -,bajajfinance
3,Spot,- -,bajajfinance
0,Open,1554.9,bajajfinserv
1,Previous Close,1559.95,bajajfinserv
2,Volume,1076887.0,bajajfinserv
3,Value (Lacs),16727.82,bajajfinserv
4,i  VWAP,1554.25,bajajfinserv
5,Beta,,bajajfinserv
0,High,1568.2,bajajfinserv
1,Low,1545.1,bajajfinserv
2,UC Limit,1715.9,bajajfinserv
3,LC Limit,1403.95,bajajfinserv
4,52 Week High,1823.95,bajajfinserv
5,52 Week Low,1215.0,bajajfinserv
0,TTM EPS See historical trend,44.26  (+40.06% YoY),bajajfinserv
1,TTM PE See historical trend,35.10  (Low PE),bajajfinserv
2,P/B See historical trend,0.37,bajajfinserv
3,Face Value,5.00,bajajfinserv
0,Mkt Cap (Rs. Cr.),247420,bajajfinserv
1,Dividend Yield,0.26,bajajfinserv
2,20D Avg Volume,1326690,bajajfinserv
3,20D Avg Delivery(%),--,bajajfinserv
4,Sector PE,40.04,bajajfinserv
5,Book Value Per Share,4167.46,bajajfinserv
0,Open,- -,bajajfinserv
1,Previous Close,- -,bajajfinserv
2,Volume,- -,bajajfinserv
3,Value(lacs),- -,bajajfinserv
0,High,- -,bajajfinserv
1,Low,- -,bajajfinserv
2,ATP,- -,bajajfinserv
3,Spot,- -,bajajfinserv
0,Open,2503.9,balkrishnaindustries
1,Previous Close,2526.9,balkrishnaindustries
2,Volume,487129.0,balkrishnaindustries
3,Value (Lacs),12423.25,balkrishnaindustries
4,i  VWAP,2538.78,balkrishnaindustries
5,Beta,,balkrishnaindustries
0,High,2577.25,balkrishnaindustries
1,Low,2501.15,balkrishnaindustries
2,UC Limit,2779.55,balkrishnaindustries
3,LC Limit,2274.25,balkrishnaindustries
4,52 Week High,2577.25,balkrishnaindustries
5,52 Week Low,1796.3,balkrishnaindustries
0,TTM EPS See historical trend,55.99  (-23.34% YoY),balkrishnaindustries
1,TTM PE See historical trend,45.55  (High PE),balkrishnaindustries
2,P/B See historical trend,7.11 (High P/B),balkrishnaindustries
3,Face Value,2.00,balkrishnaindustries
0,Mkt Cap (Rs. Cr.),49302,balkrishnaindustries
1,Dividend Yield,0.63,balkrishnaindustries
2,20D Avg Volume,212888,balkrishnaindustries
3,20D Avg Delivery(%),--,balkrishnaindustries
4,Sector PE,45.48,balkrishnaindustries
5,Book Value Per Share,358.63,balkrishnaindustries
0,Open,- -,balkrishnaindustries
1,Previous Close,- -,balkrishnaindustries
2,Volume,- -,balkrishnaindustries
3,Value(lacs),- -,balkrishnaindustries
0,High,- -,balkrishnaindustries
1,Low,- -,balkrishnaindustries
2,ATP,- -,balkrishnaindustries
3,Spot,- -,balkrishnaindustries
0,Open,437.0,balrampurchinimills
1,Previous Close,439.05,balrampurchinimills
2,Volume,1906867.0,balrampurchinimills
3,Value (Lacs),8404.52,balrampurchinimills
4,i  VWAP,439.68,balrampurchinimills
5,Beta,,balrampurchinimills
0,High,443.95,balrampurchinimills
1,Low,428.5,balrampurchinimills
2,UC Limit,482.95,balrampurchinimills
3,LC Limit,395.15,balrampurchinimills
4,52 Week High,449.5,balrampurchinimills
5,52 Week Low,307.3,balrampurchinimills
0,TTM EPS See historical trend,17.11  (-12.74% YoY),balrampurchinimills
1,TTM PE See historical trend,25.76  (Average PE),balrampurchinimills
2,P/B See historical trend,3.25 (High P/B),balrampurchinimills
3,Face Value,1.00,balrampurchinimills
0,Mkt Cap (Rs. Cr.),8892,balrampurchinimills
1,Dividend Yield,0.57,balrampurchinimills
2,20D Avg Volume,3255722,balrampurchinimills
