,0,1,2,3,4,5,6,Stock
5,Net Cash Used From Financing Activities,-1028.37,-2245.84,-2243.69,57.94,-352.68,,britanniaindustries
6,Foreign Exchange Gains / Losses,10.06,3.30,-2.44,5.69,3.31,,britanniaindustries
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,britanniaindustries
8,Net Inc/Dec In Cash And Cash Equivalents,-9.16,-32.13,66.20,16.54,-49.12,,britanniaindustries
9,Cash And Cash Equivalents Begin of Year,109.32,141.45,75.25,58.72,107.84,,britanniaindustries
10,Cash And Cash Equivalents End Of Year,100.16,109.32,141.45,75.26,58.72,,britanniaindustries
0,Cash Flow of Birlasoft (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,birlasoft
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,birlasoft
2,Net Profit/Loss Before Extraordinary Items And Tax,331.58,463.64,320.83,224.35,292.16,,birlasoft
3,Net CashFlow From Operating Activities,560.92,280.69,557.84,309.91,-71.58,,birlasoft
4,Net Cash Used In Investing Activities,251.69,-306.68,-444.45,-43.75,124.80,,birlasoft
5,Net Cash Used From Financing Activities,-636.20,-146.73,-96.87,-179.69,-116.16,,birlasoft
6,Foreign Exchange Gains / Losses,-0.12,-2.81,0.00,1.42,-1.49,,birlasoft
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,-38.99,,birlasoft
8,Net Inc/Dec In Cash And Cash Equivalents,176.29,-175.53,16.53,87.88,-103.42,,birlasoft
9,Cash And Cash Equivalents Begin of Year,290.56,466.09,449.57,361.68,465.10,,birlasoft
10,Cash And Cash Equivalents End Of Year,466.85,290.56,466.09,449.57,361.68,,birlasoft
0,Cash Flow of Chambal Fertilisers and Chemicals (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,chambalfertiliserschemicals
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,chambalfertiliserschemicals
2,Net Profit/Loss Before Extraordinary Items And Tax,1416.33,2230.90,2359.53,1329.33,833.43,,chambalfertiliserschemicals
3,Net CashFlow From Operating Activities,3239.26,-24.23,6943.55,827.09,-1129.87,,chambalfertiliserschemicals
4,Net Cash Used In Investing Activities,-1873.16,-119.13,-196.26,-455.25,-1125.18,,chambalfertiliserschemicals
5,Net Cash Used From Financing Activities,-1861.99,-212.79,-6006.85,-283.19,2263.00,,chambalfertiliserschemicals
6,Foreign Exchange Gains / Losses,0.80,0.26,1.34,-7.06,-6.33,,chambalfertiliserschemicals
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,chambalfertiliserschemicals
8,Net Inc/Dec In Cash And Cash Equivalents,-495.09,-355.89,741.78,81.59,1.62,,chambalfertiliserschemicals
9,Cash And Cash Equivalents Begin of Year,532.02,887.91,146.13,64.54,62.92,,chambalfertiliserschemicals
10,Cash And Cash Equivalents End Of Year,36.93,532.02,887.91,146.13,64.54,,chambalfertiliserschemicals
0,Cash Flow of Colgate Palmolive (India) (in Rs. Cr.),Mar 10,Mar 09,Mar 08,Mar 07,Mar 06,,colgatepalmoliveindia
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,colgatepalmoliveindia
2,Net Profit/Loss Before Extraordinary Items And Tax,500.39,348.53,305.94,195.45,190.72,,colgatepalmoliveindia
3,Net CashFlow From Operating Activities,404.00,349.67,291.35,157.68,187.78,,colgatepalmoliveindia
4,Net Cash Used In Investing Activities,29.08,22.46,9.61,4.01,-35.37,,colgatepalmoliveindia
5,Net Cash Used From Financing Activities,-338.80,-263.47,-278.13,-136.04,-120.62,,colgatepalmoliveindia
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,colgatepalmoliveindia
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,colgatepalmoliveindia
8,Net Inc/Dec In Cash And Cash Equivalents,94.27,108.65,22.83,25.66,31.79,,colgatepalmoliveindia
9,Cash And Cash Equivalents Begin of Year,253.40,144.75,125.30,89.21,57.42,,colgatepalmoliveindia
10,Cash And Cash Equivalents End Of Year,347.67,253.40,148.13,114.86,89.21,,colgatepalmoliveindia
0,Cash Flow of Crompton Greaves Consumer Electrical (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,cromptongreavesconsumerelectrical
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,cromptongreavesconsumerelectrical
2,Net Profit/Loss Before Extraordinary Items And Tax,612.15,751.54,723.63,590.69,559.84,,cromptongreavesconsumerelectrical
3,Net CashFlow From Operating Activities,552.59,723.38,830.29,410.92,298.93,,cromptongreavesconsumerelectrical
4,Net Cash Used In Investing Activities,263.16,-1722.88,-495.73,8.90,-168.29,,cromptongreavesconsumerelectrical
5,Net Cash Used From Financing Activities,-910.53,907.34,-96.17,-512.77,-186.15,,cromptongreavesconsumerelectrical
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,cromptongreavesconsumerelectrical
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,cromptongreavesconsumerelectrical
8,Net Inc/Dec In Cash And Cash Equivalents,-94.78,-92.16,238.39,-92.95,-55.51,,cromptongreavesconsumerelectrical
9,Cash And Cash Equivalents Begin of Year,171.62,262.42,24.03,116.98,172.49,,cromptongreavesconsumerelectrical
10,Cash And Cash Equivalents End Of Year,76.84,170.26,262.42,24.03,116.98,,cromptongreavesconsumerelectrical
0,Cash Flow of Escorts Kubota (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,escortskubota
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,escortskubota
2,Net Profit/Loss Before Extraordinary Items And Tax,834.59,992.83,1154.78,625.25,715.67,,escortskubota
3,Net CashFlow From Operating Activities,223.91,32.28,1131.26,797.16,-234.31,,escortskubota
4,Net Cash Used In Investing Activities,-61.77,-1856.69,-2193.55,-421.24,-17.35,,escortskubota
5,Net Cash Used From Financing Activities,-71.22,1809.88,1003.34,-300.45,190.89,,escortskubota
6,Foreign Exchange Gains / Losses,-0.28,0.30,-4.20,0.37,-0.31,,escortskubota
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,escortskubota
8,Net Inc/Dec In Cash And Cash Equivalents,90.64,-14.23,-63.15,75.84,-61.08,,escortskubota
9,Cash And Cash Equivalents Begin of Year,91.51,105.74,168.89,93.05,154.13,,escortskubota
10,Cash And Cash Equivalents End Of Year,182.15,91.51,105.74,168.89,93.05,,escortskubota
0,Cash Flow of GMR Airports Infrastructure (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,gmrairportsinfrastructure
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,gmrairportsinfrastructure
2,Net Profit/Loss Before Extraordinary Items And Tax,-725.86,-1082.94,-3690.20,-2283.41,-3435.99,,gmrairportsinfrastructure
3,Net CashFlow From Operating Activities,2299.23,3256.11,3.43,1375.85,2052.25,,gmrairportsinfrastructure
4,Net Cash Used In Investing Activities,-2422.35,-1896.65,2433.38,-989.60,-3605.02,,gmrairportsinfrastructure
5,Net Cash Used From Financing Activities,1731.29,-3893.86,-1055.94,1616.71,815.80,,gmrairportsinfrastructure
6,Foreign Exchange Gains / Losses,12.10,0.61,0.90,2.29,5.82,,gmrairportsinfrastructure
7,Adjustments On Amalgamation Merger Demerger Others,0.00,-146.80,0.00,0.00,-5.43,,gmrairportsinfrastructure
8,Net Inc/Dec In Cash And Cash Equivalents,1620.27,-2680.59,1381.77,2005.25,-736.58,,gmrairportsinfrastructure
9,Cash And Cash Equivalents Begin of Year,1619.45,4300.04,2918.27,913.02,1649.59,,gmrairportsinfrastructure
10,Cash And Cash Equivalents End Of Year,3239.72,1619.45,4300.04,2918.27,913.01,,gmrairportsinfrastructure
0,Cash Flow of Hindustan Aeronautics Ltd. (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,hindustanaeronauticsltd
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,hindustanaeronauticsltd
2,Net Profit/Loss Before Extraordinary Items And Tax,5827.73,5079.88,3239.06,2873.00,2328.38,,hindustanaeronauticsltd
3,Net CashFlow From Operating Activities,8829.72,10032.78,15262.72,1621.13,-7700.28,,hindustanaeronauticsltd
4,Net Cash Used In Investing Activities,-5728.02,-12759.51,-1270.96,-1328.92,5294.08,,hindustanaeronauticsltd
5,Net Cash Used From Financing Activities,-1731.30,-1349.05,-7124.93,-39.76,2326.11,,hindustanaeronauticsltd
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.09,,hindustanaeronauticsltd
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,hindustanaeronauticsltd
8,Net Inc/Dec In Cash And Cash Equivalents,1370.40,-4075.78,6866.83,252.45,-80.00,,hindustanaeronauticsltd
9,Cash And Cash Equivalents Begin of Year,3070.37,7146.15,279.32,26.87,106.87,,hindustanaeronauticsltd
10,Cash And Cash Equivalents End Of Year,4440.77,3070.37,7146.15,279.32,26.87,,hindustanaeronauticsltd
0,Cash Flow of Havells India (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,havellsindia
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,havellsindia
2,Net Profit/Loss Before Extraordinary Items And Tax,1447.06,1606.56,1437.55,904.11,1144.14,,havellsindia
3,Net CashFlow From Operating Activities,564.93,1727.83,660.33,826.71,501.28,,havellsindia
4,Net Cash Used In Investing Activities,35.04,-758.56,-762.85,-547.65,188.33,,havellsindia
5,Net Cash Used From Financing Activities,-906.93,-547.15,189.77,-715.90,-318.09,,havellsindia
6,Foreign Exchange Gains / Losses,-3.73,-0.90,-0.33,0.00,-3.44,,havellsindia
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,havellsindia
8,Net Inc/Dec In Cash And Cash Equivalents,-310.69,421.22,86.92,-436.84,368.08,,havellsindia
9,Cash And Cash Equivalents Begin of Year,775.84,354.62,267.70,704.54,336.46,,havellsindia
10,Cash And Cash Equivalents End Of Year,465.15,775.84,354.62,267.70,704.54,,havellsindia
0,Cash Flow of HDFC Life Insurance Company (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,hdfclifeinsurancecompany
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,hdfclifeinsurancecompany
2,Net Profit/Loss Before Extraordinary Items And Tax,59742.68,48788.05,3955.46,1313.92,1291.02,,hdfclifeinsurancecompany
3,Net CashFlow From Operating Activities,6883.17,5942.54,9702.84,7378.33,9868.30,,hdfclifeinsurancecompany
4,Net Cash Used In Investing Activities,-10087.38,-1585.62,-8946.28,-7806.56,-10181.78,,hdfclifeinsurancecompany
5,Net Cash Used From Financing Activities,1984.71,-238.19,678.29,37.97,-337.17,,hdfclifeinsurancecompany
6,Foreign Exchange Gains / Losses,16.06,6.11,-5.40,17.55,-0.24,,hdfclifeinsurancecompany
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,hdfclifeinsurancecompany
8,Net Inc/Dec In Cash And Cash Equivalents,-1203.44,4124.85,1429.45,-372.71,-650.89,,hdfclifeinsurancecompany
9,Cash And Cash Equivalents Begin of Year,12024.35,7218.47,5789.01,6152.67,6803.56,,hdfclifeinsurancecompany
10,Cash And Cash Equivalents End Of Year,10820.91,11343.31,7218.47,5779.96,6152.67,,hdfclifeinsurancecompany
0,Cash Flow of L&T Finance Holdings (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,ltfinanceholdings
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,ltfinanceholdings
2,Net Profit/Loss Before Extraordinary Items And Tax,2182.82,1474.81,1495.20,2680.08,3051.98,,ltfinanceholdings
3,Net CashFlow From Operating Activities,7490.47,6078.06,5464.30,2161.76,-11643.45,,ltfinanceholdings
4,Net Cash Used In Investing Activities,-1106.98,-5083.54,-2024.48,159.52,-3587.41,,ltfinanceholdings
5,Net Cash Used From Financing Activities,-1663.81,-3023.01,-2090.68,1450.53,16008.19,,ltfinanceholdings
6,Foreign Exchange Gains / Losses,-526.98,-3.32,-0.04,0.23,-0.07,,ltfinanceholdings
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,ltfinanceholdings
8,Net Inc/Dec In Cash And Cash Equivalents,4192.70,-2031.81,1349.10,3772.04,777.26,,ltfinanceholdings
9,Cash And Cash Equivalents Begin of Year,4915.98,6947.79,5598.69,1826.65,1049.39,,ltfinanceholdings
10,Cash And Cash Equivalents End Of Year,9108.68,4915.98,6947.79,5598.69,1826.65,,ltfinanceholdings
0,Cash Flow of Maruti Suzuki India (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,marutisuzukiindia
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,marutisuzukiindia
2,Net Profit/Loss Before Extraordinary Items And Tax,10323.10,4697.20,5321.00,7102.80,10623.80,,marutisuzukiindia
3,Net CashFlow From Operating Activities,9251.40,1840.50,8856.20,3495.80,6600.90,,marutisuzukiindia
4,Net Cash Used In Investing Activities,-8036.10,-239.20,-7291.30,-556.60,-3539.90,,marutisuzukiindia
5,Net Cash Used From Financing Activities,-1213.10,-1607.00,-1544.90,-3104.30,-2947.90,,marutisuzukiindia
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,marutisuzukiindia
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,marutisuzukiindia
8,Net Inc/Dec In Cash And Cash Equivalents,2.20,-5.70,20.00,-165.10,113.10,,marutisuzukiindia
9,Cash And Cash Equivalents Begin of Year,35.10,40.80,20.80,185.90,72.80,,marutisuzukiindia
10,Cash And Cash Equivalents End Of Year,37.30,35.10,40.80,20.80,185.90,,marutisuzukiindia
0,Cash Flow of Max Financial Services (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,maxfinancialservices
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,maxfinancialservices
2,Net Profit/Loss Before Extraordinary Items And Tax,527.21,388.66,592.89,442.49,480.84,,maxfinancialservices
3,Net CashFlow From Operating Activities,9922.28,8495.86,8621.13,9467.54,8826.06,,maxfinancialservices
4,Net Cash Used In Investing Activities,-9227.65,-8835.38,-8580.55,-9008.93,-8789.22,,maxfinancialservices
5,Net Cash Used From Financing Activities,-232.76,387.97,-92.02,-380.23,-173.64,,maxfinancialservices
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,maxfinancialservices
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,maxfinancialservices
8,Net Inc/Dec In Cash And Cash Equivalents,461.87,48.45,-51.44,78.38,-136.81,,maxfinancialservices
9,Cash And Cash Equivalents Begin of Year,764.03,715.57,767.02,688.64,825.45,,maxfinancialservices
10,Cash And Cash Equivalents End Of Year,1225.90,764.03,715.57,767.02,688.64,,maxfinancialservices
0,Cash Flow of NMDC (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,nmdc
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,nmdc
2,Net Profit/Loss Before Extraordinary Items And Tax,7646.61,12973.33,8896.05,6115.03,7193.38,,nmdc
3,Net CashFlow From Operating Activities,2465.61,7639.36,7266.11,2125.97,4096.64,,nmdc
4,Net Cash Used In Investing Activities,43.29,-5065.75,-4316.28,-312.76,-789.23,,nmdc
5,Net Cash Used From Financing Activities,-2536.50,-2916.29,-2591.30,-1753.31,-3296.13,,nmdc
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,nmdc
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,nmdc
8,Net Inc/Dec In Cash And Cash Equivalents,-27.60,-342.68,358.53,59.90,11.28,,nmdc
9,Cash And Cash Equivalents Begin of Year,120.60,464.10,105.57,45.67,34.39,,nmdc
10,Cash And Cash Equivalents End Of Year,93.00,121.42,464.10,105.57,45.67,,nmdc
0,Cash Flow of Piramal Enterprises (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,piramalenterprises
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,piramalenterprises
2,Net Profit/Loss Before Extraordinary Items And Tax,-2464.34,2024.68,3058.48,917.56,2471.48,,piramalenterprises
3,Net CashFlow From Operating Activities,1359.34,8749.59,3664.54,7516.34,-11611.16,,piramalenterprises
4,Net Cash Used In Investing Activities,-351.24,-2226.18,-2772.25,7468.69,-826.51,,piramalenterprises
5,Net Cash Used From Financing Activities,-3324.53,-6987.97,2071.58,-13018.56,10751.82,,piramalenterprises
6,Foreign Exchange Gains / Losses,0.00,-2.05,-4.22,21.87,12.18,,piramalenterprises
7,Adjustments On Amalgamation Merger Demerger Others,-238.63,1166.59,10.42,0.00,-5.71,,piramalenterprises
8,Net Inc/Dec In Cash And Cash Equivalents,-2555.06,699.98,2970.07,1988.34,-1679.38,,piramalenterprises
9,Cash And Cash Equivalents Begin of Year,6284.06,5581.65,2611.58,623.24,2302.62,,piramalenterprises
10,Cash And Cash Equivalents End Of Year,3729.00,6281.63,5581.65,2611.58,623.24,,piramalenterprises
0,Cash Flow of Trent (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,trent
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,trent
2,Net Profit/Loss Before Extraordinary Items And Tax,555.13,-138.66,-203.81,164.99,168.47,,trent
3,Net CashFlow From Operating Activities,594.88,58.48,373.84,355.31,20.98,,trent
4,Net Cash Used In Investing Activities,-102.64,56.03,15.65,-827.76,-37.04,,trent
5,Net Cash Used From Financing Activities,-491.40,-107.98,-371.92,464.13,37.47,,trent
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,trent
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,-0.01,0.01,,trent
8,Net Inc/Dec In Cash And Cash Equivalents,0.84,6.53,17.57,-8.33,21.42,,trent
9,Cash And Cash Equivalents Begin of Year,82.39,75.63,56.00,69.74,32.81,,trent
10,Cash And Cash Equivalents End Of Year,83.23,82.16,73.57,61.41,54.23,,trent
0,Cash Flow of Vedanta (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,vedanta
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,vedanta
2,Net Profit/Loss Before Extraordinary Items And Tax,20276.00,32964.00,17213.00,-8259.00,13560.00,,vedanta
3,Net CashFlow From Operating Activities,33065.00,34963.00,23980.00,19300.00,23754.00,,vedanta
4,Net Cash Used In Investing Activities,-693.00,-2253.00,-6750.00,-5894.00,-10530.00,,vedanta
5,Net Cash Used From Financing Activities,-34142.00,-28903.00,-17565.00,-15547.00,-10242.00,,vedanta
6,Foreign Exchange Gains / Losses,25.00,10.00,72.00,-31.00,-64.00,,vedanta
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,vedanta
8,Net Inc/Dec In Cash And Cash Equivalents,-1745.00,3817.00,-263.00,-2172.00,2918.00,,vedanta
9,Cash And Cash Equivalents Begin of Year,8671.00,4854.00,5117.00,7289.00,4467.00,,vedanta
10,Cash And Cash Equivalents End Of Year,6926.00,8671.00,4854.00,5117.00,7385.00,,vedanta
