,0,1,2,3,Stock,4,5,6
3,Total Income From Operations,17419.27,16151.67,13785.98,acc,15657.55,14801.62,
4,EXPENDITURE,,,,acc,,,
5,Consumption of Raw Materials,2616.78,2119.57,1673.21,acc,2256.39,2368.17,
6,Purchase of Traded Goods,1609.18,921.19,696.89,acc,361.69,89.26,
7,Increase/Decrease in Stocks,-350.00,-174.25,142.41,acc,100.81,-124.98,
8,Power & Fuel,4800.11,3364.77,--,acc,3134.01,3000.83,
9,Employees Cost,824.15,836.16,841.21,acc,866.11,883.58,
10,Depreciation,664.57,600.68,638.84,acc,606.44,603.22,
11,Excise Duty,--,--,--,acc,--,--,
12,Admin. And Selling Expenses,--,--,--,acc,--,--,
13,R & D Expenses,--,--,--,acc,--,--,
14,Provisions And Contingencies,--,--,--,acc,--,--,
15,Exp. Capitalised,--,--,--,acc,--,--,
16,Other Expenses,6462.64,6086.15,8077.15,acc,6525.76,6536.64,
17,"P/L Before Other Inc., Int., Excpt. Items & Tax",791.84,2397.40,1716.27,acc,1806.34,1444.90,
18,Other Income,222.74,206.71,216.74,acc,318.43,142.66,
19,"P/L Before Int., Excpt. Items & Tax",1014.58,2604.11,1933.01,acc,2124.77,1587.56,
20,Interest,62.04,54.62,57.08,acc,86.27,87.77,
21,P/L Before Exceptional Items & Tax,952.54,2549.49,1875.93,acc,2038.50,1499.79,
22,Exceptional Items,-95.35,-54.76,-176.01,acc,--,--,
23,P/L Before Tax,857.19,2494.73,1699.92,acc,2038.50,1499.79,
24,Tax,221.70,643.28,278.59,acc,674.98,-10.51,
25,P/L After Tax from Ordinary Activities,635.49,1851.45,1421.33,acc,1363.52,1510.30,
26,Prior Year Adjustments,--,--,--,acc,--,--,
27,Extra Ordinary Items,--,--,--,acc,--,--,
28,Net Profit/(Loss) For the Period,635.49,1851.45,1421.33,acc,1363.52,1510.30,
29,Minority Interest,-0.11,-0.11,-0.08,acc,-0.13,-0.15,
30,Share Of P/L Of Associates,14.06,11.65,8.93,acc,14.02,10.32,
31,Net P/L After M.I & Associates,649.44,1862.99,1430.18,acc,1377.41,1520.47,
32,Equity Share Capital,187.99,187.99,187.99,acc,187.99,187.99,
33,Reserves Excluding Revaluation Reserves,14770.28,14120.84,12511.14,acc,11355.78,10343.91,
34,Equity Dividend Rate (%),--,--,--,acc,--,--,
35,EPS Before Extra Ordinary,,,,acc,,,
36,Basic EPS,33.80,99.21,76.16,acc,73.35,80.97,
37,Diluted EPS,--,98.94,75.98,acc,73.17,80.77,
38,EPS After Extra Ordinary,,,,acc,,,
39,Basic EPS.,33.80,99.21,76.16,acc,73.35,80.97,
40,Diluted EPS.,--,98.94,75.98,acc,73.17,80.77,
41,Public Share Holding,,,,acc,,,
42,No Of Shares (Crores),--,--,--,acc,--,--,
43,Share Holding (%),--,--,--,acc,--,--,
44,Promoters and Promoter Group Shareholding,,,,acc,,,
45,a) Pledged/Encumbered,,,,acc,,,
46,- Number of shares (Crores),--,--,--,acc,--,--,
47,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,acc,--,--,
48,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,acc,--,--,
49,b) Non-encumbered,,,,acc,,,
50,- Number of shares (Crores).,--,--,--,acc,--,--,
51,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,acc,--,--,
52,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,acc,--,--,
0,Yearly Results of AU Small Finance Bank (in Rs. Cr.),Mar '17,Mar '16,Mar '15,ausmallfinancebank,Mar '14,,
1,Interest Earned,,,,ausmallfinancebank,,,
2,(a) Int. /Disc. on Adv/Bills,--,--,--,ausmallfinancebank,--,,
3,(b) Income on Investment,--,--,--,ausmallfinancebank,--,,
4,(c) Int. on balances With RBI,--,--,--,ausmallfinancebank,--,,
5,(d) Others,--,--,--,ausmallfinancebank,--,,
6,Other Income,16.51,7.81,12.44,ausmallfinancebank,8.03,,
7,EXPENDITURE,,,,ausmallfinancebank,,,
8,Interest Expended,531.35,492.01,333.68,ausmallfinancebank,317.46,,
9,Employees Cost,200.88,191.69,111.97,ausmallfinancebank,82.43,,
10,Other Expenses,153.73,98.87,58.27,ausmallfinancebank,44.72,,
11,Depreciation,6.09,9.80,7.53,ausmallfinancebank,3.71,,
12,Operating Profit before Provisions and contingencies,--,--,--,ausmallfinancebank,--,,
13,Provisions And Contingencies,67.54,48.49,94.09,ausmallfinancebank,77.51,,
14,Exceptional Items,595.82,--,--,ausmallfinancebank,--,,
15,P/L Before Tax,1082.21,373.25,240.88,ausmallfinancebank,149.05,,
16,Tax,321.37,128.19,78.76,ausmallfinancebank,48.40,,
17,P/L After Tax from Ordinary Activities,760.85,245.06,162.12,ausmallfinancebank,100.64,,
18,Prior Year Adjustments,--,--,--,ausmallfinancebank,--,,
19,Extra Ordinary Items,--,--,--,ausmallfinancebank,--,,
20,Net Profit/(Loss) For the Period,760.85,245.06,162.12,ausmallfinancebank,100.64,,
21,Minority Interest,--,--,--,ausmallfinancebank,--,,
22,Share Of P/L Of Associates,1.02,1.48,0.96,ausmallfinancebank,0.12,,
23,Net P/L After M.I & Associates,761.87,246.54,163.08,ausmallfinancebank,100.76,,
24,Equity Share Capital,284.25,44.08,44.08,ausmallfinancebank,42.96,,
25,Reserves Excluding Revaluation Reserves,1703.34,1022.47,793.51,ausmallfinancebank,606.21,,
26,Equity Dividend Rate (%),--,--,--,ausmallfinancebank,--,,
27,ANALYTICAL RATIOS,,,,ausmallfinancebank,,,
28,a) % of Share by Govt.,--,--,--,ausmallfinancebank,--,,
29,b) Capital Adequacy Ratio - Basel -I,--,--,--,ausmallfinancebank,--,,
30,c) Capital Adequacy Ratio - Basel -II,--,--,--,ausmallfinancebank,--,,
31,EPS Before Extra Ordinary,,,,ausmallfinancebank,,,
32,Basic EPS,27.97,9.32,37.24,ausmallfinancebank,24.21,,
33,Diluted EPS,27.45,9.26,37.24,ausmallfinancebank,24.21,,
34,EPS After Extra Ordinary,,,,ausmallfinancebank,,,
35,Basic EPS.,27.97,9.32,37.24,ausmallfinancebank,24.21,,
36,Diluted EPS.,27.45,9.26,37.24,ausmallfinancebank,24.21,,
37,NPA Ratios :,,,,ausmallfinancebank,,,
38,i) Gross NPA,--,--,--,ausmallfinancebank,--,,
39,ii) Net NPA,--,--,--,ausmallfinancebank,--,,
40,i) % of Gross NPA,--,--,--,ausmallfinancebank,--,,
41,ii) % of Net NPA,--,--,--,ausmallfinancebank,--,,
42,Return on Assets %,--,--,--,ausmallfinancebank,--,,
43,Public Share Holding,,,,ausmallfinancebank,,,
44,No Of Shares (Lakhs),--,--,--,ausmallfinancebank,--,,
45,Share Holding (%),--,--,--,ausmallfinancebank,--,,
46,Promoters and Promoter Group Shareholding,,,,ausmallfinancebank,,,
47,a) Pledged/Encumbered,,,,ausmallfinancebank,,,
48,- Number of shares (Lakhs),--,--,--,ausmallfinancebank,--,,
49,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,ausmallfinancebank,--,,
50,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,ausmallfinancebank,--,,
51,b) Non-encumbered,,,,ausmallfinancebank,,,
52,- Number of shares (Lakhs).,--,--,--,ausmallfinancebank,--,,
53,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,ausmallfinancebank,--,,
54,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,ausmallfinancebank,--,,
0,Yearly Results of Aarti Industries (in Rs. Cr.),Mar '23,Mar '22,Mar '21,aartiindustries,Mar '20,Mar '19,
1,Net Sales/Income from operations,6619.00,6999.96,4506.10,aartiindustries,4186.31,5014.22,
2,Other Operating Income,--,--,--,aartiindustries,--,--,
3,Total Income From Operations,6619.00,6999.96,4506.10,aartiindustries,4186.31,5014.22,
4,EXPENDITURE,,,,aartiindustries,,,
5,Consumption of Raw Materials,3462.00,3268.59,1937.57,aartiindustries,1780.92,2845.24,
6,Purchase of Traded Goods,314.00,286.51,244.24,aartiindustries,274.65,182.39,
7,Increase/Decrease in Stocks,66.00,-261.28,-53.25,aartiindustries,0.75,-75.84,
8,Power & Fuel,--,--,--,aartiindustries,--,--,
9,Employees Cost,385.00,442.08,371.38,aartiindustries,305.22,253.88,
10,Depreciation,310.00,288.52,231.31,aartiindustries,185.21,171.48,
11,Excise Duty,--,--,--,aartiindustries,--,--,
12,Admin. And Selling Expenses,--,--,--,aartiindustries,--,--,
13,R & D Expenses,--,--,--,aartiindustries,--,--,
14,Provisions And Contingencies,--,--,--,aartiindustries,--,--,
15,Exp. Capitalised,--,--,--,aartiindustries,--,--,
16,Other Expenses,1305.00,1335.25,1024.63,aartiindustries,847.44,837.95,
17,"P/L Before Other Inc., Int., Excpt. Items & Tax",777.00,1640.29,750.22,aartiindustries,792.12,799.12,
18,Other Income,1.00,0.80,0.70,aartiindustries,8.84,2.10,
19,"P/L Before Int., Excpt. Items & Tax",778.00,1641.09,750.92,aartiindustries,800.96,801.22,
20,Interest,168.00,114.29,86.37,aartiindustries,124.78,184.31,
21,P/L Before Exceptional Items & Tax,610.00,1526.80,664.55,aartiindustries,676.18,616.91,
22,Exceptional Items,--,--,--,aartiindustries,--,--,
23,P/L Before Tax,610.00,1526.80,664.55,aartiindustries,676.18,616.91,
24,Tax,65.00,219.38,129.33,aartiindustries,129.42,118.30,
25,P/L After Tax from Ordinary Activities,545.00,1307.42,535.22,aartiindustries,546.76,498.61,
26,Prior Year Adjustments,--,--,--,aartiindustries,--,--,
27,Extra Ordinary Items,--,--,--,aartiindustries,--,--,
28,Net Profit/(Loss) For the Period,545.00,1307.42,535.22,aartiindustries,546.76,498.61,
29,Minority Interest,--,-0.23,-11.75,aartiindustries,-10.68,-15.26,
30,Share Of P/L Of Associates,--,--,--,aartiindustries,--,--,
31,Net P/L After M.I & Associates,545.00,1307.19,523.47,aartiindustries,536.08,483.35,
32,Equity Share Capital,181.00,181.25,87.12,aartiindustries,87.12,43.33,
33,Reserves Excluding Revaluation Reserves,4738.81,5733.21,3415.27,aartiindustries,2891.14,2586.71,
34,Equity Dividend Rate (%),--,--,--,aartiindustries,--,--,
35,EPS Before Extra Ordinary,,,,aartiindustries,,,
36,Basic EPS,15.04,36.06,30.04,aartiindustries,30.77,59.35,
37,Diluted EPS,15.04,36.06,30.04,aartiindustries,30.77,59.35,
38,EPS After Extra Ordinary,,,,aartiindustries,,,
39,Basic EPS.,15.04,36.06,30.04,aartiindustries,30.77,59.35,
40,Diluted EPS.,15.04,36.06,30.04,aartiindustries,30.77,59.35,
41,Public Share Holding,,,,aartiindustries,,,
42,No Of Shares (Crores),--,--,--,aartiindustries,--,--,
43,Share Holding (%),--,--,--,aartiindustries,--,--,
44,Promoters and Promoter Group Shareholding,,,,aartiindustries,,,
45,a) Pledged/Encumbered,,,,aartiindustries,,,
46,- Number of shares (Crores),--,--,--,aartiindustries,--,--,
47,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,aartiindustries,--,--,
48,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,aartiindustries,--,--,
49,b) Non-encumbered,,,,aartiindustries,,,
50,- Number of shares (Crores).,--,--,--,aartiindustries,--,--,
51,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,aartiindustries,--,--,
52,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,aartiindustries,--,--,
0,Yearly Results of Adani Enterprises (in Rs. Cr.),Mar '23,Mar '22,Mar '21,adanienterprises,Mar '20,Mar '19,
1,Net Sales/Income from operations,136977.76,69420.18,39537.13,adanienterprises,43402.56,40378.66,
2,Other Operating Income,--,--,--,adanienterprises,--,--,
3,Total Income From Operations,136977.76,69420.18,39537.13,adanienterprises,43402.56,40378.66,
4,EXPENDITURE,,,,adanienterprises,,,
5,Consumption of Raw Materials,4052.14,2502.72,1948.90,adanienterprises,1750.17,1223.17,
6,Purchase of Traded Goods,99187.75,55148.60,27842.18,adanienterprises,32600.03,32598.23,
7,Increase/Decrease in Stocks,-327.16,-3933.82,456.74,adanienterprises,310.13,-499.99,
8,Power & Fuel,--,--,--,adanienterprises,--,--,
9,Employees Cost,1877.33,1180.56,829.31,adanienterprises,682.48,656.40,
10,Depreciation,2436.14,1247.78,537.14,adanienterprises,472.06,389.77,
11,Excise Duty,--,--,--,adanienterprises,--,--,
12,Admin. And Selling Expenses,--,--,--,adanienterprises,--,--,
13,R & D Expenses,--,--,--,adanienterprises,--,--,
14,Provisions And Contingencies,--,--,--,adanienterprises,--,--,
15,Exp. Capitalised,--,--,--,adanienterprises,--,--,
16,Other Expenses,23359.72,10808.92,5954.95,adanienterprises,5775.44,4432.05,
17,"P/L Before Other Inc., Int., Excpt. Items & Tax",6391.84,2465.42,1967.91,adanienterprises,1812.25,1579.03,
18,Other Income,1197.36,1012.51,753.80,adanienterprises,683.65,571.96,
19,"P/L Before Int., Excpt. Items & Tax",7589.20,3477.93,2721.71,adanienterprises,2495.90,2150.99,
20,Interest,3969.98,2525.88,1376.85,adanienterprises,1572.32,1625.07,
21,P/L Before Exceptional Items & Tax,3619.22,952.05,1344.86,adanienterprises,923.58,525.92,
22,Exceptional Items,-369.32,--,-258.89,adanienterprises,198.75,-157.98,
23,P/L Before Tax,3249.90,952.05,1085.97,adanienterprises,1122.33,367.94,
24,Tax,1040.96,476.68,339.65,adanienterprises,324.33,144.54,
25,P/L After Tax from Ordinary Activities,2208.94,475.37,746.32,adanienterprises,798.00,223.40,
26,Prior Year Adjustments,--,--,--,adanienterprises,--,--,
27,Extra Ordinary Items,--,--,--,adanienterprises,--,90.78,
28,Net Profit/(Loss) For the Period,2208.94,475.37,746.32,adanienterprises,798.00,314.18,
29,Minority Interest,51.34,-11.14,-122.84,adanienterprises,98.18,211.20,
30,Share Of P/L Of Associates,212.66,312.33,299.44,adanienterprises,241.99,191.73,
31,Net P/L After M.I & Associates,2472.94,776.56,922.92,adanienterprises,1138.17,717.11,
32,Equity Share Capital,114.00,109.98,109.98,adanienterprises,109.98,109.98,
33,Reserves Excluding Revaluation Reserves,31759.89,21506.53,17048.59,adanienterprises,16836.59,14645.96,
34,Equity Dividend Rate (%),--,--,--,adanienterprises,--,--,
35,EPS Before Extra Ordinary,,,,adanienterprises,,,
36,Basic EPS,21.78,7.06,8.39,adanienterprises,10.35,6.52,
37,Diluted EPS,21.78,7.06,8.39,adanienterprises,10.35,6.52,
38,EPS After Extra Ordinary,,,,adanienterprises,,,
39,Basic EPS.,21.78,7.06,8.39,adanienterprises,10.35,6.52,
40,Diluted EPS.,21.78,7.06,8.39,adanienterprises,10.35,6.52,
41,Public Share Holding,,,,adanienterprises,,,
42,No Of Shares (Crores),--,--,--,adanienterprises,--,--,
43,Share Holding (%),--,--,--,adanienterprises,--,--,
44,Promoters and Promoter Group Shareholding,,,,adanienterprises,,,
45,a) Pledged/Encumbered,,,,adanienterprises,,,
46,- Number of shares (Crores),--,--,--,adanienterprises,--,--,
47,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,adanienterprises,--,--,
48,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,adanienterprises,--,--,
49,b) Non-encumbered,,,,adanienterprises,,,
50,- Number of shares (Crores).,--,--,--,adanienterprises,--,--,
51,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,adanienterprises,--,--,
52,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,adanienterprises,--,--,
0,Yearly Results of Adani Ports and Special Economic Zone (in Rs. Cr.),Mar '23,Mar '22,Mar '21,adaniportsspecialeconomiczone,Mar '20,Mar '19,
1,Net Sales/Income from operations,20851.91,15934.03,12549.60,adaniportsspecialeconomiczone,11873.07,10925.44,
2,Other Operating Income,--,--,--,adaniportsspecialeconomiczone,--,--,
3,Total Income From Operations,20851.91,15934.03,12549.60,adaniportsspecialeconomiczone,11873.07,10925.44,
4,EXPENDITURE,,,,adaniportsspecialeconomiczone,,,
5,Consumption of Raw Materials,--,--,--,adaniportsspecialeconomiczone,--,--,
6,Purchase of Traded Goods,--,--,--,adaniportsspecialeconomiczone,--,--,
7,Increase/Decrease in Stocks,--,--,--,adaniportsspecialeconomiczone,--,--,
8,Power & Fuel,--,--,--,adaniportsspecialeconomiczone,--,--,
9,Employees Cost,1178.17,663.92,615.05,adaniportsspecialeconomiczone,546.52,529.81,
10,Depreciation,3423.24,2739.63,2107.34,adaniportsspecialeconomiczone,1680.28,1373.48,
11,Excise Duty,--,--,--,adaniportsspecialeconomiczone,--,--,
12,Admin. And Selling Expenses,--,--,--,adaniportsspecialeconomiczone,--,--,
13,R & D Expenses,--,--,--,adaniportsspecialeconomiczone,--,--,
14,Provisions And Contingencies,--,--,--,adaniportsspecialeconomiczone,--,--,
15,Exp. Capitalised,--,--,--,adaniportsspecialeconomiczone,--,--,
16,Other Expenses,8726.61,6391.18,3235.87,adaniportsspecialeconomiczone,5387.54,3804.07,
17,"P/L Before Other Inc., Int., Excpt. Items & Tax",7523.89,6139.30,6591.34,adaniportsspecialeconomiczone,4258.73,5218.08,
18,Other Income,1553.48,2154.78,1970.23,adaniportsspecialeconomiczone,1861.35,1362.34,
19,"P/L Before Int., Excpt. Items & Tax",9077.37,8294.08,8561.57,adaniportsspecialeconomiczone,6120.08,6580.42,
20,Interest,2362.64,2540.58,2255.29,adaniportsspecialeconomiczone,1813.14,1385.19,
21,P/L Before Exceptional Items & Tax,6714.73,5753.50,6306.28,adaniportsspecialeconomiczone,4306.94,5195.23,
22,Exceptional Items,-1273.38,-405.19,--,adaniportsspecialeconomiczone,-58.63,-68.95,
23,P/L Before Tax,5441.35,5348.31,6306.28,adaniportsspecialeconomiczone,4248.31,5126.28,
24,Tax,96.38,745.92,1243.27,adaniportsspecialeconomiczone,459.39,1081.47,
25,P/L After Tax from Ordinary Activities,5344.97,4602.39,5063.01,adaniportsspecialeconomiczone,3788.92,4044.81,
26,Prior Year Adjustments,--,--,--,adaniportsspecialeconomiczone,--,--,
27,Extra Ordinary Items,--,--,--,adaniportsspecialeconomiczone,--,--,
28,Net Profit/(Loss) For the Period,5344.97,4602.39,5063.01,adaniportsspecialeconomiczone,3788.92,4044.81,
29,Minority Interest,-82.57,-67.15,-54.44,adaniportsspecialeconomiczone,-21.40,-54.53,
30,Share Of P/L Of Associates,47.78,192.85,-14.27,adaniportsspecialeconomiczone,-4.39,-0.06,
31,Net P/L After M.I & Associates,5310.18,4728.09,4994.30,adaniportsspecialeconomiczone,3763.13,3990.22,
32,Equity Share Capital,432.03,422.47,406.35,adaniportsspecialeconomiczone,406.35,414.19,
33,Reserves Excluding Revaluation Reserves,45151.55,37661.00,30035.38,adaniportsspecialeconomiczone,25050.61,24124.01,
34,Equity Dividend Rate (%),--,--,--,adaniportsspecialeconomiczone,--,--,
35,EPS Before Extra Ordinary,,,,adaniportsspecialeconomiczone,,,
36,Basic EPS,24.58,22.39,24.58,adaniportsspecialeconomiczone,18.35,19.27,
37,Diluted EPS,24.58,22.39,24.58,adaniportsspecialeconomiczone,18.35,19.27,
38,EPS After Extra Ordinary,,,,adaniportsspecialeconomiczone,,,
39,Basic EPS.,24.58,22.39,24.58,adaniportsspecialeconomiczone,18.35,19.27,
40,Diluted EPS.,24.58,22.39,24.58,adaniportsspecialeconomiczone,18.35,19.27,
41,Public Share Holding,,,,adaniportsspecialeconomiczone,,,
42,No Of Shares (Crores),--,--,--,adaniportsspecialeconomiczone,--,--,
43,Share Holding (%),--,--,--,adaniportsspecialeconomiczone,--,--,
44,Promoters and Promoter Group Shareholding,,,,adaniportsspecialeconomiczone,,,
45,a) Pledged/Encumbered,,,,adaniportsspecialeconomiczone,,,
46,- Number of shares (Crores),--,--,--,adaniportsspecialeconomiczone,--,--,
47,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,adaniportsspecialeconomiczone,--,--,
48,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,adaniportsspecialeconomiczone,--,--,
49,b) Non-encumbered,,,,adaniportsspecialeconomiczone,,,
50,- Number of shares (Crores).,--,--,--,adaniportsspecialeconomiczone,--,--,
51,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,adaniportsspecialeconomiczone,--,--,
52,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,adaniportsspecialeconomiczone,--,--,
0,Yearly Results of Aditya Birla Capital (in Rs. Cr.),Mar '23,Mar '22,Mar '21,adityabirlacapital,Mar '20,Mar '19,
1,Net Sales/Income from operations,27415.65,22229.91,19247.79,adityabirlacapital,16792.29,15163.51,
2,Other Operating Income,--,--,--,adityabirlacapital,--,--,
3,Total Income From Operations,27415.65,22229.91,19247.79,adityabirlacapital,16792.29,15163.51,
4,EXPENDITURE,,,,adityabirlacapital,,,
5,Consumption of Raw Materials,--,--,--,adityabirlacapital,--,--,
6,Purchase of Traded Goods,--,--,--,adityabirlacapital,--,--,
7,Increase/Decrease in Stocks,--,--,--,adityabirlacapital,--,--,
8,Power & Fuel,--,--,--,adityabirlacapital,--,--,
9,Employees Cost,1140.07,867.59,758.02,adityabirlacapital,723.40,788.45,
10,Depreciation,144.83,121.91,114.45,adityabirlacapital,102.56,57.89,
11,Excise Duty,--,--,--,adityabirlacapital,--,--,
12,Admin. And Selling Expenses,--,--,--,adityabirlacapital,--,--,
13,R & D Expenses,--,--,--,adityabirlacapital,--,--,
14,Provisions And Contingencies,981.09,730.23,771.94,adityabirlacapital,778.05,--,
15,Exp. Capitalised,--,--,--,adityabirlacapital,--,--,
16,Other Expenses,17850.68,15096.27,12436.33,adityabirlacapital,9560.58,9061.76,
17,"P/L Before Other Inc., Int., Excpt. Items & Tax",7298.98,5413.91,5167.05,adityabirlacapital,5627.70,5255.41,
18,Other Income,2785.68,11.44,25.99,adityabirlacapital,18.12,8.46,
19,"P/L Before Int., Excpt. Items & Tax",10084.66,5425.35,5193.04,adityabirlacapital,5645.82,5263.87,
20,Interest,4722.00,3479.53,3915.76,adityabirlacapital,4607.01,4109.06,
21,P/L Before Exceptional Items & Tax,5362.66,1945.82,1277.28,adityabirlacapital,1038.81,1154.81,
22,Exceptional Items,--,--,--,adityabirlacapital,-9.99,--,
23,P/L Before Tax,5362.66,1945.82,1277.28,adityabirlacapital,1028.82,1154.81,
24,Tax,811.16,626.65,440.04,adityabirlacapital,413.63,569.35,
25,P/L After Tax from Ordinary Activities,4551.50,1319.17,837.24,adityabirlacapital,615.19,585.46,
26,Prior Year Adjustments,--,--,--,adityabirlacapital,--,--,
27,Extra Ordinary Items,--,--,--,adityabirlacapital,--,--,
28,Net Profit/(Loss) For the Period,4551.50,1319.17,837.24,adityabirlacapital,615.19,585.46,
29,Minority Interest,-28.30,45.90,20.89,adityabirlacapital,53.67,59.64,
30,Share Of P/L Of Associates,272.57,340.90,268.41,adityabirlacapital,250.92,225.84,
31,Net P/L After M.I & Associates,4795.77,1705.97,1126.54,adityabirlacapital,919.78,870.94,
32,Equity Share Capital,2417.99,2416.31,2415.00,adityabirlacapital,2413.76,2201.40,
33,Reserves Excluding Revaluation Reserves,17658.58,12883.47,11152.10,adityabirlacapital,9987.24,7135.93,
34,Equity Dividend Rate (%),--,--,--,adityabirlacapital,--,--,
35,EPS Before Extra Ordinary,,,,adityabirlacapital,,,
36,Basic EPS,19.84,7.06,4.67,adityabirlacapital,4.07,3.96,
37,Diluted EPS,19.77,7.05,4.66,adityabirlacapital,4.06,3.95,
38,EPS After Extra Ordinary,,,,adityabirlacapital,,,
39,Basic EPS.,19.84,7.06,4.67,adityabirlacapital,4.07,3.96,
40,Diluted EPS.,19.77,7.05,4.66,adityabirlacapital,4.06,3.95,
41,Public Share Holding,,,,adityabirlacapital,,,
42,No Of Shares (Crores),--,--,--,adityabirlacapital,--,--,
43,Share Holding (%),--,--,--,adityabirlacapital,--,--,
44,Promoters and Promoter Group Shareholding,,,,adityabirlacapital,,,
45,a) Pledged/Encumbered,,,,adityabirlacapital,,,
46,- Number of shares (Crores),--,--,--,adityabirlacapital,--,--,
47,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,adityabirlacapital,--,--,
48,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,adityabirlacapital,--,--,
49,b) Non-encumbered,,,,adityabirlacapital,,,
50,- Number of shares (Crores).,--,--,--,adityabirlacapital,--,--,
