,0,1,2,3,4,5,6,Stock
30,Share Of P/L Of Associates,-1.50,-1.90,-7.00,-1.60,-3.57,,astrallimited
31,Net P/L After M.I & Associates,456.60,483.80,404.40,247.90,195.81,,astrallimited
32,Equity Share Capital,26.90,20.10,20.10,15.10,11.98,,astrallimited
33,Reserves Excluding Revaluation Reserves,2681.10,2314.00,1874.00,1485.50,1264.48,,astrallimited
34,Equity Dividend Rate (%),--,--,--,--,--,,astrallimited
35,EPS Before Extra Ordinary,,,,,,,astrallimited
36,Basic EPS,17.00,24.08,20.13,16.45,16.27,,astrallimited
37,Diluted EPS,17.00,24.08,20.13,16.45,16.27,,astrallimited
38,EPS After Extra Ordinary,,,,,,,astrallimited
39,Basic EPS.,17.00,24.08,20.13,16.45,16.27,,astrallimited
40,Diluted EPS.,17.00,24.08,20.13,16.45,16.27,,astrallimited
41,Public Share Holding,,,,,,,astrallimited
42,No Of Shares (Crores),--,--,--,--,--,,astrallimited
43,Share Holding (%),--,--,--,--,--,,astrallimited
44,Promoters and Promoter Group Shareholding,,,,,,,astrallimited
45,a) Pledged/Encumbered,,,,,,,astrallimited
46,- Number of shares (Crores),--,--,--,--,--,,astrallimited
47,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,,astrallimited
48,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,,astrallimited
49,b) Non-encumbered,,,,,,,astrallimited
50,- Number of shares (Crores).,--,--,--,--,--,,astrallimited
51,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,,astrallimited
52,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,,astrallimited
0,Yearly Results of Aarti Industries (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,aartiindustries
1,Net Sales/Income from operations,6619.00,6999.96,4506.10,4186.31,5014.22,,aartiindustries
2,Other Operating Income,--,--,--,--,--,,aartiindustries
3,Total Income From Operations,6619.00,6999.96,4506.10,4186.31,5014.22,,aartiindustries
4,EXPENDITURE,,,,,,,aartiindustries
5,Consumption of Raw Materials,3462.00,3268.59,1937.57,1780.92,2845.24,,aartiindustries
6,Purchase of Traded Goods,314.00,286.51,244.24,274.65,182.39,,aartiindustries
7,Increase/Decrease in Stocks,66.00,-261.28,-53.25,0.75,-75.84,,aartiindustries
8,Power & Fuel,--,--,--,--,--,,aartiindustries
9,Employees Cost,385.00,442.08,371.38,305.22,253.88,,aartiindustries
10,Depreciation,310.00,288.52,231.31,185.21,171.48,,aartiindustries
11,Excise Duty,--,--,--,--,--,,aartiindustries
12,Admin. And Selling Expenses,--,--,--,--,--,,aartiindustries
13,R & D Expenses,--,--,--,--,--,,aartiindustries
14,Provisions And Contingencies,--,--,--,--,--,,aartiindustries
15,Exp. Capitalised,--,--,--,--,--,,aartiindustries
16,Other Expenses,1305.00,1335.25,1024.63,847.44,837.95,,aartiindustries
17,"P/L Before Other Inc., Int., Excpt. Items & Tax",777.00,1640.29,750.22,792.12,799.12,,aartiindustries
18,Other Income,1.00,0.80,0.70,8.84,2.10,,aartiindustries
19,"P/L Before Int., Excpt. Items & Tax",778.00,1641.09,750.92,800.96,801.22,,aartiindustries
20,Interest,168.00,114.29,86.37,124.78,184.31,,aartiindustries
21,P/L Before Exceptional Items & Tax,610.00,1526.80,664.55,676.18,616.91,,aartiindustries
22,Exceptional Items,--,--,--,--,--,,aartiindustries
23,P/L Before Tax,610.00,1526.80,664.55,676.18,616.91,,aartiindustries
24,Tax,65.00,219.38,129.33,129.42,118.30,,aartiindustries
25,P/L After Tax from Ordinary Activities,545.00,1307.42,535.22,546.76,498.61,,aartiindustries
26,Prior Year Adjustments,--,--,--,--,--,,aartiindustries
27,Extra Ordinary Items,--,--,--,--,--,,aartiindustries
28,Net Profit/(Loss) For the Period,545.00,1307.42,535.22,546.76,498.61,,aartiindustries
29,Minority Interest,--,-0.23,-11.75,-10.68,-15.26,,aartiindustries
30,Share Of P/L Of Associates,--,--,--,--,--,,aartiindustries
31,Net P/L After M.I & Associates,545.00,1307.19,523.47,536.08,483.35,,aartiindustries
32,Equity Share Capital,181.00,181.25,87.12,87.12,43.33,,aartiindustries
33,Reserves Excluding Revaluation Reserves,4738.81,5733.21,3415.27,2891.14,2586.71,,aartiindustries
34,Equity Dividend Rate (%),--,--,--,--,--,,aartiindustries
35,EPS Before Extra Ordinary,,,,,,,aartiindustries
36,Basic EPS,15.04,36.06,30.04,30.77,59.35,,aartiindustries
37,Diluted EPS,15.04,36.06,30.04,30.77,59.35,,aartiindustries
38,EPS After Extra Ordinary,,,,,,,aartiindustries
39,Basic EPS.,15.04,36.06,30.04,30.77,59.35,,aartiindustries
40,Diluted EPS.,15.04,36.06,30.04,30.77,59.35,,aartiindustries
41,Public Share Holding,,,,,,,aartiindustries
42,No Of Shares (Crores),--,--,--,--,--,,aartiindustries
43,Share Holding (%),--,--,--,--,--,,aartiindustries
44,Promoters and Promoter Group Shareholding,,,,,,,aartiindustries
45,a) Pledged/Encumbered,,,,,,,aartiindustries
46,- Number of shares (Crores),--,--,--,--,--,,aartiindustries
47,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,,aartiindustries
48,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,,aartiindustries
49,b) Non-encumbered,,,,,,,aartiindustries
50,- Number of shares (Crores).,--,--,--,--,--,,aartiindustries
51,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,,aartiindustries
52,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,,aartiindustries
0,Yearly Results of Balrampur Chini Mills (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,balrampurchinimills
1,Net Sales/Income from operations,4665.86,4846.03,4811.66,4741.29,4285.78,,balrampurchinimills
2,Other Operating Income,--,--,--,--,--,,balrampurchinimills
3,Total Income From Operations,4665.86,4846.03,4811.66,4741.29,4285.78,,balrampurchinimills
4,EXPENDITURE,,,,,,,balrampurchinimills
5,Consumption of Raw Materials,3419.40,3261.73,3511.86,3464.16,3595.41,,balrampurchinimills
6,Purchase of Traded Goods,--,--,--,--,--,,balrampurchinimills
7,Increase/Decrease in Stocks,-10.16,194.42,-55.83,37.34,-538.37,,balrampurchinimills
8,Power & Fuel,--,--,--,--,--,,balrampurchinimills
9,Employees Cost,363.79,307.80,281.65,254.00,230.46,,balrampurchinimills
10,Depreciation,129.50,113.86,111.88,101.42,95.85,,balrampurchinimills
11,Excise Duty,--,--,--,--,--,,balrampurchinimills
12,Admin. And Selling Expenses,--,--,--,--,--,,balrampurchinimills
13,R & D Expenses,--,--,--,--,--,,balrampurchinimills
14,Provisions And Contingencies,--,--,--,--,--,,balrampurchinimills
15,Exp. Capitalised,--,--,--,--,--,,balrampurchinimills
16,Other Expenses,380.79,382.38,360.14,303.84,309.20,,balrampurchinimills
17,"P/L Before Other Inc., Int., Excpt. Items & Tax",382.54,585.83,601.96,580.55,593.23,,balrampurchinimills
18,Other Income,62.79,33.02,26.92,43.87,42.74,,balrampurchinimills
19,"P/L Before Int., Excpt. Items & Tax",445.33,618.85,628.88,624.42,635.97,,balrampurchinimills
20,Interest,48.65,30.87,39.30,64.17,40.94,,balrampurchinimills
21,P/L Before Exceptional Items & Tax,396.68,587.98,589.58,560.25,595.03,,balrampurchinimills
22,Exceptional Items,--,-1.20,--,--,6.75,,balrampurchinimills
23,P/L Before Tax,396.68,586.78,589.58,560.25,601.78,,balrampurchinimills
24,Tax,124.15,134.08,129.39,48.71,25.96,,balrampurchinimills
25,P/L After Tax from Ordinary Activities,272.53,452.69,460.19,511.55,575.82,,balrampurchinimills
26,Prior Year Adjustments,--,--,--,--,--,,balrampurchinimills
27,Extra Ordinary Items,--,--,--,--,--,,balrampurchinimills
28,Net Profit/(Loss) For the Period,272.53,452.69,460.19,511.55,575.82,,balrampurchinimills
29,Minority Interest,--,--,--,--,--,,balrampurchinimills
30,Share Of P/L Of Associates,11.63,11.94,19.60,7.81,--,,balrampurchinimills
31,Net P/L After M.I & Associates,284.17,464.64,479.79,519.35,575.82,,balrampurchinimills
32,Equity Share Capital,20.17,20.40,21.00,22.00,22.84,,balrampurchinimills
33,Reserves Excluding Revaluation Reserves,2875.40,2749.31,2598.15,2393.69,2094.95,,balrampurchinimills
34,Equity Dividend Rate (%),--,--,--,--,--,,balrampurchinimills
35,EPS Before Extra Ordinary,,,,,,,balrampurchinimills
36,Basic EPS,13.94,22.44,22.48,23.44,25.21,,balrampurchinimills
37,Diluted EPS,13.94,22.44,22.48,23.44,25.21,,balrampurchinimills
38,EPS After Extra Ordinary,,,,,,,balrampurchinimills
39,Basic EPS.,13.94,22.44,22.48,23.44,25.21,,balrampurchinimills
40,Diluted EPS.,13.94,22.44,22.48,23.44,25.21,,balrampurchinimills
41,Public Share Holding,,,,,,,balrampurchinimills
42,No Of Shares (Crores),--,--,--,--,--,,balrampurchinimills
43,Share Holding (%),--,--,--,--,--,,balrampurchinimills
44,Promoters and Promoter Group Shareholding,,,,,,,balrampurchinimills
45,a) Pledged/Encumbered,,,,,,,balrampurchinimills
46,- Number of shares (Crores),--,--,--,--,--,,balrampurchinimills
47,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,,balrampurchinimills
48,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,,balrampurchinimills
49,b) Non-encumbered,,,,,,,balrampurchinimills
50,- Number of shares (Crores).,--,--,--,--,--,,balrampurchinimills
51,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,,balrampurchinimills
52,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,,balrampurchinimills
0,Yearly Results of Bharti Airtel (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,bhartiairtel
1,Net Sales/Income from operations,139144.80,116546.90,100615.80,87539.00,80780.20,,bhartiairtel
2,Other Operating Income,--,--,--,--,--,,bhartiairtel
3,Total Income From Operations,139144.80,116546.90,100615.80,87539.00,80780.20,,bhartiairtel
4,EXPENDITURE,,,,,,,bhartiairtel
5,Consumption of Raw Materials,--,--,--,--,--,,bhartiairtel
6,Purchase of Traded Goods,--,--,--,--,--,,bhartiairtel
7,Increase/Decrease in Stocks,--,--,--,--,--,,bhartiairtel
8,Power & Fuel,--,--,--,--,--,,bhartiairtel
9,Employees Cost,4830.80,4433.30,4114.60,3807.20,3797.50,,bhartiairtel
10,Depreciation,36431.80,33090.70,29404.40,27689.60,21347.50,,bhartiairtel
11,Excise Duty,--,--,--,--,--,,bhartiairtel
12,Admin. And Selling Expenses,7245.40,5303.50,3800.90,3432.50,4127.70,,bhartiairtel
13,R & D Expenses,--,--,--,--,--,,bhartiairtel
14,Provisions And Contingencies,--,--,--,--,--,,bhartiairtel
15,Exp. Capitalised,--,--,--,--,--,,bhartiairtel
16,Other Expenses,55795.10,49276.20,47328.60,42512.20,47225.50,,bhartiairtel
17,"P/L Before Other Inc., Int., Excpt. Items & Tax",34841.70,24443.20,15967.30,10097.50,4282.00,,bhartiairtel
18,Other Income,936.60,534.30,642.80,324.80,291.20,,bhartiairtel
19,"P/L Before Int., Excpt. Items & Tax",35778.30,24977.50,16610.10,10422.30,4573.20,,bhartiairtel
20,Interest,19299.90,16616.20,15091.00,12382.00,9589.40,,bhartiairtel
21,P/L Before Exceptional Items & Tax,16478.40,8361.30,1519.10,-1959.70,-5016.20,,bhartiairtel
22,Exceptional Items,-669.80,1698.60,-15914.50,-40234.40,2928.80,,bhartiairtel
23,P/L Before Tax,15808.60,10059.90,-14395.40,-42194.10,-2087.40,,bhartiairtel
24,Tax,4273.30,4177.90,8932.50,-12182.30,-3419.30,,bhartiairtel
25,P/L After Tax from Ordinary Activities,11535.30,5882.00,-23327.90,-30011.80,1331.90,,bhartiairtel
26,Prior Year Adjustments,--,--,--,--,--,,bhartiairtel
27,Extra Ordinary Items,--,--,11056.70,--,--,,bhartiairtel
28,Net Profit/(Loss) For the Period,11535.30,5882.00,-12271.20,-30011.80,1331.90,,bhartiairtel
29,Minority Interest,-3941.50,-4050.30,-2719.50,-1519.00,-1278.00,,bhartiairtel
30,Share Of P/L Of Associates,752.10,2423.20,-92.80,-652.40,355.60,,bhartiairtel
31,Net P/L After M.I & Associates,8345.90,4254.90,-15083.50,-32183.20,409.50,,bhartiairtel
32,Equity Share Capital,2836.60,2795.00,2746.00,2727.80,1998.70,,bhartiairtel
33,Reserves Excluding Revaluation Reserves,87783.40,63759.30,56206.70,74417.00,69423.50,,bhartiairtel
34,Equity Dividend Rate (%),--,--,--,--,--,,bhartiairtel
35,EPS Before Extra Ordinary,,,,,,,bhartiairtel
36,Basic EPS,14.80,7.67,-27.65,-63.41,1.02,,bhartiairtel
37,Diluted EPS,14.57,7.63,-27.65,-63.41,1.02,,bhartiairtel
38,EPS After Extra Ordinary,,,,,,,bhartiairtel
39,Basic EPS.,14.80,7.67,-27.65,-63.41,1.02,,bhartiairtel
40,Diluted EPS.,14.57,7.63,-27.65,-63.41,1.02,,bhartiairtel
41,Public Share Holding,,,,,,,bhartiairtel
42,No Of Shares (Crores),--,--,--,--,--,,bhartiairtel
43,Share Holding (%),--,--,--,--,--,,bhartiairtel
44,Promoters and Promoter Group Shareholding,,,,,,,bhartiairtel
45,a) Pledged/Encumbered,,,,,,,bhartiairtel
46,- Number of shares (Crores),--,--,--,--,--,,bhartiairtel
47,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,,bhartiairtel
48,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,,bhartiairtel
49,b) Non-encumbered,,,,,,,bhartiairtel
50,- Number of shares (Crores).,--,--,--,--,--,,bhartiairtel
51,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,,bhartiairtel
52,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,,bhartiairtel
0,Yearly Results of Bharat Heavy Electricals (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,bharatheavyelectricals
1,Net Sales/Income from operations,23364.94,21211.09,17308.69,21490.01,29367.85,,bharatheavyelectricals
2,Other Operating Income,--,--,--,--,999.80,,bharatheavyelectricals
3,Total Income From Operations,23364.94,21211.09,17308.69,21490.01,30367.65,,bharatheavyelectricals
4,EXPENDITURE,,,,,,,bharatheavyelectricals
5,Consumption of Raw Materials,15953.69,9848.24,11071.03,14728.81,18849.62,,bharatheavyelectricals
6,Purchase of Traded Goods,--,4141.75,--,--,--,,bharatheavyelectricals
7,Increase/Decrease in Stocks,-57.15,532.41,510.86,-1015.56,-1071.67,,bharatheavyelectricals
8,Power & Fuel,--,--,--,--,--,,bharatheavyelectricals
9,Employees Cost,5700.63,5519.05,5378.15,5408.71,6268.92,,bharatheavyelectricals
10,Depreciation,260.34,314.12,473.25,503.27,475.74,,bharatheavyelectricals
11,Excise Duty,--,--,--,--,--,,bharatheavyelectricals
12,Admin. And Selling Expenses,--,--,--,--,--,,bharatheavyelectricals
13,R & D Expenses,--,--,--,--,--,,bharatheavyelectricals
14,Provisions And Contingencies,--,--,--,--,--,,bharatheavyelectricals
15,Exp. Capitalised,--,--,--,--,--,,bharatheavyelectricals
16,Other Expenses,1051.21,434.06,3489.94,2605.42,4182.85,,bharatheavyelectricals
17,"P/L Before Other Inc., Int., Excpt. Items & Tax",456.22,421.46,-3614.54,-740.64,1662.19,,bharatheavyelectricals
18,Other Income,488.63,354.54,348.42,564.30,661.52,,bharatheavyelectricals
19,"P/L Before Int., Excpt. Items & Tax",944.85,776.00,-3266.12,-176.34,2323.71,,bharatheavyelectricals
20,Interest,521.43,355.96,373.95,508.45,288.01,,bharatheavyelectricals
21,P/L Before Exceptional Items & Tax,423.42,420.04,-3640.07,-684.79,2035.70,,bharatheavyelectricals
22,Exceptional Items,--,--,--,--,--,,bharatheavyelectricals
23,P/L Before Tax,423.42,420.04,-3640.07,-684.79,2035.70,,bharatheavyelectricals
24,Tax,2.05,25.75,-896.23,809.28,840.94,,bharatheavyelectricals
25,P/L After Tax from Ordinary Activities,421.37,394.29,-2743.84,-1494.07,1194.76,,bharatheavyelectricals
26,Prior Year Adjustments,--,--,--,--,--,,bharatheavyelectricals
27,Extra Ordinary Items,--,--,--,--,--,,bharatheavyelectricals
28,Net Profit/(Loss) For the Period,421.37,394.29,-2743.84,-1494.07,1194.76,,bharatheavyelectricals
29,Minority Interest,--,1.32,--,--,2.68,,bharatheavyelectricals
30,Share Of P/L Of Associates,56.02,50.42,44.14,25.72,-185.60,,bharatheavyelectricals
31,Net P/L After M.I & Associates,477.39,446.03,-2699.70,-1468.35,1011.84,,bharatheavyelectricals
32,Equity Share Capital,696.41,696.41,696.41,696.41,696.41,,bharatheavyelectricals
33,Reserves Excluding Revaluation Reserves,26131.62,25810.19,25287.25,27964.31,30207.93,,bharatheavyelectricals
34,Equity Dividend Rate (%),--,--,--,--,--,,bharatheavyelectricals
35,EPS Before Extra Ordinary,,,,,,,bharatheavyelectricals
36,Basic EPS,1.37,1.28,-7.75,-4.22,2.78,,bharatheavyelectricals
37,Diluted EPS,1.37,1.28,-7.75,-4.22,2.78,,bharatheavyelectricals
38,EPS After Extra Ordinary,,,,,,,bharatheavyelectricals
39,Basic EPS.,1.37,1.28,-7.75,-4.22,2.78,,bharatheavyelectricals
40,Diluted EPS.,1.37,1.28,-7.75,-4.22,2.78,,bharatheavyelectricals
41,Public Share Holding,,,,,,,bharatheavyelectricals
42,No Of Shares (Crores),--,--,--,--,--,,bharatheavyelectricals
43,Share Holding (%),--,--,--,--,--,,bharatheavyelectricals
44,Promoters and Promoter Group Shareholding,,,,,,,bharatheavyelectricals
45,a) Pledged/Encumbered,,,,,,,bharatheavyelectricals
46,- Number of shares (Crores),--,--,--,--,--,,bharatheavyelectricals
47,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,,bharatheavyelectricals
48,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,,bharatheavyelectricals
49,b) Non-encumbered,,,,,,,bharatheavyelectricals
50,- Number of shares (Crores).,--,--,--,--,--,,bharatheavyelectricals
51,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,,bharatheavyelectricals
52,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,,bharatheavyelectricals
0,Yearly Results of Britannia Industries (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,britanniaindustries
1,Net Sales/Income from operations,15984.90,14136.26,12883.04,11443.99,10973.46,,britanniaindustries
2,Other Operating Income,315.65,--,253.10,155.56,81.21,,britanniaindustries
3,Total Income From Operations,16300.55,14136.26,13136.14,11599.55,11054.67,,britanniaindustries
4,EXPENDITURE,,,,,,,britanniaindustries
5,Consumption of Raw Materials,8326.70,7473.97,6665.91,5901.16,5513.01,,britanniaindustries
6,Purchase of Traded Goods,1337.13,1361.59,997.31,973.74,1103.63,,britanniaindustries
7,Increase/Decrease in Stocks,-72.53,-75.26,-37.12,52.57,-55.18,,britanniaindustries
8,Power & Fuel,--,--,--,--,--,,britanniaindustries
9,Employees Cost,658.38,542.26,527.38,486.69,441.82,,britanniaindustries
10,Depreciation,225.91,200.54,197.85,184.81,161.88,,britanniaindustries
11,Excise Duty,--,--,--,--,--,,britanniaindustries
12,Admin. And Selling Expenses,--,--,--,--,--,,britanniaindustries
13,R & D Expenses,--,--,--,--,--,,britanniaindustries
14,Provisions And Contingencies,--,--,--,--,--,,britanniaindustries
15,Exp. Capitalised,--,--,--,--,--,,britanniaindustries
16,Other Expenses,3219.96,2632.19,2473.43,2342.21,2317.97,,britanniaindustries
17,"P/L Before Other Inc., Int., Excpt. Items & Tax",2605.00,2000.97,2311.38,1658.37,1571.54,,britanniaindustries
18,Other Income,215.86,222.83,312.93,279.40,206.45,,britanniaindustries
19,"P/L Before Int., Excpt. Items & Tax",2820.86,2223.80,2624.31,1937.77,1777.99,,britanniaindustries
20,Interest,169.10,144.29,110.90,76.90,9.09,,britanniaindustries
21,P/L Before Exceptional Items & Tax,2651.76,2079.51,2513.41,1860.87,1768.90,,britanniaindustries
22,Exceptional Items,375.60,-0.98,-0.61,-17.01,--,,britanniaindustries
23,P/L Before Tax,3027.36,2078.53,2512.80,1843.86,1768.90,,britanniaindustries
24,Tax,716.45,562.35,663.02,450.70,612.47,,britanniaindustries
25,P/L After Tax from Ordinary Activities,2310.91,1516.18,1849.78,1393.16,1156.43,,britanniaindustries
26,Prior Year Adjustments,--,--,--,--,--,,britanniaindustries
27,Extra Ordinary Items,--,--,--,--,--,,britanniaindustries
28,Net Profit/(Loss) For the Period,2310.91,1516.18,1849.78,1393.16,1156.43,,britanniaindustries
29,Minority Interest,5.45,8.84,13.31,9.03,3.66,,britanniaindustries
30,Share Of P/L Of Associates,5.41,-0.20,0.81,0.44,-0.97,,britanniaindustries
31,Net P/L After M.I & Associates,2321.77,1524.82,1863.90,1402.63,1159.12,,britanniaindustries
32,Equity Share Capital,24.09,24.09,24.09,24.05,24.03,,britanniaindustries
33,Reserves Excluding Revaluation Reserves,3510.18,2534.01,3495.47,4344.37,4209.29,,britanniaindustries
34,Equity Dividend Rate (%),--,--,--,--,--,,britanniaindustries
35,EPS Before Extra Ordinary,,,,,,,britanniaindustries
36,Basic EPS,96.39,63.31,77.43,58.35,48.25,,britanniaindustries
37,Diluted EPS,96.39,63.31,77.40,58.34,48.21,,britanniaindustries
38,EPS After Extra Ordinary,,,,,,,britanniaindustries
39,Basic EPS.,96.39,63.31,77.43,58.35,48.25,,britanniaindustries
40,Diluted EPS.,96.39,63.31,77.40,58.34,48.21,,britanniaindustries
41,Public Share Holding,,,,,,,britanniaindustries
42,No Of Shares (Crores),--,--,--,--,--,,britanniaindustries
43,Share Holding (%),--,--,--,--,--,,britanniaindustries
44,Promoters and Promoter Group Shareholding,,,,,,,britanniaindustries
45,a) Pledged/Encumbered,,,,,,,britanniaindustries
46,- Number of shares (Crores),--,--,--,--,--,,britanniaindustries
47,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,,britanniaindustries
48,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,,britanniaindustries
49,b) Non-encumbered,,,,,,,britanniaindustries
50,- Number of shares (Crores).,--,--,--,--,--,,britanniaindustries
51,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,,britanniaindustries
52,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,,britanniaindustries
0,Yearly Results of Birlasoft (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,birlasoft
1,Net Sales/Income from operations,4794.77,4130.35,3555.72,3290.97,2550.67,,birlasoft
2,Other Operating Income,--,--,--,--,--,,birlasoft
3,Total Income From Operations,4794.77,4130.35,3555.72,3290.97,2550.67,,birlasoft
4,EXPENDITURE,,,,,,,birlasoft
5,Consumption of Raw Materials,--,--,--,--,--,,birlasoft
6,Purchase of Traded Goods,--,--,--,--,--,,birlasoft
7,Increase/Decrease in Stocks,--,--,--,--,--,,birlasoft
8,Power & Fuel,--,--,--,--,--,,birlasoft
9,Employees Cost,2813.06,2368.88,2115.81,1997.54,1535.19,,birlasoft
10,Depreciation,82.27,76.51,80.37,82.58,49.87,,birlasoft
11,Excise Duty,--,--,--,--,--,,birlasoft
12,Admin. And Selling Expenses,--,--,--,--,--,,birlasoft
13,R & D Expenses,--,--,--,--,--,,birlasoft
14,Provisions And Contingencies,--,--,--,--,--,,birlasoft
15,Exp. Capitalised,--,--,--,--,--,,birlasoft
16,Other Expenses,1461.25,1121.35,910.68,901.51,709.08,,birlasoft
17,"P/L Before Other Inc., Int., Excpt. Items & Tax",438.20,563.61,448.86,309.34,256.52,,birlasoft
18,Other Income,22.81,66.20,18.98,42.99,26.06,,birlasoft
19,"P/L Before Int., Excpt. Items & Tax",461.01,629.82,467.84,352.33,282.58,,birlasoft
20,Interest,18.59,13.02,13.04,16.13,10.84,,birlasoft
21,P/L Before Exceptional Items & Tax,442.42,616.80,454.80,336.20,271.74,,birlasoft
22,Exceptional Items,--,-0.14,--,--,17.59,,birlasoft
23,P/L Before Tax,442.42,616.66,454.80,336.20,289.32,,birlasoft
24,Tax,110.84,153.02,133.97,111.86,53.94,,birlasoft
25,P/L After Tax from Ordinary Activities,331.58,463.64,320.83,224.35,235.39,,birlasoft
26,Prior Year Adjustments,--,--,--,--,--,,birlasoft
27,Extra Ordinary Items,--,--,--,--,56.78,,birlasoft
28,Net Profit/(Loss) For the Period,331.58,463.64,320.83,224.35,292.16,,birlasoft
29,Minority Interest,--,--,--,--,-2.69,,birlasoft
30,Share Of P/L Of Associates,--,--,--,--,--,,birlasoft
31,Net P/L After M.I & Associates,331.58,463.64,320.83,224.35,289.47,,birlasoft
32,Equity Share Capital,54.97,55.90,55.46,55.34,54.83,,birlasoft
33,Reserves Excluding Revaluation Reserves,2393.32,2527.15,2124.43,1837.08,1658.72,,birlasoft
34,Equity Dividend Rate (%),--,--,--,--,--,,birlasoft
35,EPS Before Extra Ordinary,,,,,,,birlasoft
36,Basic EPS,11.96,16.63,11.53,8.11,11.00,,birlasoft
37,Diluted EPS,11.92,16.43,11.29,8.06,10.88,,birlasoft
38,EPS After Extra Ordinary,,,,,,,birlasoft
39,Basic EPS.,11.96,16.63,11.53,8.11,11.00,,birlasoft
