,0,1,2,3,4,5,6,Stock
19,"P/L Before Int., Excpt. Items & Tax",1014.58,2604.11,1933.01,2124.77,1587.56,,acc
20,Interest,62.04,54.62,57.08,86.27,87.77,,acc
21,P/L Before Exceptional Items & Tax,952.54,2549.49,1875.93,2038.50,1499.79,,acc
22,Exceptional Items,-95.35,-54.76,-176.01,--,--,,acc
23,P/L Before Tax,857.19,2494.73,1699.92,2038.50,1499.79,,acc
24,Tax,221.70,643.28,278.59,674.98,-10.51,,acc
25,P/L After Tax from Ordinary Activities,635.49,1851.45,1421.33,1363.52,1510.30,,acc
26,Prior Year Adjustments,--,--,--,--,--,,acc
27,Extra Ordinary Items,--,--,--,--,--,,acc
28,Net Profit/(Loss) For the Period,635.49,1851.45,1421.33,1363.52,1510.30,,acc
29,Minority Interest,-0.11,-0.11,-0.08,-0.13,-0.15,,acc
30,Share Of P/L Of Associates,14.06,11.65,8.93,14.02,10.32,,acc
31,Net P/L After M.I & Associates,649.44,1862.99,1430.18,1377.41,1520.47,,acc
32,Equity Share Capital,187.99,187.99,187.99,187.99,187.99,,acc
33,Reserves Excluding Revaluation Reserves,14770.28,14120.84,12511.14,11355.78,10343.91,,acc
34,Equity Dividend Rate (%),--,--,--,--,--,,acc
35,EPS Before Extra Ordinary,,,,,,,acc
36,Basic EPS,33.80,99.21,76.16,73.35,80.97,,acc
37,Diluted EPS,--,98.94,75.98,73.17,80.77,,acc
38,EPS After Extra Ordinary,,,,,,,acc
39,Basic EPS.,33.80,99.21,76.16,73.35,80.97,,acc
40,Diluted EPS.,--,98.94,75.98,73.17,80.77,,acc
41,Public Share Holding,,,,,,,acc
42,No Of Shares (Crores),--,--,--,--,--,,acc
43,Share Holding (%),--,--,--,--,--,,acc
44,Promoters and Promoter Group Shareholding,,,,,,,acc
45,a) Pledged/Encumbered,,,,,,,acc
46,- Number of shares (Crores),--,--,--,--,--,,acc
47,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,,acc
48,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,,acc
49,b) Non-encumbered,,,,,,,acc
50,- Number of shares (Crores).,--,--,--,--,--,,acc
51,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,,acc
52,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,,acc
0,Yearly Results of AU Small Finance Bank (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,ausmallfinancebank
1,Interest Earned,,,,,,,ausmallfinancebank
2,(a) Int. /Disc. on Adv/Bills,6847.02,4881.55,3947.36,3414.84,2348.01,,ausmallfinancebank
3,(b) Income on Investment,1189.88,780.53,773.04,613.47,274.09,,ausmallfinancebank
4,(c) Int. on balances With RBI,58.28,87.08,85.01,25.80,46.07,,ausmallfinancebank
5,(d) Others,110.23,172.57,144.64,231.77,280.66,,ausmallfinancebank
6,Other Income,1034.46,993.69,1451.55,706.09,462.03,,ausmallfinancebank
7,EXPENDITURE,,,,,,,ausmallfinancebank
8,Interest Expended,3780.13,2687.61,2584.61,2376.94,1606.35,,ausmallfinancebank
9,Employees Cost,1793.03,1378.92,980.17,759.62,601.11,,ausmallfinancebank
10,Other Expenses,1647.24,1033.85,678.25,658.24,481.50,,ausmallfinancebank
11,Depreciation,--,--,--,--,--,,ausmallfinancebank
12,Operating Profit before Provisions and contingencies,2019.48,1815.04,2158.56,1197.17,721.91,,ausmallfinancebank
13,Provisions And Contingencies,154.84,360.97,700.06,283.20,141.78,,ausmallfinancebank
14,Exceptional Items,--,--,--,--,--,,ausmallfinancebank
15,P/L Before Tax,1864.64,1454.07,1458.51,913.98,580.13,,ausmallfinancebank
16,Tax,436.71,324.24,287.82,239.19,198.32,,ausmallfinancebank
17,P/L After Tax from Ordinary Activities,1427.93,1129.83,1170.68,674.78,381.81,,ausmallfinancebank
18,Prior Year Adjustments,--,--,--,--,--,,ausmallfinancebank
19,Extra Ordinary Items,--,--,--,--,--,,ausmallfinancebank
20,Net Profit/(Loss) For the Period,1427.93,1129.83,1170.68,674.78,381.81,,ausmallfinancebank
21,Equity Share Capital,666.75,314.90,312.21,304.12,292.36,,ausmallfinancebank
22,Reserves Excluding Revaluation Reserves,10266.57,7157.78,5859.89,4020.56,2652.59,,ausmallfinancebank
23,Equity Dividend Rate (%),10.00,5.00,--,--,7.50,,ausmallfinancebank
24,ANALYTICAL RATIOS,,,,,,,ausmallfinancebank
25,a) % of Share by Govt.,--,--,--,--,--,,ausmallfinancebank
26,b) Capital Adequacy Ratio - Basel -I,--,--,--,--,--,,ausmallfinancebank
27,c) Capital Adequacy Ratio - Basel -II,23.59,20.99,23.37,21.99,19.31,,ausmallfinancebank
28,EPS Before Extra Ordinary,,,,,,,ausmallfinancebank
29,Basic EPS,21.86,36.06,38.19,22.78,13.16,,ausmallfinancebank
30,Diluted EPS,21.74,35.69,37.86,22.32,12.90,,ausmallfinancebank
31,EPS After Extra Ordinary,,,,,,,ausmallfinancebank
32,Basic EPS.,21.86,36.06,38.19,22.78,13.16,,ausmallfinancebank
33,Diluted EPS.,21.74,35.69,37.86,22.32,12.90,,ausmallfinancebank
34,NPA Ratios :,,,,,,,ausmallfinancebank
35,i) Gross NPA,981.31,924.38,1502.83,457.78,470.14,,ausmallfinancebank
36,ii) Net NPA,245.16,230.85,755.45,217.30,294.50,,ausmallfinancebank
37,i) % of Gross NPA,1.66,1.98,4.25,1.68,2.04,,ausmallfinancebank
38,ii) % of Net NPA,0.42,0.50,2.18,0.81,1.29,,ausmallfinancebank
39,Return on Assets %,1.79,1.87,0.34,1.81,1.48,,ausmallfinancebank
40,Public Share Holding,,,,,,,ausmallfinancebank
41,No Of Shares (Crores),--,--,--,--,--,,ausmallfinancebank
42,Share Holding (%),--,--,--,--,--,,ausmallfinancebank
43,Promoters and Promoter Group Shareholding,,,,,,,ausmallfinancebank
44,a) Pledged/Encumbered,,,,,,,ausmallfinancebank
45,- Number of shares (Crores),--,--,--,--,--,,ausmallfinancebank
46,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,,ausmallfinancebank
47,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,,ausmallfinancebank
48,b) Non-encumbered,,,,,,,ausmallfinancebank
49,- Number of shares (Crores).,--,--,--,--,--,,ausmallfinancebank
50,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,,ausmallfinancebank
51,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,,ausmallfinancebank
0,Yearly Results of Aarti Industries (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,aartiindustries
1,Net Sales/Income from operations,6619.00,6999.96,4506.10,4186.31,5014.22,,aartiindustries
2,Other Operating Income,--,--,--,--,--,,aartiindustries
3,Total Income From Operations,6619.00,6999.96,4506.10,4186.31,5014.22,,aartiindustries
4,EXPENDITURE,,,,,,,aartiindustries
5,Consumption of Raw Materials,3462.00,3268.59,1937.57,1780.92,2845.24,,aartiindustries
6,Purchase of Traded Goods,314.00,286.51,244.24,274.65,182.39,,aartiindustries
7,Increase/Decrease in Stocks,66.00,-261.28,-53.25,0.75,-75.84,,aartiindustries
8,Power & Fuel,--,--,--,--,--,,aartiindustries
9,Employees Cost,385.00,442.08,371.38,305.22,253.88,,aartiindustries
10,Depreciation,310.00,288.52,231.31,185.21,171.48,,aartiindustries
11,Excise Duty,--,--,--,--,--,,aartiindustries
12,Admin. And Selling Expenses,--,--,--,--,--,,aartiindustries
13,R & D Expenses,--,--,--,--,--,,aartiindustries
14,Provisions And Contingencies,--,--,--,--,--,,aartiindustries
15,Exp. Capitalised,--,--,--,--,--,,aartiindustries
16,Other Expenses,1305.00,1335.25,1024.63,847.44,837.95,,aartiindustries
17,"P/L Before Other Inc., Int., Excpt. Items & Tax",777.00,1640.29,750.22,792.12,799.12,,aartiindustries
18,Other Income,1.00,0.80,0.70,8.84,2.10,,aartiindustries
19,"P/L Before Int., Excpt. Items & Tax",778.00,1641.09,750.92,800.96,801.22,,aartiindustries
20,Interest,168.00,114.29,86.37,124.78,184.31,,aartiindustries
21,P/L Before Exceptional Items & Tax,610.00,1526.80,664.55,676.18,616.91,,aartiindustries
22,Exceptional Items,--,--,--,--,--,,aartiindustries
23,P/L Before Tax,610.00,1526.80,664.55,676.18,616.91,,aartiindustries
24,Tax,65.00,219.38,129.33,129.42,118.30,,aartiindustries
25,P/L After Tax from Ordinary Activities,545.00,1307.42,535.22,546.76,498.61,,aartiindustries
26,Prior Year Adjustments,--,--,--,--,--,,aartiindustries
27,Extra Ordinary Items,--,--,--,--,--,,aartiindustries
28,Net Profit/(Loss) For the Period,545.00,1307.42,535.22,546.76,498.61,,aartiindustries
29,Minority Interest,--,-0.23,-11.75,-10.68,-15.26,,aartiindustries
30,Share Of P/L Of Associates,--,--,--,--,--,,aartiindustries
31,Net P/L After M.I & Associates,545.00,1307.19,523.47,536.08,483.35,,aartiindustries
32,Equity Share Capital,181.00,181.25,87.12,87.12,43.33,,aartiindustries
33,Reserves Excluding Revaluation Reserves,4738.81,5733.21,3415.27,2891.14,2586.71,,aartiindustries
34,Equity Dividend Rate (%),--,--,--,--,--,,aartiindustries
35,EPS Before Extra Ordinary,,,,,,,aartiindustries
36,Basic EPS,15.04,36.06,30.04,30.77,59.35,,aartiindustries
37,Diluted EPS,15.04,36.06,30.04,30.77,59.35,,aartiindustries
38,EPS After Extra Ordinary,,,,,,,aartiindustries
39,Basic EPS.,15.04,36.06,30.04,30.77,59.35,,aartiindustries
40,Diluted EPS.,15.04,36.06,30.04,30.77,59.35,,aartiindustries
41,Public Share Holding,,,,,,,aartiindustries
42,No Of Shares (Crores),--,--,--,--,--,,aartiindustries
43,Share Holding (%),--,--,--,--,--,,aartiindustries
44,Promoters and Promoter Group Shareholding,,,,,,,aartiindustries
45,a) Pledged/Encumbered,,,,,,,aartiindustries
46,- Number of shares (Crores),--,--,--,--,--,,aartiindustries
47,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,,aartiindustries
48,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,,aartiindustries
49,b) Non-encumbered,,,,,,,aartiindustries
50,- Number of shares (Crores).,--,--,--,--,--,,aartiindustries
51,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,,aartiindustries
52,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,,aartiindustries
0,Yearly Results of Abbott India (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,abbottindia
1,Net Sales/Income from operations,5348.73,4919.27,4310.02,4093.14,3678.60,,abbottindia
2,Other Operating Income,--,--,--,--,--,,abbottindia
3,Total Income From Operations,5348.73,4919.27,4310.02,4093.14,3678.60,,abbottindia
4,EXPENDITURE,,,,,,,abbottindia
5,Consumption of Raw Materials,558.61,495.46,454.32,451.76,406.40,,abbottindia
6,Purchase of Traded Goods,2350.36,2184.03,2040.60,1802.64,1684.38,,abbottindia
7,Increase/Decrease in Stocks,66.09,-22.28,-104.00,61.25,-2.18,,abbottindia
8,Power & Fuel,--,--,--,--,--,,abbottindia
9,Employees Cost,563.59,579.46,492.65,476.11,435.58,,abbottindia
10,Depreciation,69.97,66.10,58.13,59.61,16.92,,abbottindia
11,Excise Duty,--,--,--,--,--,,abbottindia
12,Admin. And Selling Expenses,--,--,--,--,--,,abbottindia
13,R & D Expenses,--,--,--,--,--,,abbottindia
14,Provisions And Contingencies,--,--,--,--,--,,abbottindia
15,Exp. Capitalised,--,--,--,--,--,,abbottindia
16,Other Expenses,604.45,594.88,504.99,544.94,549.69,,abbottindia
17,"P/L Before Other Inc. , Int., Excpt. Items & Tax",1135.66,1021.62,863.33,696.83,587.81,,abbottindia
18,Other Income,154.15,77.21,80.90,114.39,113.29,,abbottindia
19,"P/L Before Int., Excpt. Items & Tax",1289.81,1098.83,944.23,811.22,701.10,,abbottindia
20,Interest,15.99,19.10,18.28,8.53,2.25,,abbottindia
21,P/L Before Exceptional Items & Tax,1273.82,1079.73,925.95,802.69,698.85,,abbottindia
22,Exceptional Items,--,--,--,--,--,,abbottindia
23,P/L Before Tax,1273.82,1079.73,925.95,802.69,698.85,,abbottindia
24,Tax,324.41,281.03,235.26,209.76,248.52,,abbottindia
25,P/L After Tax from Ordinary Activities,949.41,798.70,690.69,592.93,450.33,,abbottindia
26,Prior Year Adjustments,--,--,--,--,--,,abbottindia
27,Extra Ordinary Items,--,--,--,--,--,,abbottindia
28,Net Profit/(Loss) For the Period,949.41,798.70,690.69,592.93,450.33,,abbottindia
29,Equity Share Capital,21.25,21.25,21.25,21.25,21.25,,abbottindia
30,Reserves Excluding Revaluation Reserves,3167.29,2798.54,2580.91,2410.46,1987.34,,abbottindia
31,Equity Dividend Rate (%),3250.00,2750.00,2750.00,2500.00,650.00,,abbottindia
32,EPS Before Extra Ordinary,,,,,,,abbottindia
33,Basic EPS,446.78,375.86,325.04,279.04,211.93,,abbottindia
34,Diluted EPS,446.78,375.86,325.04,279.04,211.93,,abbottindia
35,EPS After Extra Ordinary,,,,,,,abbottindia
36,Basic EPS.,446.78,375.86,325.04,279.04,211.93,,abbottindia
37,Diluted EPS.,446.78,375.86,325.04,279.04,211.93,,abbottindia
38,Public Share Holding,,,,,,,abbottindia
39,No Of Shares (Crores),--,--,--,--,--,,abbottindia
40,Share Holding (%),--,--,--,--,--,,abbottindia
41,Promoters and Promoter Group Shareholding,,,,,,,abbottindia
42,a) Pledged/Encumbered,,,,,,,abbottindia
43,- Number of shares (Crores),--,--,--,--,--,,abbottindia
44,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,,abbottindia
45,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,,abbottindia
46,b) Non-encumbered,,,,,,,abbottindia
47,- Number of shares (Crores).,--,--,--,--,--,,abbottindia
48,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,,abbottindia
49,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,,abbottindia
0,Yearly Results of Adani Enterprises (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,adanienterprises
1,Net Sales/Income from operations,136977.76,69420.18,39537.13,43402.56,40378.66,,adanienterprises
2,Other Operating Income,--,--,--,--,--,,adanienterprises
3,Total Income From Operations,136977.76,69420.18,39537.13,43402.56,40378.66,,adanienterprises
4,EXPENDITURE,,,,,,,adanienterprises
5,Consumption of Raw Materials,4052.14,2502.72,1948.90,1750.17,1223.17,,adanienterprises
6,Purchase of Traded Goods,99187.75,55148.60,27842.18,32600.03,32598.23,,adanienterprises
7,Increase/Decrease in Stocks,-327.16,-3933.82,456.74,310.13,-499.99,,adanienterprises
8,Power & Fuel,--,--,--,--,--,,adanienterprises
9,Employees Cost,1877.33,1180.56,829.31,682.48,656.40,,adanienterprises
10,Depreciation,2436.14,1247.78,537.14,472.06,389.77,,adanienterprises
11,Excise Duty,--,--,--,--,--,,adanienterprises
12,Admin. And Selling Expenses,--,--,--,--,--,,adanienterprises
13,R & D Expenses,--,--,--,--,--,,adanienterprises
14,Provisions And Contingencies,--,--,--,--,--,,adanienterprises
15,Exp. Capitalised,--,--,--,--,--,,adanienterprises
16,Other Expenses,23359.72,10808.92,5954.95,5775.44,4432.05,,adanienterprises
17,"P/L Before Other Inc., Int., Excpt. Items & Tax",6391.84,2465.42,1967.91,1812.25,1579.03,,adanienterprises
18,Other Income,1197.36,1012.51,753.80,683.65,571.96,,adanienterprises
19,"P/L Before Int., Excpt. Items & Tax",7589.20,3477.93,2721.71,2495.90,2150.99,,adanienterprises
20,Interest,3969.98,2525.88,1376.85,1572.32,1625.07,,adanienterprises
21,P/L Before Exceptional Items & Tax,3619.22,952.05,1344.86,923.58,525.92,,adanienterprises
22,Exceptional Items,-369.32,--,-258.89,198.75,-157.98,,adanienterprises
23,P/L Before Tax,3249.90,952.05,1085.97,1122.33,367.94,,adanienterprises
24,Tax,1040.96,476.68,339.65,324.33,144.54,,adanienterprises
25,P/L After Tax from Ordinary Activities,2208.94,475.37,746.32,798.00,223.40,,adanienterprises
26,Prior Year Adjustments,--,--,--,--,--,,adanienterprises
27,Extra Ordinary Items,--,--,--,--,90.78,,adanienterprises
28,Net Profit/(Loss) For the Period,2208.94,475.37,746.32,798.00,314.18,,adanienterprises
29,Minority Interest,51.34,-11.14,-122.84,98.18,211.20,,adanienterprises
30,Share Of P/L Of Associates,212.66,312.33,299.44,241.99,191.73,,adanienterprises
31,Net P/L After M.I & Associates,2472.94,776.56,922.92,1138.17,717.11,,adanienterprises
32,Equity Share Capital,114.00,109.98,109.98,109.98,109.98,,adanienterprises
33,Reserves Excluding Revaluation Reserves,31759.89,21506.53,17048.59,16836.59,14645.96,,adanienterprises
34,Equity Dividend Rate (%),--,--,--,--,--,,adanienterprises
35,EPS Before Extra Ordinary,,,,,,,adanienterprises
36,Basic EPS,21.78,7.06,8.39,10.35,6.52,,adanienterprises
37,Diluted EPS,21.78,7.06,8.39,10.35,6.52,,adanienterprises
38,EPS After Extra Ordinary,,,,,,,adanienterprises
39,Basic EPS.,21.78,7.06,8.39,10.35,6.52,,adanienterprises
40,Diluted EPS.,21.78,7.06,8.39,10.35,6.52,,adanienterprises
41,Public Share Holding,,,,,,,adanienterprises
42,No Of Shares (Crores),--,--,--,--,--,,adanienterprises
43,Share Holding (%),--,--,--,--,--,,adanienterprises
44,Promoters and Promoter Group Shareholding,,,,,,,adanienterprises
45,a) Pledged/Encumbered,,,,,,,adanienterprises
46,- Number of shares (Crores),--,--,--,--,--,,adanienterprises
47,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,,adanienterprises
48,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,,adanienterprises
49,b) Non-encumbered,,,,,,,adanienterprises
50,- Number of shares (Crores).,--,--,--,--,--,,adanienterprises
51,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,,adanienterprises
52,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,,adanienterprises
0,Yearly Results of Adani Ports and Special Economic Zone (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,adaniportsspecialeconomiczone
1,Net Sales/Income from operations,20851.91,15934.03,12549.60,11873.07,10925.44,,adaniportsspecialeconomiczone
2,Other Operating Income,--,--,--,--,--,,adaniportsspecialeconomiczone
3,Total Income From Operations,20851.91,15934.03,12549.60,11873.07,10925.44,,adaniportsspecialeconomiczone
4,EXPENDITURE,,,,,,,adaniportsspecialeconomiczone
5,Consumption of Raw Materials,--,--,--,--,--,,adaniportsspecialeconomiczone
6,Purchase of Traded Goods,--,--,--,--,--,,adaniportsspecialeconomiczone
7,Increase/Decrease in Stocks,--,--,--,--,--,,adaniportsspecialeconomiczone
8,Power & Fuel,--,--,--,--,--,,adaniportsspecialeconomiczone
9,Employees Cost,1178.17,663.92,615.05,546.52,529.81,,adaniportsspecialeconomiczone
10,Depreciation,3423.24,2739.63,2107.34,1680.28,1373.48,,adaniportsspecialeconomiczone
11,Excise Duty,--,--,--,--,--,,adaniportsspecialeconomiczone
12,Admin. And Selling Expenses,--,--,--,--,--,,adaniportsspecialeconomiczone
13,R & D Expenses,--,--,--,--,--,,adaniportsspecialeconomiczone
14,Provisions And Contingencies,--,--,--,--,--,,adaniportsspecialeconomiczone
15,Exp. Capitalised,--,--,--,--,--,,adaniportsspecialeconomiczone
16,Other Expenses,8726.61,6391.18,3235.87,5387.54,3804.07,,adaniportsspecialeconomiczone
17,"P/L Before Other Inc., Int., Excpt. Items & Tax",7523.89,6139.30,6591.34,4258.73,5218.08,,adaniportsspecialeconomiczone
18,Other Income,1553.48,2154.78,1970.23,1861.35,1362.34,,adaniportsspecialeconomiczone
19,"P/L Before Int., Excpt. Items & Tax",9077.37,8294.08,8561.57,6120.08,6580.42,,adaniportsspecialeconomiczone
20,Interest,2362.64,2540.58,2255.29,1813.14,1385.19,,adaniportsspecialeconomiczone
21,P/L Before Exceptional Items & Tax,6714.73,5753.50,6306.28,4306.94,5195.23,,adaniportsspecialeconomiczone
22,Exceptional Items,-1273.38,-405.19,--,-58.63,-68.95,,adaniportsspecialeconomiczone
23,P/L Before Tax,5441.35,5348.31,6306.28,4248.31,5126.28,,adaniportsspecialeconomiczone
24,Tax,96.38,745.92,1243.27,459.39,1081.47,,adaniportsspecialeconomiczone
25,P/L After Tax from Ordinary Activities,5344.97,4602.39,5063.01,3788.92,4044.81,,adaniportsspecialeconomiczone
26,Prior Year Adjustments,--,--,--,--,--,,adaniportsspecialeconomiczone
27,Extra Ordinary Items,--,--,--,--,--,,adaniportsspecialeconomiczone
28,Net Profit/(Loss) For the Period,5344.97,4602.39,5063.01,3788.92,4044.81,,adaniportsspecialeconomiczone
29,Minority Interest,-82.57,-67.15,-54.44,-21.40,-54.53,,adaniportsspecialeconomiczone
30,Share Of P/L Of Associates,47.78,192.85,-14.27,-4.39,-0.06,,adaniportsspecialeconomiczone
31,Net P/L After M.I & Associates,5310.18,4728.09,4994.30,3763.13,3990.22,,adaniportsspecialeconomiczone
32,Equity Share Capital,432.03,422.47,406.35,406.35,414.19,,adaniportsspecialeconomiczone
33,Reserves Excluding Revaluation Reserves,45151.55,37661.00,30035.38,25050.61,24124.01,,adaniportsspecialeconomiczone
34,Equity Dividend Rate (%),--,--,--,--,--,,adaniportsspecialeconomiczone
35,EPS Before Extra Ordinary,,,,,,,adaniportsspecialeconomiczone
36,Basic EPS,24.58,22.39,24.58,18.35,19.27,,adaniportsspecialeconomiczone
37,Diluted EPS,24.58,22.39,24.58,18.35,19.27,,adaniportsspecialeconomiczone
38,EPS After Extra Ordinary,,,,,,,adaniportsspecialeconomiczone
39,Basic EPS.,24.58,22.39,24.58,18.35,19.27,,adaniportsspecialeconomiczone
40,Diluted EPS.,24.58,22.39,24.58,18.35,19.27,,adaniportsspecialeconomiczone
41,Public Share Holding,,,,,,,adaniportsspecialeconomiczone
42,No Of Shares (Crores),--,--,--,--,--,,adaniportsspecialeconomiczone
43,Share Holding (%),--,--,--,--,--,,adaniportsspecialeconomiczone
44,Promoters and Promoter Group Shareholding,,,,,,,adaniportsspecialeconomiczone
45,a) Pledged/Encumbered,,,,,,,adaniportsspecialeconomiczone
46,- Number of shares (Crores),--,--,--,--,--,,adaniportsspecialeconomiczone
47,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,,adaniportsspecialeconomiczone
48,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,,adaniportsspecialeconomiczone
49,b) Non-encumbered,,,,,,,adaniportsspecialeconomiczone
50,- Number of shares (Crores).,--,--,--,--,--,,adaniportsspecialeconomiczone
