,0,1,2,3,4,5,6,Stock
26,Other Direct Taxes,0.00,0.00,0.00,0.00,0.00,,aartiindustries
27,Total Tax Expenses,65.87,219.38,129.33,129.42,117.80,,aartiindustries
28,Profit/Loss After Tax And Before ExtraOrdinary Items,545.23,1307.42,535.22,546.76,504.17,,aartiindustries
29,Profit/Loss From Continuing Operations,545.23,1307.42,535.22,546.76,504.17,,aartiindustries
30,Profit/Loss For The Period,545.23,1307.42,535.22,546.76,504.17,,aartiindustries
31,Minority Interest,0.00,-0.23,-11.75,-10.68,-12.44,,aartiindustries
32,Consolidated Profit/Loss After MI And Associates,545.23,1307.19,523.47,536.08,491.73,,aartiindustries
33,OTHER ADDITIONAL INFORMATION,,,,,,,aartiindustries
34,EARNINGS PER SHARE,,,,,,,aartiindustries
35,Basic EPS (Rs.),15.00,36.00,30.00,31.00,60.00,,aartiindustries
36,Diluted EPS (Rs.),15.00,36.00,30.00,31.00,60.00,,aartiindustries
37,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,,aartiindustries
38,Equity Share Dividend,90.63,126.88,46.65,108.24,47.38,,aartiindustries
39,Tax On Dividend,0.00,0.00,0.00,21.87,9.23,,aartiindustries
0,Profit & Loss account of Balrampur Chini Mills (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,balrampurchinimills
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,balrampurchinimills
2,INCOME,,,,,,,balrampurchinimills
3,Revenue From Operations [Gross],4665.86,4773.26,4672.51,4462.59,4276.23,,balrampurchinimills
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,,balrampurchinimills
5,Revenue From Operations [Net],4665.86,4773.26,4672.51,4462.59,4276.23,,balrampurchinimills
6,Total Operating Revenues,4665.86,4846.03,4811.66,4741.29,4285.78,,balrampurchinimills
7,Other Income,62.79,33.02,26.92,43.87,42.75,,balrampurchinimills
8,Total Revenue,4728.65,4879.04,4838.58,4785.17,4328.52,,balrampurchinimills
9,EXPENSES,,,,,,,balrampurchinimills
10,Cost Of Materials Consumed,3419.40,3261.73,3511.86,3464.16,3595.41,,balrampurchinimills
11,Purchase Of Stock-In Trade,0.00,0.00,0.00,0.00,0.00,,balrampurchinimills
12,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,,balrampurchinimills
13,Changes In Inventories Of FGWIP And Stock In Trade,-10.16,194.42,-55.83,37.34,-538.36,,balrampurchinimills
14,Employee Benefit Expenses,363.79,307.80,281.65,254.00,230.46,,balrampurchinimills
15,Finance Costs,48.65,30.87,39.30,64.17,40.94,,balrampurchinimills
16,Depreciation And Amortisation Expenses,129.50,113.86,111.88,101.42,95.85,,balrampurchinimills
17,Other Expenses,380.79,382.38,360.14,303.84,309.20,,balrampurchinimills
18,Total Expenses,4331.97,4291.06,4249.00,4224.91,3733.49,,balrampurchinimills
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",396.68,587.98,589.58,560.25,595.03,,balrampurchinimills
20,Exceptional Items,0.00,-1.20,0.00,0.00,0.00,,balrampurchinimills
21,Profit/Loss Before Tax,396.68,586.78,589.58,560.25,595.03,,balrampurchinimills
22,Tax Expenses-Continued Operations,,,,,,,balrampurchinimills
23,Current Tax,69.42,114.66,102.60,97.10,128.48,,balrampurchinimills
24,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,,balrampurchinimills
25,Deferred Tax,54.73,19.42,26.79,-48.40,-102.51,,balrampurchinimills
26,Other Direct Taxes,0.00,0.00,0.00,0.00,0.00,,balrampurchinimills
27,Total Tax Expenses,124.15,134.08,129.39,48.71,25.97,,balrampurchinimills
28,Profit/Loss After Tax And Before ExtraOrdinary Items,272.53,452.69,460.19,511.55,569.07,,balrampurchinimills
29,Profit/Loss From Continuing Operations,272.53,452.69,460.19,511.55,569.07,,balrampurchinimills
30,Profit/Loss For The Period,272.53,452.69,460.19,511.55,569.07,,balrampurchinimills
31,Minority Interest,0.00,0.00,0.00,0.00,0.00,,balrampurchinimills
32,Consolidated Profit/Loss After MI And Associates,284.17,464.64,479.79,519.35,575.82,,balrampurchinimills
33,OTHER ADDITIONAL INFORMATION,,,,,,,balrampurchinimills
34,EARNINGS PER SHARE,,,,,,,balrampurchinimills
35,Basic EPS (Rs.),14.00,22.00,22.00,23.00,25.00,,balrampurchinimills
36,Diluted EPS (Rs.),14.00,22.00,22.00,23.00,25.00,,balrampurchinimills
37,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,,balrampurchinimills
38,Equity Share Dividend,50.84,51.01,52.50,55.00,57.11,,balrampurchinimills
39,Tax On Dividend,0.00,0.00,0.00,11.31,11.74,,balrampurchinimills
0,Profit & Loss account of Bharti Airtel (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,bhartiairtel
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,bhartiairtel
2,INCOME,,,,,,,bhartiairtel
3,Revenue From Operations [Gross],139144.80,116546.90,100615.80,87539.00,80780.20,,bhartiairtel
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,,bhartiairtel
5,Revenue From Operations [Net],139144.80,116546.90,100615.80,87539.00,80780.20,,bhartiairtel
6,Total Operating Revenues,139144.80,116546.90,100615.80,87539.00,80780.20,,bhartiairtel
7,Other Income,936.60,534.30,642.80,1934.60,1379.10,,bhartiairtel
8,Total Revenue,140081.40,117081.20,101258.60,89473.60,82159.30,,bhartiairtel
9,EXPENSES,,,,,,,bhartiairtel
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,,bhartiairtel
11,Purchase Of Stock-In Trade,0.00,0.00,0.00,0.00,0.00,,bhartiairtel
12,Operating And Direct Expenses,47915.70,42845.20,31090.30,37764.10,38807.90,,bhartiairtel
13,Changes In Inventories Of FGWIP And Stock In Trade,0.00,0.00,0.00,0.00,0.00,,bhartiairtel
14,Employee Benefit Expenses,4830.80,4433.30,4114.60,3807.20,3797.50,,bhartiairtel
15,Finance Costs,19299.90,16616.20,15091.00,13991.80,10622.20,,bhartiairtel
16,Depreciation And Amortisation Expenses,36431.80,33090.70,29404.40,27689.60,21347.50,,bhartiairtel
17,Other Expenses,15124.80,11734.50,20039.20,9485.40,12600.40,,bhartiairtel
18,Total Expenses,123603.00,108719.90,99739.50,92738.10,87175.50,,bhartiairtel
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",16478.40,8361.30,1519.10,-3264.50,-5016.20,,bhartiairtel
20,Exceptional Items,-669.80,1698.60,-15914.50,-40234.40,2928.80,,bhartiairtel
21,Profit/Loss Before Tax,15808.60,10059.90,-14395.40,-43498.90,-2087.40,,bhartiairtel
22,Tax Expenses-Continued Operations,,,,,,,bhartiairtel
23,Current Tax,3483.10,3033.10,2058.40,2373.80,1939.10,,bhartiairtel
24,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,,bhartiairtel
25,Deferred Tax,790.20,1144.80,6874.10,-14556.10,-5358.40,,bhartiairtel
26,Other Direct Taxes,0.00,0.00,0.00,0.00,0.00,,bhartiairtel
27,Total Tax Expenses,4273.30,4177.90,8932.50,-12182.30,-3419.30,,bhartiairtel
28,Profit/Loss After Tax And Before ExtraOrdinary Items,11535.30,5882.00,-23327.90,-31316.60,1331.90,,bhartiairtel
29,Profit/Loss From Continuing Operations,11535.30,5882.00,-23327.90,-31316.60,1331.90,,bhartiairtel
30,Profit/Loss For The Period,11535.30,5882.00,-12271.20,-31316.60,1331.90,,bhartiairtel
31,Minority Interest,-3941.50,-4050.30,-2719.50,-1519.00,-1278.00,,bhartiairtel
32,Consolidated Profit/Loss After MI And Associates,8345.90,4254.90,-15083.50,-32183.20,409.50,,bhartiairtel
33,OTHER ADDITIONAL INFORMATION,,,,,,,bhartiairtel
34,EARNINGS PER SHARE,,,,,,,bhartiairtel
35,Basic EPS (Rs.),15.00,8.00,-28.00,-63.00,1.00,,bhartiairtel
36,Diluted EPS (Rs.),15.00,8.00,-28.00,-63.00,1.00,,bhartiairtel
37,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,,bhartiairtel
38,Equity Share Dividend,1697.60,0.00,1241.90,0.00,2409.60,,bhartiairtel
39,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,,bhartiairtel
0,Profit & Loss account of Bharat Heavy Electricals (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,bharatheavyelectricals
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,bharatheavyelectricals
2,INCOME,,,,,,,bharatheavyelectricals
3,Revenue From Operations [Gross],22136.30,20153.38,16295.80,20494.59,29441.59,,bharatheavyelectricals
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,,bharatheavyelectricals
5,Revenue From Operations [Net],22136.30,20153.38,16295.80,20494.59,29441.59,,bharatheavyelectricals
6,Total Operating Revenues,23364.94,21211.09,17308.69,21463.14,30441.38,,bharatheavyelectricals
7,Other Income,488.63,354.54,348.42,564.30,661.52,,bharatheavyelectricals
8,Total Revenue,23853.57,21565.63,17657.11,22027.44,31102.90,,bharatheavyelectricals
9,EXPENSES,,,,,,,bharatheavyelectricals
10,Cost Of Materials Consumed,6279.46,5327.07,8447.30,12134.55,15394.44,,bharatheavyelectricals
11,Purchase Of Stock-In Trade,4657.33,4141.75,0.00,0.00,0.00,,bharatheavyelectricals
12,Operating And Direct Expenses,5421.08,4792.61,2912.47,2947.17,3866.88,,bharatheavyelectricals
13,Changes In Inventories Of FGWIP And Stock In Trade,-57.15,532.41,510.86,-1042.43,-989.31,,bharatheavyelectricals
14,Employee Benefit Expenses,5700.63,5519.05,5378.15,5431.88,5509.25,,bharatheavyelectricals
15,Finance Costs,521.43,355.96,373.95,508.45,288.37,,bharatheavyelectricals
16,Depreciation And Amortisation Expenses,260.34,314.12,473.25,503.27,475.74,,bharatheavyelectricals
17,Other Expenses,647.03,1688.87,1733.74,1995.54,2698.13,,bharatheavyelectricals
18,Total Expenses,23430.15,21145.59,21297.18,22712.23,29077.56,,bharatheavyelectricals
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",423.42,420.04,-3640.07,-684.79,2025.34,,bharatheavyelectricals
20,Exceptional Items,0.00,0.00,0.00,0.00,0.00,,bharatheavyelectricals
21,Profit/Loss Before Tax,423.42,420.04,-3640.07,-684.79,2025.34,,bharatheavyelectricals
22,Tax Expenses-Continued Operations,,,,,,,bharatheavyelectricals
23,Current Tax,-111.22,-77.13,15.82,1.52,735.07,,bharatheavyelectricals
24,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,,bharatheavyelectricals
25,Deferred Tax,113.27,102.88,-912.05,807.76,102.25,,bharatheavyelectricals
26,Other Direct Taxes,0.00,0.00,0.00,0.00,0.00,,bharatheavyelectricals
27,Total Tax Expenses,2.05,25.75,-896.23,809.28,837.32,,bharatheavyelectricals
28,Profit/Loss After Tax And Before ExtraOrdinary Items,421.37,394.29,-2743.84,-1494.07,1188.02,,bharatheavyelectricals
29,Profit/Loss From Continuing Operations,421.37,394.29,-2743.84,-1494.07,1188.02,,bharatheavyelectricals
30,Profit/Loss For The Period,421.37,394.29,-2743.84,-1494.07,1188.02,,bharatheavyelectricals
31,Minority Interest,0.00,1.32,2.59,2.34,2.68,,bharatheavyelectricals
32,Consolidated Profit/Loss After MI And Associates,477.39,446.03,-2697.11,-1466.01,1005.10,,bharatheavyelectricals
33,OTHER ADDITIONAL INFORMATION,,,,,,,bharatheavyelectricals
34,EARNINGS PER SHARE,,,,,,,bharatheavyelectricals
35,Basic EPS (Rs.),1.00,1.00,-8.00,-4.00,3.00,,bharatheavyelectricals
36,Diluted EPS (Rs.),1.00,1.00,-8.00,-4.00,3.00,,bharatheavyelectricals
37,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,,bharatheavyelectricals
38,Equity Share Dividend,139.28,0.00,0.00,0.00,278.57,,bharatheavyelectricals
39,Tax On Dividend,0.00,0.00,0.00,0.00,134.24,,bharatheavyelectricals
0,Profit & Loss account of Britannia Industries (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,britanniaindustries
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,britanniaindustries
2,INCOME,,,,,,,britanniaindustries
3,Revenue From Operations [Gross],15984.90,13944.67,12883.04,11443.99,10973.46,,britanniaindustries
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,,britanniaindustries
5,Revenue From Operations [Net],15984.90,13944.67,12883.04,11443.99,10973.46,,britanniaindustries
6,Total Operating Revenues,16300.55,14136.26,13136.14,11599.55,11054.67,,britanniaindustries
7,Other Income,215.86,222.83,312.87,279.40,206.45,,britanniaindustries
8,Total Revenue,16516.41,14359.09,13449.01,11878.95,11261.12,,britanniaindustries
9,EXPENSES,,,,,,,britanniaindustries
10,Cost Of Materials Consumed,8326.70,7473.97,6502.33,5684.98,5513.01,,britanniaindustries
11,Purchase Of Stock-In Trade,1337.13,1361.59,1160.89,1189.92,1103.63,,britanniaindustries
12,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,,britanniaindustries
13,Changes In Inventories Of FGWIP And Stock In Trade,-72.53,-75.26,-37.12,52.57,-55.18,,britanniaindustries
14,Employee Benefit Expenses,658.38,542.26,527.38,486.69,441.82,,britanniaindustries
15,Finance Costs,169.10,144.29,110.90,76.90,9.09,,britanniaindustries
16,Depreciation And Amortisation Expenses,225.91,200.54,197.85,184.81,161.88,,britanniaindustries
17,Other Expenses,3219.96,2632.19,2473.37,2342.21,2317.97,,britanniaindustries
18,Total Expenses,13864.65,12279.58,10935.60,10018.08,9492.22,,britanniaindustries
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",2651.76,2079.51,2513.41,1860.87,1768.90,,britanniaindustries
20,Exceptional Items,375.60,-0.98,-0.61,-17.01,0.00,,britanniaindustries
21,Profit/Loss Before Tax,3027.36,2078.53,2512.80,1843.86,1768.90,,britanniaindustries
22,Tax Expenses-Continued Operations,,,,,,,britanniaindustries
23,Current Tax,720.97,612.24,657.12,447.69,599.78,,britanniaindustries
24,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,,britanniaindustries
25,Deferred Tax,-4.52,-49.89,5.90,3.01,12.69,,britanniaindustries
26,Other Direct Taxes,0.00,0.00,0.00,0.00,0.00,,britanniaindustries
27,Total Tax Expenses,716.45,562.35,663.02,450.70,612.47,,britanniaindustries
28,Profit/Loss After Tax And Before ExtraOrdinary Items,2310.91,1516.18,1849.78,1393.16,1156.43,,britanniaindustries
29,Profit/Loss From Continuing Operations,2310.91,1516.18,1849.78,1393.16,1156.43,,britanniaindustries
30,Profit/Loss For The Period,2310.91,1516.18,1849.78,1393.16,1156.43,,britanniaindustries
31,Minority Interest,5.45,8.84,13.31,9.03,3.66,,britanniaindustries
32,Consolidated Profit/Loss After MI And Associates,2321.77,1524.82,1863.90,1402.63,1159.12,,britanniaindustries
33,OTHER ADDITIONAL INFORMATION,,,,,,,britanniaindustries
34,EARNINGS PER SHARE,,,,,,,britanniaindustries
35,Basic EPS (Rs.),96.00,63.00,77.00,58.00,48.00,,britanniaindustries
36,Diluted EPS (Rs.),96.00,63.00,77.00,58.00,48.00,,britanniaindustries
37,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,,britanniaindustries
38,Equity Share Dividend,1360.91,1794.47,2839.66,360.48,360.45,,britanniaindustries
39,Tax On Dividend,0.00,0.00,0.00,74.09,1.40,,britanniaindustries
0,Profit & Loss account of Birlasoft (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,birlasoft
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,birlasoft
2,INCOME,,,,,,,birlasoft
3,Revenue From Operations [Gross],4794.77,4130.35,3555.72,3290.97,2550.67,,birlasoft
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,,birlasoft
5,Revenue From Operations [Net],4794.77,4130.35,3555.72,3290.97,2550.67,,birlasoft
6,Total Operating Revenues,4794.77,4130.35,3555.72,3290.97,2550.67,,birlasoft
7,Other Income,22.81,66.20,18.98,42.99,26.06,,birlasoft
8,Total Revenue,4817.58,4196.55,3574.70,3333.96,2576.72,,birlasoft
9,EXPENSES,,,,,,,birlasoft
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,,birlasoft
11,Purchase Of Stock-In Trade,0.00,0.00,0.00,0.00,0.00,,birlasoft
12,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,,birlasoft
13,Changes In Inventories Of FGWIP And Stock In Trade,0.00,0.00,0.00,0.00,0.00,,birlasoft
14,Employee Benefit Expenses,2813.06,2368.88,2115.81,1997.54,1535.19,,birlasoft
15,Finance Costs,18.59,13.02,13.04,16.13,10.84,,birlasoft
16,Depreciation And Amortisation Expenses,82.27,76.51,80.37,82.58,49.87,,birlasoft
17,Other Expenses,1461.25,1121.35,910.68,901.51,709.08,,birlasoft
18,Total Expenses,4375.16,3579.75,3119.90,2997.76,2304.99,,birlasoft
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",442.42,616.80,454.80,336.20,271.74,,birlasoft
20,Exceptional Items,0.00,-0.14,0.00,0.00,17.59,,birlasoft
21,Profit/Loss Before Tax,442.42,616.66,454.80,336.20,289.32,,birlasoft
22,Tax Expenses-Continued Operations,,,,,,,birlasoft
23,Current Tax,127.78,152.37,117.30,111.16,74.67,,birlasoft
24,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,,birlasoft
25,Deferred Tax,-16.94,0.66,16.67,0.69,-20.73,,birlasoft
26,Other Direct Taxes,0.00,0.00,0.00,0.00,0.00,,birlasoft
27,Total Tax Expenses,110.84,153.02,133.97,111.86,53.94,,birlasoft
28,Profit/Loss After Tax And Before ExtraOrdinary Items,331.58,463.64,320.83,224.35,235.39,,birlasoft
29,Profit/Loss From Continuing Operations,331.58,463.64,320.83,224.35,235.39,,birlasoft
30,Profit/Loss For The Period,331.58,463.64,320.83,224.35,292.16,,birlasoft
31,Minority Interest,0.00,0.00,0.00,0.00,-2.69,,birlasoft
32,Consolidated Profit/Loss After MI And Associates,331.58,463.64,320.83,224.35,289.47,,birlasoft
33,OTHER ADDITIONAL INFORMATION,,,,,,,birlasoft
34,EARNINGS PER SHARE,,,,,,,birlasoft
35,Basic EPS (Rs.),12.00,17.00,12.00,8.00,14.00,,birlasoft
36,Diluted EPS (Rs.),12.00,17.00,11.00,8.00,13.00,,birlasoft
37,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,,birlasoft
38,Equity Share Dividend,124.95,111.08,55.42,82.61,45.66,,birlasoft
39,Tax On Dividend,0.00,0.00,0.00,16.98,9.74,,birlasoft
0,Profit & Loss account of Chambal Fertilisers and Chemicals (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,chambalfertiliserschemicals
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,chambalfertiliserschemicals
2,INCOME,,,,,,,chambalfertiliserschemicals
3,Revenue From Operations [Gross],27771.45,16067.50,12717.55,12204.66,10177.09,,chambalfertiliserschemicals
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,,chambalfertiliserschemicals
5,Revenue From Operations [Net],27771.45,16067.50,12717.55,12204.66,10177.09,,chambalfertiliserschemicals
6,Total Operating Revenues,27772.81,16068.83,12719.01,12205.95,10177.36,,chambalfertiliserschemicals
7,Other Income,167.76,68.00,37.35,106.56,82.77,,chambalfertiliserschemicals
8,Total Revenue,27940.57,16136.83,12756.36,12312.51,10260.14,,chambalfertiliserschemicals
9,EXPENSES,,,,,,,chambalfertiliserschemicals
10,Cost Of Materials Consumed,8522.56,5368.53,2924.19,3773.21,2785.63,,chambalfertiliserschemicals
11,Purchase Of Stock-In Trade,9395.60,6561.77,4060.16,2907.44,3806.82,,chambalfertiliserschemicals
12,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,,chambalfertiliserschemicals
13,Changes In Inventories Of FGWIP And Stock In Trade,1786.13,-2326.99,353.86,208.66,-510.64,,chambalfertiliserschemicals
14,Employee Benefit Expenses,191.00,180.67,176.41,156.02,166.46,,chambalfertiliserschemicals
15,Finance Costs,320.02,105.93,279.39,502.63,252.54,,chambalfertiliserschemicals
16,Depreciation And Amortisation Expenses,308.29,299.74,289.22,286.86,144.09,,chambalfertiliserschemicals
17,Other Expenses,6058.17,4022.66,2740.94,3258.21,2701.22,,chambalfertiliserschemicals
18,Total Expenses,26581.77,14212.31,10824.17,11093.03,9346.11,,chambalfertiliserschemicals
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",1358.80,1924.52,1932.19,1219.48,914.02,,chambalfertiliserschemicals
20,Exceptional Items,0.00,0.00,337.89,105.57,-197.27,,chambalfertiliserschemicals
21,Profit/Loss Before Tax,1358.80,1924.52,2270.08,1325.05,716.75,,chambalfertiliserschemicals
22,Tax Expenses-Continued Operations,,,,,,,chambalfertiliserschemicals
23,Current Tax,208.87,320.17,324.03,194.20,221.86,,chambalfertiliserschemicals
24,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,,chambalfertiliserschemicals
25,Deferred Tax,173.67,327.88,282.27,-85.82,38.22,,chambalfertiliserschemicals
26,Other Direct Taxes,0.00,0.00,0.00,0.00,0.00,,chambalfertiliserschemicals
27,Total Tax Expenses,382.54,664.84,611.94,101.44,248.58,,chambalfertiliserschemicals
28,Profit/Loss After Tax And Before ExtraOrdinary Items,976.26,1259.68,1658.14,1223.61,468.17,,chambalfertiliserschemicals
29,Profit/Loss From Continuing Operations,976.26,1259.68,1658.14,1223.61,468.17,,chambalfertiliserschemicals
30,Profit/Loss For The Period,976.26,1259.68,1658.14,1222.55,468.17,,chambalfertiliserschemicals
31,Minority Interest,0.43,-0.08,-92.83,0.63,5.37,,chambalfertiliserschemicals
32,Consolidated Profit/Loss After MI And Associates,1034.22,1565.98,1654.76,1226.19,590.21,,chambalfertiliserschemicals
33,OTHER ADDITIONAL INFORMATION,,,,,,,chambalfertiliserschemicals
34,EARNINGS PER SHARE,,,,,,,chambalfertiliserschemicals
