,date,heading,text,SourceTag
23,"October 01, 2023 04:00 PM IST","Maruti Suzuki's total sales up 3% to 181,343 units in September, hits 1 mn-mark in H1FY24","Maruti Suzuki's passenger vehicle (PV) market has crossed 3 million-mark for the first time till September-end, said Shashank Srivastava from Maruti Suzuki in a virtual interaction with reporters.",buss_news1
24,"October 01, 2023 04:47 PM IST",'Promoters of Vedanta should be able to scrape through the debt trap this time',"The current restructuring exercise aims to deal with potential threats in case the rollover of the debt — nearly $6 bn by March 2025 — turns difficult, says Rakesh Arora, MD, GO India Advisors.",buss_news1
0,"October 01, 2023 02:40 PM IST",Billionaire investor Ray Dalio warns of impending US debt crisis,"Given the debt levels, Dalio's apprehensions include a scenario where the crisis could potentially push economic growth dangerously close to zero, fluctuating within the narrow range of 1 to 2 percent.",buss_news2
1,"October 01, 2023 01:32 PM IST",India's share in global exports in labour-intensive sectors declining in last 5 years: FIEO,"A report by FIEO indicates a concerning trend in India's labor-intensive export sectors like apparel, marine products, plastics, and gems and jewelry. The country has witnessed a decline in its global market share in these segments over the past five years.",buss_news2
2,"October 01, 2023 01:21 PM IST","Lakme Fashion Week, FDCI announce Delhi edition, Tarun Tahiliani, Amit Aggarwal part of line-up","Lakme Fashion Week (LFW) and Fashion Design Council of India (FDCI) released the schedule for the upcoming five-day Delhi edition. Renowned designers like Tarun Tahiliani, Amit Aggarwal, Gauri & Nainika, and Anju Modi will feature their creations.",buss_news2
3,"October 01, 2023 01:17 PM IST","'India emerging market for cocoa, should become inter-govt body ICCO member'","India, an emerging cocoa consumption market, is encouraged to join the International Cocoa Organization (ICCO) to engage in policy discussions, stated ICCO Executive Director Michel Arrion.",buss_news2
4,"October 01, 2023 12:15 PM IST","FPIs turn net sellers after 6 months of investment; withdraw Rs 14,767 cr in Sep","FPIs shifted from buyers to net sellers, withdrawing over Rs 14,767 crore from Indian equities in September, driven by dollar strength, rising US bond yields, and higher oil prices.",buss_news2
5,"October 01, 2023 12:02 PM IST",India 'big hub' for blue collar economy: Fountain CEO Sean Behr,"Fountain, a hiring automation software provider for frontline workforces, views India as a significant hub in this field, according to a company spokesperson.",buss_news2
6,"October 01, 2023 10:47 AM IST","ATF price hiked 5 pc, commercial LPG by Rs 209","Jet fuel (ATF) prices increased by 5%, marking the fourth consecutive monthly rise since July, while commercial cooking gas (LPG) rates surged by Rs 209 per 19-kg cylinder, reflecting international benchmark trends.",buss_news2
7,"October 01, 2023 09:36 AM IST",Apple identifies issues causing overheating in the iPhone 15,"Apple announced on Saturday that it has identified several issues causing new iPhones to run warmer than usual, including a bug in the iOS 17 software. They plan to address this in a forthcoming update.",buss_news2
8,"October 01, 2023 11:37 AM IST","Commercial LPG prices hiked by Rs 209 per cylinder, ATF hiked by 5%","The new prices will be in effect from October 1, according to a report by ET Now.",buss_news2
9,"October 01, 2023 09:20 AM IST",Sengol replica at Allahabad Museum draws visitors in numbers,"The 'Sengol,' a historic scepter from Tamil Nadu, symbolizing the transfer of power from the British, was initially housed at the Allahabad Museum and later installed in India's new Parliament by Prime Minister Narendra Modi.",buss_news2
10,"October 01, 2023 09:23 AM IST","Dalal Street Week Ahead | RBI policy, PMI numbers, Fed Chair speech among 10 key factors to watch","While the coming week is a truncated one for equity markets, with October 2 (Monday) a trading holiday on the occasion of  Gandhi Jayanti, investors still have a lot of data points and events to look forward to",buss_news2
11,"October 01, 2023 06:57 AM IST",UN to vote on resolution to authorise 1-year deployment of armed force to help Haiti fight gangs,UN Security Council to vote on authorizing a one-year international force deployment in Haiti to address gang violence and facilitate elections.,buss_news2
12,"October 01, 2023 06:37 AM IST","Daily Voice | US Dollar index expected to trade at 111 by year end, says Nikhil Vikamsey of Alpha Capital","If the dollar will elevated then it definitely impacted on the emerging countries like India, says Nikhil Vikamsey of Alpha Capital.",buss_news2
13,"October 01, 2023 06:12 AM IST",Moneycontrol Daily: Your Essential 7,A daily round-up of the most interesting articles to help jump-start the day.,buss_news2
14,"October 01, 2023 06:01 AM IST",28% GST on real-money gaming: AIGF urges govt to defer rollout,The 28% GST on real-money gaming sector is set to come into effect on October 1; some states are however yet to amend their GST laws,buss_news2
15,"October 01, 2023 01:37 AM IST",Exicom Tele-Systems files draft papers with Sebi to garner funds via IPO,Exicom Tele-Systems IPO | The maiden public issue comprises a fresh issue of equity shares aggregating up to Rs 400 crore and an offer for sale component of up to 74 lakh equity shares by promoter NextWave Communications.,buss_news2
16,"October 01, 2023 12:25 AM IST",Azad Engineering files Rs 740-crore IPO papers with Sebi,Azad Engineering IPO | The company's IPO comprises a fresh issue of up to Rs 240 crore and an offer-for-sale of equity shares aggregating up to Rs 500 crore by a promoter and investors.,buss_news2
17,"October 01, 2023 12:41 AM IST",Popular Vehicles and Services files IPO papers with Sebi again,"Popular Vehicles and Services IPO | The IPO comprises fresh issuance of equity shares worth Rs 250 crore and an offer-for-sale (OFS) of 1.42 crore equity shares by Banyantree Growth Capital II, LLC.",buss_news2
18,"September 30, 2023 10:30 PM IST",Court remands accused in Delhi jewellery shop burglary case in three-day police custody,"Lokesh Srivas, arrested on Friday morning, was produced before Chief Judicial Magistrate (CJM) Manish Kumar Dubey on Saturday, said Civil Lines police station house officer Pradeep Arya.",buss_news2
19,"September 30, 2023 10:10 PM IST","Key events next week: RBI MPC decision, India, US, UK & Eurozone September PMIs, and more","A preview of important economic and market events, as well as upcoming macroeconomic data releases in India and across the world for the forthcoming week.",buss_news2
20,"September 30, 2023 10:00 PM IST",Apple says it will fix software problems blamed for making iPhone 15 models too hot to handle,Apple said that it is working on an update to the iOS17 system that powers the iPhone 15 lineup to prevent the devices from becoming uncomfortably hot and is working with apps that are running in ways causing them to overload the system,buss_news2
21,"September 30, 2023 09:09 PM IST","SJVNL to have 50,000 MW capacity by 2040, says CMD","Addressing a press conference, SJVNL Chairman and Managing Director Nand Lal Sharma said the company has made rapid strides in the past 35 years and not only made foray into wind and solar energy, but also got projects in other states and foreign countries, including Nepal and Bhutan.",buss_news2
22,"September 30, 2023 09:07 PM IST",India regain Asian Games team gold after 8 years with thrilling win over Pakistan,"Before the tournament began, the Indian men's team was expected to step on the top of podium after eight years with its main challenge coming from Malaysia and Pakistan, the sport's powerhouse in the yesteryears",buss_news2
23,"September 30, 2023 08:57 PM IST",Airtel logs 50 million customers on its 5G network; says services now span all districts,The Sunil Mittal-led telecom company also said Airtel 5G Plus services are available across all districts in the country.,buss_news2
24,"September 30, 2023 07:04 PM IST",Dell mulls fresh investment in Bengaluru; seeks Karnataka govt's support to navigate import restrictions on SEZ,"Global Foundries, a semiconductor maker, also expressed interest in hiring 200 skilled workers in Bengaluru",buss_news2
0,"September 30, 2023 07:14 PM IST",Byju’s to announce FY22 results in the second week of October,Byju’s said in a statement that the board of directors along with the advisory council and certain invitees will meet to formally adopt the audited accounts.,buss_news3
1,"September 30, 2023 06:48 PM IST","Rs 2,000 notes exchange and deposit: RBI provides guidance amid deadline extension","In view of the extension of the deadline, the RBI has provided details and clarifications regarding the exchange and deposit of Rs 2,000 banknotes.",buss_news3
2,"September 30, 2023 06:21 PM IST","A M Naik formally steps down as L&T’s Group Chairman, hands over reins to S N Subrahmanyan","Naik, 81, will now be chairman of IT companies and the employees trust along with the focus on scaling up the philanthropic initiatives that he has been undertaking for the past few years, L&T said in a statement.",buss_news3
3,"September 30, 2023 06:22 PM IST","Mumbai real estate update: 10,652 property registrations in September 2023, 23% YoY increase","In the first nine months of 2023, Mumbai reported 94,383 registrations, resulting in a substantial revenue of Rs 8,389 crore for the state treasury, the highest in this timeframe since 2013.",buss_news3
4,"September 30, 2023 04:58 PM IST",Bank of Maharashtra appoints Pradeep Kumar Srivastava as Chief Technology Officer,"His appointment is effective from September 28, 2023, the Pune-based lender said in a statement.",buss_news3
5,"September 30, 2023 06:00 PM IST","RBI extends deadline to return Rs 2,000 notes at bank branches till October 7",Moneycontrol had on September 29 exclusively reported that the RBI is likely to extend the deadline for public for returning Rs 2000 notes to facilitate remaining bank customers deposit or exchange the denomination,buss_news3
6,"September 30, 2023 04:35 PM IST",UIDAI chief Amit Agrawal gets one-year extension,Agrawal is a 1993-batch Indian Administrative Service (IAS) officer of Chhattisgarh cadre.,buss_news3
7,"September 30, 2023 04:16 PM IST",Blue Dart to implement 9.6% general price increase from 2024,"However, the logistics company also mentioned that customers signing up from October 1- December 31 will not be impacted by this price hike.",buss_news3
8,"September 30, 2023 04:11 PM IST",Tamil actor Vishal thanks I&B Ministry for ordering inquiry after CBFC corruption allegations,"Vishal had alleged that he had to pay Rs 6.5 lakh to the CBFC's Mumbai office for the screening and certification of the Hindi version of his film ""Mark Antony"".",buss_news3
9,"September 30, 2023 04:02 PM IST","Arunachal hosting two major national sporting events, 25 kms from border with China","A popular tourist destination, Tawang is now playing the role of a gracious host to 3,500 sportspersons who have arrived here for two events.",buss_news3
10,"September 30, 2023 03:52 PM IST",MasterChef Sakirat Waraich gives Norwegian twist to Indian flavours at new food pop-up,"The three-day culinary extravaganza, currently underway at Perbacco, The Lodhi, aims to represent the exquisite merger of Norwegian and Indian culinary traditions — inspired by the chef's well-known restaurant 'Nila' in Norway's Kongsberg.",buss_news3
11,"September 30, 2023 03:44 PM IST",Govt extends tenure of CBDT Chairman Nitin Gupta by 9 months,"Gupta (60), a 1986-batch Indian Revenue Service (IRS) officer of the Income-tax department, was appointed the Central Board of Direct Taxes (CBDT) head in June last year.",buss_news3
12,"September 30, 2023 03:42 PM IST","Push to investment to create fresh employment opportunities for local youth, says Dhami","We inked MoUs for investments worth more than Rs 12,500 crore with international firms during the visit, said Dhami",buss_news3
13,"September 30, 2023 03:17 PM IST","Kalpataru bags orders worth Rs 1,016 crore","Kalpataru Projects International Limited (KPIL) & its international subsidiaries have secured new orders/notification of awards of Rs 1,016 crore, according to a company statement.",buss_news3
14,"September 30, 2023 02:51 PM IST",'Let's not normalise what is happening in Canada': EAM Jaishankar,"'We have had an ongoing problem with Canada and the Canadian government for some years now. The ongoing problem really revolves around the permissiveness to terrorism, extremism and violence,' says Jaishankar",buss_news3
15,"September 30, 2023 02:24 PM IST",Godrej Agrovet to set up integrated palm oil complex in Telangana with Rs 300 cr investment,"GAVL has announced plans to establish a palm oil complex in Telangana's Khammam district, spanning 125 acres. Initially, it will include a crude palm oil mill, with future provisions for a refinery.",buss_news3
16,"September 30, 2023 01:50 PM IST",More than 150 smallcaps surge 10-68% in September,"The market is due for a short term upward pull back in the near term.  It has formed a long legged doji formation, which may see trending activity on either side, says Amol Athawale,  Vice President - Technical Research, Kotak Securities.",buss_news3
17,"September 30, 2023 01:43 PM IST",Delhi's new national museum building has a French connection,"The design of the world’s largest museum, located in the heart of New Delhi and spread over 1.17 lakh square metres, will be spearheaded by Agence France-Museum",buss_news3
18,"September 30, 2023 04:47 PM IST","Niva Bupa grew 4x in 4 years; may attempt IPO in 15 months, says True North's Divya Sehgal","Sehgal believes private equity interest will continue in the health insurance segment. In the financial services space, True North also backs NBFC FedFina and Fincare Small Finance Bank",buss_news3
19,"September 30, 2023 11:42 AM IST",FinMin notifies Oct 1 date for implementing amended GST law provisions for e-gaming,"The Finance Ministry has officially set October 1 as the date for implementing the amended GST law provisions, which will involve taxation on e-gaming, casinos, and horse racing activities.",buss_news3
20,"September 30, 2023 10:46 AM IST",Moneycontrol Pro Weekender: India in The Time of Monsters,"The Era of Markets is over, says McKinsey. Therein lies India's opportunity",buss_news3
21,"September 30, 2023 10:15 AM IST",Maruti Suzuki receives show cause notice from GST Authority,"Maruti Suzuki India announced on Friday that it has received a show cause notice from the GST Authority. The notice proposes to demand interest, impose penalties, and appropriate tax already paid, totaling Rs 139.3 crore.",buss_news3
22,"September 30, 2023 10:05 AM IST",Market ends flat amid volatility; FII selling continues in 10th week,The Indian rupee ended 11 paise lower at 83.04 on September 29 against its September 22 closing of 82.93.,buss_news3
23,"September 30, 2023 10:10 AM IST","Asian Games 2023: Sarabjot, Divya settle for silver medal in 10m air pistol mixed team event","At the Asian Games, India's Sarabjot Singh and Divya TS secured a silver medal in the 10m air pistol mixed team event, facing defeat in the finals against a Chinese pair.",buss_news3
24,"September 30, 2023 09:51 AM IST","S&P 500 dips after US inflation data, ending weak third quarter","The Dow Jones Industrial Average fell 158.84 points, or 0.47%, to 33,507.5, the S&P 500 lost 11.65 points, or 0.27%, to 4,288.05 and the Nasdaq Composite gained 18.05 points, or 0.14%, to 13,219.32.",buss_news3
0,"October 01, 2023 08:56 PM IST",Federal student loan payments are starting again. Here's what you need to know,"If you have student loans and haven't made a payment in the last three years, don't panic. Here's what experts recommend:",economy_news1
1,"October 01, 2023 03:55 PM IST","GST collections rise at Rs 1.63 lakh crore in September, up 10.2% YoY",This is the seventh month in a row that the monthly Goods and Services Tax mop-up has come in above the Rs 1.5-lakh-crore mark,economy_news1
2,"October 01, 2023 11:37 AM IST","Commercial LPG prices hiked by Rs 209 per cylinder, ATF hiked by 5%","The new prices will be in effect from October 1, according to a report by ET Now.",economy_news1
3,"September 30, 2023 06:48 PM IST","Rs 2,000 notes exchange and deposit: RBI provides guidance amid deadline extension","In view of the extension of the deadline, the RBI has provided details and clarifications regarding the exchange and deposit of Rs 2,000 banknotes.",economy_news1
4,"September 30, 2023 10:46 AM IST",Moneycontrol Pro Weekender: India in The Time of Monsters,"The Era of Markets is over, says McKinsey. Therein lies India's opportunity",economy_news1
5,"September 30, 2023 08:00 AM IST",Torrential rains and income woes wash away tractor dreams of rural India,The fall in entry-level automobile products has also been caused by rising prices apart from plateaued incomes for farmers.,economy_news1
6,"September 29, 2023 05:47 PM IST",Govt raises interest rate on one small savings scheme by 20 bps for Oct-Dec,"The government had, on June 30, increased interest rates on small savings schemes by 10-30 basis points for July-September",economy_news1
7,"September 29, 2023 06:36 PM IST",India's August core sector growth hits 14-month high of 12.1%,"For April-August, India's eight core industries have posted a growth of 7.7 percent, down from 10.0 percent in the first five months of 2022-23",economy_news1
8,"September 29, 2023 04:52 PM IST","The Reading List: September 29, 2023","A selection of articles and social media gems from the world of economy, business and finance, curated by our research and opinion teams",economy_news1
9,"September 29, 2023 04:51 PM IST","Business in the Week Ahead (October 2-7, 2023)","It’s a long business week coming up. But it will be a truncated one, October 2 being a market holiday due to Gandhi Jayanti. Get ready for the RBI policy decision and the GST Council meet outcome. That apart, a slew of macro indicators will show where the global as well as Indian economies stand – and where they are headed",economy_news1
10,"September 29, 2023 04:30 PM IST",Weekly Numerics | India’s population is ageing while its youth is finding it hard to get jobs,"According to latest estimates, the number of elderly people in India will surpass that of that of the younger cohorts by 2046. Meanwhile, youth unemployment rate is on the rise in the country.",economy_news1
11,"September 29, 2023 05:22 PM IST",India's April-August fiscal deficit widens to Rs 6.43 lakh crore but tax collections surge,"The government's fiscal deficit for only August, was Rs 37,233 crore, down 81 percent from the same month of the previous year, as tax collections surged",economy_news1
12,"September 29, 2023 02:56 PM IST","India imports of Russian, Iraqi oil rebound in September","India, the world's third biggest oil importer and consumer, also raised imports from Iraq while taking less Saudi oil, the data showed.",economy_news1
13,"September 29, 2023 04:23 PM IST",Moneycontrol Pro Panorama | Oil in the Asian ointment,"In today's edition of Moneycontrol Pro Panorama: Eurozone slump has surprises for Indian market, criticism can help refine ESG framework, time for India to up peace initiative in Ukraine, bank reforms urgent as climate goals wait, and more",economy_news1
14,"September 29, 2023 01:05 PM IST","Remittances hit 4-quarter low in April-June, but no issues seen in CAD financing","According to data released on September 28 by the Reserve Bank of India, India's Current Account Deficit surged to $9.2 billion in the first quarter of 2023-24",economy_news1
15,"September 29, 2023 12:32 PM IST",India aiming to monetize $24 billion worth of highways by 2027,"With 4,000 kilometers to 4,500 kilometers (2,796.2 miles) of new roads likely to be commissioned annually by the National Highways Authority of India over the next three years, the government can monetize these assets through a Infrastructure Investment Trust or toll-operate-transfer model, CareEdge Ratings said in a note on Thursday.",economy_news1
16,"September 29, 2023 12:24 PM IST",Proposed Galathea Bay container transhipment port likely to struggle for traffic,"Galathea Bay will have to compete very aggressively, being a pure transhipment port, without the benefit of originating/terminating traffic. However, the opportunity that it provides for India’s strategic security in the Bay of Bengal could be a key consideration.",economy_news1
17,"September 29, 2023 12:22 PM IST",Accenture: IT consultancy can weather spending slowdown,"Despite a fall in spending by clients, the group looks better placed than many of its rivals",economy_news1
18,"September 29, 2023 11:25 AM IST",Reforming multilateral development banks is urgent as climate goals await,"Multilateral development banks will have to triple their lending by 2030 and Larry Summers prescribes that they look at new areas like derivatives, mutual funds, insurance and guarantees to raise money",economy_news1
19,"September 29, 2023 12:20 PM IST",This year’s hottest tech IPO may be a transportation company,"One standout fact about Cainiao is that it is the second-largest contributor to Alibaba’s profit growth, despite accounting for just 9.2% of group revenue. Punching above its weight within the Alibaba empire is what makes the logistics company the perfect choice to lead the coming parade of IPOs",economy_news1
20,"September 29, 2023 11:27 AM IST",China: The yuan’s slide doesn’t have to end in tears,"Just imagine if the yuan hadn't weakened this year, along with the string of disappointing economic reports. There could have been bigger trouble down the line. In that sense, let's embrace a weaker currency, albeit not one that weakens forever",economy_news1
21,"September 29, 2023 11:13 AM IST",ESG Under the Microscope: Challenging the critics,Criticism serves as a catalyst for refining the ESG framework. It's through scrutiny and constructive feedback that we identify areas where ESG can be strengthened,economy_news1
22,"September 29, 2023 11:03 AM IST",US Economy: Risks Are growing of a double-dip 'vibecession',The US may be heading back into a “vibecession” — a condition in which consumer confidence and other economic “vibes” decline so much that they threaten to become self-fulfilling prophecies and drag the economy down with them,economy_news1
23,"September 29, 2023 10:05 AM IST",Chart of the Day | India’s balance of payments has a current solution for a future problem,Barclays estimates the CAD to be about $40 billion for FY24 and any increase due to oil prices would be offset by flows expected into the local debt market.,economy_news1
24,"September 29, 2023 09:24 AM IST",Rupee opens higher against dollar as Asian currencies gain,The dollar retreated from a 10-month high amid expectations that the US economy will withstand higher interest rates better than other economies,economy_news1
0,"September 29, 2023 08:36 AM IST","Unlisted companies have got a free pass for too long, it's time to level the playing field","A special regulatory regime for large unlisted companies is a right step, but it should go beyond preventing malpractices and encourage more transparency too",economy_news2
1,"September 29, 2023 08:40 AM IST","Eurozone takes a turn for the worse, what it means for Indian stock markets","Companies with significant exposure to European markets could suffer a hit, meaning it has implications for investors in India, too",economy_news2
2,"September 29, 2023 08:23 AM IST",Sailing through tough times: Average daily turnovers in cash hit record highs in September despite turbulent market,"The combined ADTV for NSE and BSE reached Rs 91,710 crore while the combined F&O turnover hit Rs 326 lakh crore during the month.",economy_news2
3,"September 29, 2023 08:42 AM IST","Retrospective tax notices: Online gaming firms should approach govt, GST Council over 28% tax, say experts","The companies could push for the GST Council to implement these tax changes prospectively rather than retroactively, thereby mitigating immediate financial hardships, legal experts say.",economy_news2
4,"September 28, 2023 08:43 PM IST",RBI imposes monetary penalty on 3 co-operative banks,"These entities are the Saraswat Co-operative Bank, Rajkot Nagarik Sahakari Co-operative Bank and Bassein Catholic Co-operative Bank.",economy_news2
5,"September 28, 2023 08:58 PM IST",Accenture forecasts first-quarter revenue below estimates as tough economy weighs in,Accenture has guided for revenue growth of -2 to 2 percent in Q1FY24.,economy_news2
6,"September 28, 2023 04:00 PM IST",Where are all the private equity bankruptcies?,"Defaults are rising but sponsors have the money, tools and motivation to avert disaster",economy_news2
7,"September 28, 2023 03:59 PM IST",Commercial asteroid mining has a astronomical cost issue,"The latest victory in space innovation should be lauded, but the profitability and expense of industry-driven scouting deservedly require circumspection",economy_news2
8,"September 28, 2023 03:36 PM IST",Moneycontrol Pro Panorama | Why diesel carmakers may be left fuming,"In this edition of Moneycontrol Pro Panorama: IEA stresses case for changing energy systems, what the demerger means for Vedanta, ISRO's cost cutting lessons for India Inc, BJP's risky gamble with women’s quota bill, and more",economy_news2
9,"September 28, 2023 02:48 PM IST","June quarter CAD narrows to 1.1%, widens sequentially on higher trade deficit","The current account deficit (CAD), which represents the difference between the total amount of money sent abroad and money received from overseas across the economy, stood at USD 17.9 billion or 2.1 per cent of GDP in the year-ago period.",economy_news2
10,"September 28, 2023 02:32 PM IST",India's external debt at $629.1 billion at June-end: RBI,The debt rose by about USD 4.7 billion from USD 624.3 billion at March-end.,economy_news2
11,"September 28, 2023 02:31 PM IST",India's mineral production rises 10.7% in July,"The index of mineral production of the mining and quarrying sector for July 2023 was at 111.9, higher 10.7 per cent as compared to the year-ago period, as per the provisional figures of Indian Bureau of Mines (IBM).",economy_news2
12,"September 28, 2023 02:18 PM IST",Russian oil sold to India at 30% above Western price cap: Traders,"Russia's main export grade Urals has been trading above the $60 per barrel Western price cap since mid-July amid output cuts by OPEC+ producers, including Saudi Arabia and Russia.",economy_news2
13,"September 28, 2023 01:33 PM IST",MPC may keep interest rates unchanged: Federal Bank MD & CEO Shyam Srinivasan,"Srinivasan added that if there is visibility that vegetable prices are cooling off, then inflation may drop as he does not see further pressure on other items in the food basket.",economy_news2
14,"September 28, 2023 04:14 PM IST",India likely to ban sugar exports in new season beginning October,"The Centre is likely to ban export of sugar in the upcoming season, and Moneycontrol learns from officials that a notification to this effect can be expected in the first week of Novembe",economy_news2
15,"September 28, 2023 01:22 PM IST","Women's Reservation Bill paves a path to gender parity, sustainable development",The bill ensures that our future generations will be a part of a more gender-inclusive society that promotes gender-sensitive policies and addresses gender-specific issues. This move gives young girls hope to stand with their male counterparts as equals,economy_news2
16,"September 28, 2023 01:08 PM IST","Lex | M&A/IPOs: Lies, damn lies and private asset valuations",Dealmakers have good economic reasons to be biased when it comes to valuing assets,economy_news2
17,"September 28, 2023 01:04 PM IST","Fossil fuel demand must fall by a quarter by 2030 to limit global warming, says IEA","Governments need to step up clean energy supply to avoid shortages and price jumps, agency warns",economy_news2
18,"September 28, 2023 11:57 AM IST",China Economy: Powell can't ignore the slowdown forever,Such an enormous cog in the world’s commercial and financial ecosystem doesn’t stumble without the pain being spread around. The US Fed chair appears to be an outlier among central bankers. Other central bankers are citing a dent in international trade but Jerome Powell has studiously avoided mentioning the China slowdown,economy_news2
19,"September 28, 2023 01:03 PM IST",Current account deficit surges to $9.2 billion in June quarter,"In the January-March quarter, India's current account deficit was $1.3 billion, the Reserve Bank of India said",economy_news2
20,"September 28, 2023 11:24 AM IST",Long COVID is real. Now the evidence is piling up,"A new study, led by the Icahn School of Medicine at Mount Sinai and the Yale School of Medicine and published in Nature, defines some critical differences in certain biomarkers of people with long COVID. The next step is even more critical: coming up with a way to cure them",economy_news2
