,0,1,2,3,4,5,6,Year,Stock
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,2018,aartiindustries
8,Net Inc/Dec In Cash And Cash Equivalents,27.17,-155.48,165.03,-556.91,772.13,,2018,aartiindustries
9,Cash And Cash Equivalents Begin of Year,173.56,412.32,247.29,804.20,32.07,,2018,aartiindustries
10,Cash And Cash Equivalents End Of Year,200.73,256.84,412.32,247.29,804.20,,2018,aartiindustries
0,Cash Flow of Aarti Industries (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2019,aartiindustries
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2019,aartiindustries
2,Net Profit/Loss Before Extraordinary Items And Tax,611.10,1526.80,40.12,676.18,621.97,,2019,aartiindustries
3,Net CashFlow From Operating Activities,1309.80,470.76,872.71,1102.06,736.20,,2019,aartiindustries
4,Net Cash Used In Investing Activities,-1329.78,-1305.48,-1322.14,-1124.06,-797.00,,2019,aartiindustries
5,Net Cash Used From Financing Activities,47.15,679.24,614.46,-534.91,832.93,,2019,aartiindustries
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,2019,aartiindustries
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,2019,aartiindustries
8,Net Inc/Dec In Cash And Cash Equivalents,27.17,-155.48,165.03,-556.91,772.13,,2019,aartiindustries
9,Cash And Cash Equivalents Begin of Year,173.56,412.32,247.29,804.20,32.07,,2019,aartiindustries
10,Cash And Cash Equivalents End Of Year,200.73,256.84,412.32,247.29,804.20,,2019,aartiindustries
0,Cash Flow of Aarti Industries (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2020,aartiindustries
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2020,aartiindustries
2,Net Profit/Loss Before Extraordinary Items And Tax,611.10,1526.80,40.12,676.18,621.97,,2020,aartiindustries
3,Net CashFlow From Operating Activities,1309.80,470.76,872.71,1102.06,736.20,,2020,aartiindustries
4,Net Cash Used In Investing Activities,-1329.78,-1305.48,-1322.14,-1124.06,-797.00,,2020,aartiindustries
5,Net Cash Used From Financing Activities,47.15,679.24,614.46,-534.91,832.93,,2020,aartiindustries
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,2020,aartiindustries
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,2020,aartiindustries
8,Net Inc/Dec In Cash And Cash Equivalents,27.17,-155.48,165.03,-556.91,772.13,,2020,aartiindustries
9,Cash And Cash Equivalents Begin of Year,173.56,412.32,247.29,804.20,32.07,,2020,aartiindustries
10,Cash And Cash Equivalents End Of Year,200.73,256.84,412.32,247.29,804.20,,2020,aartiindustries
0,Cash Flow of Aarti Industries (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2021,aartiindustries
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2021,aartiindustries
2,Net Profit/Loss Before Extraordinary Items And Tax,611.10,1526.80,40.12,676.18,621.97,,2021,aartiindustries
3,Net CashFlow From Operating Activities,1309.80,470.76,872.71,1102.06,736.20,,2021,aartiindustries
4,Net Cash Used In Investing Activities,-1329.78,-1305.48,-1322.14,-1124.06,-797.00,,2021,aartiindustries
5,Net Cash Used From Financing Activities,47.15,679.24,614.46,-534.91,832.93,,2021,aartiindustries
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,2021,aartiindustries
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,2021,aartiindustries
8,Net Inc/Dec In Cash And Cash Equivalents,27.17,-155.48,165.03,-556.91,772.13,,2021,aartiindustries
9,Cash And Cash Equivalents Begin of Year,173.56,412.32,247.29,804.20,32.07,,2021,aartiindustries
10,Cash And Cash Equivalents End Of Year,200.73,256.84,412.32,247.29,804.20,,2021,aartiindustries
0,Cash Flow of Aarti Industries (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2022,aartiindustries
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2022,aartiindustries
2,Net Profit/Loss Before Extraordinary Items And Tax,611.10,1526.80,40.12,676.18,621.97,,2022,aartiindustries
3,Net CashFlow From Operating Activities,1309.80,470.76,872.71,1102.06,736.20,,2022,aartiindustries
4,Net Cash Used In Investing Activities,-1329.78,-1305.48,-1322.14,-1124.06,-797.00,,2022,aartiindustries
5,Net Cash Used From Financing Activities,47.15,679.24,614.46,-534.91,832.93,,2022,aartiindustries
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,2022,aartiindustries
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,2022,aartiindustries
8,Net Inc/Dec In Cash And Cash Equivalents,27.17,-155.48,165.03,-556.91,772.13,,2022,aartiindustries
9,Cash And Cash Equivalents Begin of Year,173.56,412.32,247.29,804.20,32.07,,2022,aartiindustries
10,Cash And Cash Equivalents End Of Year,200.73,256.84,412.32,247.29,804.20,,2022,aartiindustries
0,Cash Flow of Aarti Industries (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2023,aartiindustries
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2023,aartiindustries
2,Net Profit/Loss Before Extraordinary Items And Tax,611.10,1526.80,40.12,676.18,621.97,,2023,aartiindustries
3,Net CashFlow From Operating Activities,1309.80,470.76,872.71,1102.06,736.20,,2023,aartiindustries
4,Net Cash Used In Investing Activities,-1329.78,-1305.48,-1322.14,-1124.06,-797.00,,2023,aartiindustries
5,Net Cash Used From Financing Activities,47.15,679.24,614.46,-534.91,832.93,,2023,aartiindustries
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,2023,aartiindustries
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,2023,aartiindustries
8,Net Inc/Dec In Cash And Cash Equivalents,27.17,-155.48,165.03,-556.91,772.13,,2023,aartiindustries
9,Cash And Cash Equivalents Begin of Year,173.56,412.32,247.29,804.20,32.07,,2023,aartiindustries
10,Cash And Cash Equivalents End Of Year,200.73,256.84,412.32,247.29,804.20,,2023,aartiindustries
0,Cash Flow of Balrampur Chini Mills (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2018,balrampurchinimills
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2018,balrampurchinimills
2,Net Profit/Loss Before Extraordinary Items And Tax,396.68,587.98,589.58,560.25,595.03,,2018,balrampurchinimills
3,Net CashFlow From Operating Activities,452.92,694.65,648.97,849.61,-523.01,,2018,balrampurchinimills
4,Net Cash Used In Investing Activities,-858.75,-309.39,-81.13,-304.71,-159.20,,2018,balrampurchinimills
5,Net Cash Used From Financing Activities,405.83,-385.39,-568.89,-545.52,681.88,,2018,balrampurchinimills
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,2018,balrampurchinimills
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,2018,balrampurchinimills
8,Net Inc/Dec In Cash And Cash Equivalents,-0.01,-0.12,-1.05,-0.63,-0.33,,2018,balrampurchinimills
9,Cash And Cash Equivalents Begin of Year,0.32,0.45,1.49,2.12,2.45,,2018,balrampurchinimills
10,Cash And Cash Equivalents End Of Year,0.31,0.32,0.45,1.49,2.12,,2018,balrampurchinimills
0,Cash Flow of Balrampur Chini Mills (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2019,balrampurchinimills
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2019,balrampurchinimills
2,Net Profit/Loss Before Extraordinary Items And Tax,396.68,587.98,589.58,560.25,595.03,,2019,balrampurchinimills
3,Net CashFlow From Operating Activities,452.92,694.65,648.97,849.61,-523.01,,2019,balrampurchinimills
4,Net Cash Used In Investing Activities,-858.75,-309.39,-81.13,-304.71,-159.20,,2019,balrampurchinimills
5,Net Cash Used From Financing Activities,405.83,-385.39,-568.89,-545.52,681.88,,2019,balrampurchinimills
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,2019,balrampurchinimills
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,2019,balrampurchinimills
8,Net Inc/Dec In Cash And Cash Equivalents,-0.01,-0.12,-1.05,-0.63,-0.33,,2019,balrampurchinimills
9,Cash And Cash Equivalents Begin of Year,0.32,0.45,1.49,2.12,2.45,,2019,balrampurchinimills
10,Cash And Cash Equivalents End Of Year,0.31,0.32,0.45,1.49,2.12,,2019,balrampurchinimills
0,Cash Flow of Balrampur Chini Mills (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2020,balrampurchinimills
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2020,balrampurchinimills
2,Net Profit/Loss Before Extraordinary Items And Tax,396.68,587.98,589.58,560.25,595.03,,2020,balrampurchinimills
3,Net CashFlow From Operating Activities,452.92,694.65,648.97,849.61,-523.01,,2020,balrampurchinimills
4,Net Cash Used In Investing Activities,-858.75,-309.39,-81.13,-304.71,-159.20,,2020,balrampurchinimills
5,Net Cash Used From Financing Activities,405.83,-385.39,-568.89,-545.52,681.88,,2020,balrampurchinimills
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,2020,balrampurchinimills
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,2020,balrampurchinimills
8,Net Inc/Dec In Cash And Cash Equivalents,-0.01,-0.12,-1.05,-0.63,-0.33,,2020,balrampurchinimills
9,Cash And Cash Equivalents Begin of Year,0.32,0.45,1.49,2.12,2.45,,2020,balrampurchinimills
10,Cash And Cash Equivalents End Of Year,0.31,0.32,0.45,1.49,2.12,,2020,balrampurchinimills
0,Cash Flow of Balrampur Chini Mills (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2021,balrampurchinimills
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2021,balrampurchinimills
2,Net Profit/Loss Before Extraordinary Items And Tax,396.68,587.98,589.58,560.25,595.03,,2021,balrampurchinimills
3,Net CashFlow From Operating Activities,452.92,694.65,648.97,849.61,-523.01,,2021,balrampurchinimills
4,Net Cash Used In Investing Activities,-858.75,-309.39,-81.13,-304.71,-159.20,,2021,balrampurchinimills
5,Net Cash Used From Financing Activities,405.83,-385.39,-568.89,-545.52,681.88,,2021,balrampurchinimills
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,2021,balrampurchinimills
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,2021,balrampurchinimills
8,Net Inc/Dec In Cash And Cash Equivalents,-0.01,-0.12,-1.05,-0.63,-0.33,,2021,balrampurchinimills
9,Cash And Cash Equivalents Begin of Year,0.32,0.45,1.49,2.12,2.45,,2021,balrampurchinimills
10,Cash And Cash Equivalents End Of Year,0.31,0.32,0.45,1.49,2.12,,2021,balrampurchinimills
0,Cash Flow of Balrampur Chini Mills (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2022,balrampurchinimills
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2022,balrampurchinimills
2,Net Profit/Loss Before Extraordinary Items And Tax,396.68,587.98,589.58,560.25,595.03,,2022,balrampurchinimills
3,Net CashFlow From Operating Activities,452.92,694.65,648.97,849.61,-523.01,,2022,balrampurchinimills
4,Net Cash Used In Investing Activities,-858.75,-309.39,-81.13,-304.71,-159.20,,2022,balrampurchinimills
5,Net Cash Used From Financing Activities,405.83,-385.39,-568.89,-545.52,681.88,,2022,balrampurchinimills
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,2022,balrampurchinimills
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,2022,balrampurchinimills
8,Net Inc/Dec In Cash And Cash Equivalents,-0.01,-0.12,-1.05,-0.63,-0.33,,2022,balrampurchinimills
9,Cash And Cash Equivalents Begin of Year,0.32,0.45,1.49,2.12,2.45,,2022,balrampurchinimills
10,Cash And Cash Equivalents End Of Year,0.31,0.32,0.45,1.49,2.12,,2022,balrampurchinimills
0,Cash Flow of Balrampur Chini Mills (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2023,balrampurchinimills
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2023,balrampurchinimills
2,Net Profit/Loss Before Extraordinary Items And Tax,396.68,587.98,589.58,560.25,595.03,,2023,balrampurchinimills
3,Net CashFlow From Operating Activities,452.92,694.65,648.97,849.61,-523.01,,2023,balrampurchinimills
4,Net Cash Used In Investing Activities,-858.75,-309.39,-81.13,-304.71,-159.20,,2023,balrampurchinimills
5,Net Cash Used From Financing Activities,405.83,-385.39,-568.89,-545.52,681.88,,2023,balrampurchinimills
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,2023,balrampurchinimills
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,2023,balrampurchinimills
8,Net Inc/Dec In Cash And Cash Equivalents,-0.01,-0.12,-1.05,-0.63,-0.33,,2023,balrampurchinimills
9,Cash And Cash Equivalents Begin of Year,0.32,0.45,1.49,2.12,2.45,,2023,balrampurchinimills
10,Cash And Cash Equivalents End Of Year,0.31,0.32,0.45,1.49,2.12,,2023,balrampurchinimills
0,Cash Flow of Bharti Airtel (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2018,bhartiairtel
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2018,bhartiairtel
2,Net Profit/Loss Before Extraordinary Items And Tax,16560.70,12483.10,-3118.40,-42846.50,-1731.80,,2018,bhartiairtel
3,Net CashFlow From Operating Activities,65324.60,55016.60,48205.00,18128.70,20070.20,,2018,bhartiairtel
4,Net Cash Used In Investing Activities,-39080.20,-41869.60,-26888.40,-30491.90,-28500.90,,2018,bhartiairtel
5,Net Cash Used From Financing Activities,-24469.50,-15203.20,-24910.30,19144.40,9463.80,,2018,bhartiairtel
6,Foreign Exchange Gains / Losses,-152.20,391.90,-397.20,893.40,215.30,,2018,bhartiairtel
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,2018,bhartiairtel
8,Net Inc/Dec In Cash And Cash Equivalents,1622.70,-1664.30,-3990.90,7674.60,1248.40,,2018,bhartiairtel
9,Cash And Cash Equivalents Begin of Year,7398.70,9063.00,13053.90,5379.30,4130.90,,2018,bhartiairtel
10,Cash And Cash Equivalents End Of Year,9021.40,7398.70,9063.00,13053.90,5379.30,,2018,bhartiairtel
0,Cash Flow of Bharti Airtel (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2019,bhartiairtel
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2019,bhartiairtel
2,Net Profit/Loss Before Extraordinary Items And Tax,16560.70,12483.10,-3118.40,-42846.50,-1731.80,,2019,bhartiairtel
3,Net CashFlow From Operating Activities,65324.60,55016.60,48205.00,18128.70,20070.20,,2019,bhartiairtel
4,Net Cash Used In Investing Activities,-39080.20,-41869.60,-26888.40,-30491.90,-28500.90,,2019,bhartiairtel
5,Net Cash Used From Financing Activities,-24469.50,-15203.20,-24910.30,19144.40,9463.80,,2019,bhartiairtel
6,Foreign Exchange Gains / Losses,-152.20,391.90,-397.20,893.40,215.30,,2019,bhartiairtel
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,2019,bhartiairtel
8,Net Inc/Dec In Cash And Cash Equivalents,1622.70,-1664.30,-3990.90,7674.60,1248.40,,2019,bhartiairtel
9,Cash And Cash Equivalents Begin of Year,7398.70,9063.00,13053.90,5379.30,4130.90,,2019,bhartiairtel
10,Cash And Cash Equivalents End Of Year,9021.40,7398.70,9063.00,13053.90,5379.30,,2019,bhartiairtel
0,Cash Flow of Bharti Airtel (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2020,bhartiairtel
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2020,bhartiairtel
2,Net Profit/Loss Before Extraordinary Items And Tax,16560.70,12483.10,-3118.40,-42846.50,-1731.80,,2020,bhartiairtel
3,Net CashFlow From Operating Activities,65324.60,55016.60,48205.00,18128.70,20070.20,,2020,bhartiairtel
4,Net Cash Used In Investing Activities,-39080.20,-41869.60,-26888.40,-30491.90,-28500.90,,2020,bhartiairtel
5,Net Cash Used From Financing Activities,-24469.50,-15203.20,-24910.30,19144.40,9463.80,,2020,bhartiairtel
6,Foreign Exchange Gains / Losses,-152.20,391.90,-397.20,893.40,215.30,,2020,bhartiairtel
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,2020,bhartiairtel
8,Net Inc/Dec In Cash And Cash Equivalents,1622.70,-1664.30,-3990.90,7674.60,1248.40,,2020,bhartiairtel
9,Cash And Cash Equivalents Begin of Year,7398.70,9063.00,13053.90,5379.30,4130.90,,2020,bhartiairtel
10,Cash And Cash Equivalents End Of Year,9021.40,7398.70,9063.00,13053.90,5379.30,,2020,bhartiairtel
0,Cash Flow of Bharti Airtel (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2021,bhartiairtel
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2021,bhartiairtel
2,Net Profit/Loss Before Extraordinary Items And Tax,16560.70,12483.10,-3118.40,-42846.50,-1731.80,,2021,bhartiairtel
3,Net CashFlow From Operating Activities,65324.60,55016.60,48205.00,18128.70,20070.20,,2021,bhartiairtel
4,Net Cash Used In Investing Activities,-39080.20,-41869.60,-26888.40,-30491.90,-28500.90,,2021,bhartiairtel
5,Net Cash Used From Financing Activities,-24469.50,-15203.20,-24910.30,19144.40,9463.80,,2021,bhartiairtel
6,Foreign Exchange Gains / Losses,-152.20,391.90,-397.20,893.40,215.30,,2021,bhartiairtel
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,2021,bhartiairtel
8,Net Inc/Dec In Cash And Cash Equivalents,1622.70,-1664.30,-3990.90,7674.60,1248.40,,2021,bhartiairtel
9,Cash And Cash Equivalents Begin of Year,7398.70,9063.00,13053.90,5379.30,4130.90,,2021,bhartiairtel
10,Cash And Cash Equivalents End Of Year,9021.40,7398.70,9063.00,13053.90,5379.30,,2021,bhartiairtel
0,Cash Flow of Bharti Airtel (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2022,bhartiairtel
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2022,bhartiairtel
2,Net Profit/Loss Before Extraordinary Items And Tax,16560.70,12483.10,-3118.40,-42846.50,-1731.80,,2022,bhartiairtel
3,Net CashFlow From Operating Activities,65324.60,55016.60,48205.00,18128.70,20070.20,,2022,bhartiairtel
4,Net Cash Used In Investing Activities,-39080.20,-41869.60,-26888.40,-30491.90,-28500.90,,2022,bhartiairtel
5,Net Cash Used From Financing Activities,-24469.50,-15203.20,-24910.30,19144.40,9463.80,,2022,bhartiairtel
6,Foreign Exchange Gains / Losses,-152.20,391.90,-397.20,893.40,215.30,,2022,bhartiairtel
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,2022,bhartiairtel
8,Net Inc/Dec In Cash And Cash Equivalents,1622.70,-1664.30,-3990.90,7674.60,1248.40,,2022,bhartiairtel
9,Cash And Cash Equivalents Begin of Year,7398.70,9063.00,13053.90,5379.30,4130.90,,2022,bhartiairtel
10,Cash And Cash Equivalents End Of Year,9021.40,7398.70,9063.00,13053.90,5379.30,,2022,bhartiairtel
0,Cash Flow of Bharti Airtel (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2023,bhartiairtel
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2023,bhartiairtel
2,Net Profit/Loss Before Extraordinary Items And Tax,16560.70,12483.10,-3118.40,-42846.50,-1731.80,,2023,bhartiairtel
