,0,1,2,3,Stock,4,5,6
6,Revaluation Reserve,0.00,0.00,0.00,ausmallfinancebank,0.00,,
7,Reserves and Surplus,0.00,44.08,44.08,ausmallfinancebank,42.96,,
8,Total Reserves and Surplus,0.00,1022.47,793.51,ausmallfinancebank,606.21,,
9,Total ShareHolders Funds,0.00,1022.47,793.51,ausmallfinancebank,606.21,,
10,Minority Interest,0.00,4.23,0.00,ausmallfinancebank,0.00,,
11,Deposits,0.00,0.00,0.00,ausmallfinancebank,0.00,,
12,Borrowings,0.00,0.00,0.00,ausmallfinancebank,0.00,,
13,Other Liabilities and Provisions,0.00,0.00,0.00,ausmallfinancebank,0.00,,
14,Total Capital and Liabilities,0.00,7932.81,4829.62,ausmallfinancebank,3376.62,,
15,ASSETS,,,,ausmallfinancebank,,,
16,Cash and Balances with Reserve Bank of India,0.00,0.00,0.00,ausmallfinancebank,0.00,,
17,Balances with Banks Money at Call and Short Notice,0.00,0.00,0.00,ausmallfinancebank,0.00,,
18,Investments,0.00,0.00,0.00,ausmallfinancebank,0.00,,
19,Advances,0.00,0.00,0.00,ausmallfinancebank,0.00,,
20,Fixed Assets,0.00,29.85,25.17,ausmallfinancebank,22.28,,
21,Other Assets,0.00,0.00,0.00,ausmallfinancebank,0.00,,
22,Total Assets,0.00,7932.42,4829.62,ausmallfinancebank,3376.62,,
23,"CONTINGENT LIABILITIES, COMMITMENTS",,,,ausmallfinancebank,,,
24,Bills for Collection,0.00,0.00,0.00,ausmallfinancebank,0.00,,
25,Contingent Liabilities,0.00,0.00,0.00,ausmallfinancebank,0.00,,
0,Balance Sheet of Aarti Industries (in Rs. Cr.),Mar 23,Mar 22,Mar 21,aartiindustries,Mar 20,Mar 19,
1,,12 mths,12 mths,12 mths,aartiindustries,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,aartiindustries,,,
3,SHAREHOLDER'S FUNDS,,,,aartiindustries,,,
4,Equity Share Capital,181.25,181.25,87.12,aartiindustries,87.12,43.33,
5,Total Share Capital,181.25,181.25,87.12,aartiindustries,87.12,43.33,
6,Reserves and Surplus,4738.81,5733.21,3415.27,aartiindustries,2891.14,2586.71,
7,Total Reserves and Surplus,4738.81,5733.21,3415.78,aartiindustries,2891.65,2587.22,
8,Total Shareholders Funds,4920.06,5914.46,3502.90,aartiindustries,2978.77,2630.55,
9,Minority Interest,0.72,0.72,12.24,aartiindustries,94.62,83.95,
10,NON-CURRENT LIABILITIES,,,,aartiindustries,,,
11,Long Term Borrowings,634.71,930.41,1268.05,aartiindustries,580.84,814.80,
12,Deferred Tax Liabilities [Net],0.00,250.23,233.94,aartiindustries,211.01,193.01,
13,Other Long Term Liabilities,242.07,240.03,224.41,aartiindustries,550.89,203.24,
14,Long Term Provisions,0.00,0.00,0.00,aartiindustries,0.00,0.00,
15,Total Non-Current Liabilities,876.78,1420.67,1726.40,aartiindustries,1342.74,1211.05,
16,CURRENT LIABILITIES,,,,aartiindustries,,,
17,Short Term Borrowings,2239.32,1287.21,1224.07,aartiindustries,1229.67,1290.83,
18,Trade Payables,404.93,490.08,576.33,aartiindustries,345.16,279.28,
19,Other Current Liabilities,109.23,456.62,559.62,aartiindustries,301.63,319.64,
20,Short Term Provisions,29.86,103.04,40.12,aartiindustries,39.91,42.42,
21,Total Current Liabilities,2783.34,2336.95,2400.14,aartiindustries,1916.37,1932.17,
22,Total Capital And Liabilities,8580.90,9672.80,7641.68,aartiindustries,6332.50,5857.94,
23,ASSETS,,,,aartiindustries,,,
24,NON-CURRENT ASSETS,,,,aartiindustries,,,
25,Tangible Assets,4859.48,4417.74,3592.48,aartiindustries,2467.57,2145.36,
26,Intangible Assets,1.47,0.19,0.10,aartiindustries,0.50,0.90,
27,Capital Work-In-Progress,988.98,1490.38,1297.91,aartiindustries,1417.64,794.57,
28,Fixed Assets,5957.17,5908.31,4890.49,aartiindustries,3885.71,2940.83,
29,Non-Current Investments,17.17,73.13,63.52,aartiindustries,37.01,33.16,
30,Deferred Tax Assets [Net],52.78,0.00,0.00,aartiindustries,0.00,0.00,
31,Long Term Loans And Advances,0.00,0.00,0.00,aartiindustries,0.00,0.00,
32,Other Non-Current Assets,94.50,417.66,320.07,aartiindustries,404.49,306.43,
33,Total Non-Current Assets,6121.62,6399.10,5274.08,aartiindustries,4327.63,3280.84,
34,CURRENT ASSETS,,,,aartiindustries,,,
35,Current Investments,0.00,0.00,0.00,aartiindustries,0.00,0.00,
36,Inventories,1031.05,1411.33,935.68,aartiindustries,835.68,771.79,
37,Trade Receivables,940.49,1390.50,793.73,aartiindustries,753.44,776.04,
38,Cash And Cash Equivalents,200.73,256.84,412.32,aartiindustries,247.29,804.20,
39,Short Term Loans And Advances,0.00,0.00,0.00,aartiindustries,0.00,0.00,
40,OtherCurrentAssets,287.01,215.03,225.87,aartiindustries,168.46,225.07,
41,Total Current Assets,2459.28,3273.70,2367.60,aartiindustries,2004.87,2577.10,
42,Total Assets,8580.90,9672.80,7641.68,aartiindustries,6332.50,5857.94,
43,OTHER ADDITIONAL INFORMATION,,,,aartiindustries,,,
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,aartiindustries,,,
45,Contingent Liabilities,652.82,1008.90,439.02,aartiindustries,568.36,406.72,
46,BONUS DETAILS,,,,aartiindustries,,,
47,Bonus Equity Share Capital,159.21,159.21,72.74,aartiindustries,72.74,28.96,
48,NON-CURRENT INVESTMENTS,,,,aartiindustries,,,
49,Non-Current Investments Quoted Market Value,0.00,0.00,0.00,aartiindustries,0.00,0.00,
50,Non-Current Investments Unquoted Book Value,17.17,73.13,63.52,aartiindustries,37.01,33.16,
51,CURRENT INVESTMENTS,,,,aartiindustries,,,
52,Current Investments Quoted Market Value,0.00,0.00,0.00,aartiindustries,0.00,0.00,
53,Current Investments Unquoted Book Value,0.00,0.00,0.00,aartiindustries,0.00,0.00,
0,Balance Sheet of Abbott India (in Rs. Cr.),Mar 23,Mar 22,Mar 21,abbottindia,Mar 20,Mar 19,
1,,12 mths,12 mths,12 mths,abbottindia,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,abbottindia,,,
3,SHAREHOLDER'S FUNDS,,,,abbottindia,,,
4,Equity Share Capital,21.25,21.25,21.25,abbottindia,21.25,21.25,
5,Total Share Capital,21.25,21.25,21.25,abbottindia,21.25,21.25,
6,Reserves and Surplus,3167.29,2798.54,2580.91,abbottindia,2410.46,1987.34,
7,Total Reserves and Surplus,3167.29,2798.54,2580.91,abbottindia,2410.46,1987.34,
8,Total Shareholders Funds,3188.54,2819.79,2602.16,abbottindia,2431.71,2008.59,
9,NON-CURRENT LIABILITIES,,,,abbottindia,,,
10,Long Term Borrowings,0.00,0.00,0.00,abbottindia,0.00,0.00,
11,Deferred Tax Liabilities [Net],0.00,0.00,0.00,abbottindia,0.00,0.00,
12,Other Long Term Liabilities,67.49,108.74,117.68,abbottindia,139.20,0.00,
13,Long Term Provisions,93.46,92.40,89.75,abbottindia,84.84,75.43,
14,Total Non-Current Liabilities,160.95,201.14,207.43,abbottindia,224.04,75.43,
15,CURRENT LIABILITIES,,,,abbottindia,,,
16,Short Term Borrowings,0.00,0.00,0.00,abbottindia,0.00,0.00,
17,Trade Payables,891.99,889.45,762.67,abbottindia,657.77,663.52,
18,Other Current Liabilities,187.84,185.88,152.23,abbottindia,125.88,98.04,
19,Short Term Provisions,126.19,127.86,115.96,abbottindia,107.45,95.33,
20,Total Current Liabilities,1206.02,1203.19,1030.86,abbottindia,891.10,856.89,
21,Total Capital And Liabilities,4555.51,4224.12,3840.45,abbottindia,3546.85,2940.91,
22,ASSETS,,,,abbottindia,,,
23,NON-CURRENT ASSETS,,,,abbottindia,,,
24,Tangible Assets,229.39,262.37,249.61,abbottindia,268.93,103.11,
25,Intangible Assets,7.52,8.63,1.17,abbottindia,0.90,1.85,
26,Capital Work-In-Progress,3.66,0.66,0.66,abbottindia,1.64,0.73,
27,Other Assets,0.00,0.00,0.00,abbottindia,0.00,0.00,
28,Fixed Assets,240.57,271.66,251.44,abbottindia,271.47,105.69,
29,Non-Current Investments,0.00,0.00,0.00,abbottindia,0.00,0.00,
30,Deferred Tax Assets [Net],16.93,16.96,17.81,abbottindia,14.44,13.07,
31,Long Term Loans And Advances,0.00,0.00,14.35,abbottindia,16.78,16.11,
32,Other Non-Current Assets,1272.90,82.46,38.33,abbottindia,39.51,45.06,
33,Total Non-Current Assets,1530.40,371.08,321.93,abbottindia,342.21,179.93,
34,CURRENT ASSETS,,,,abbottindia,,,
35,Current Investments,0.00,0.00,0.00,abbottindia,0.00,0.00,
36,Inventories,648.85,687.82,717.59,abbottindia,527.17,606.79,
37,Trade Receivables,316.95,288.16,250.21,abbottindia,317.91,276.11,
38,Cash And Cash Equivalents,1937.06,2749.22,2409.04,abbottindia,2197.37,1684.28,
39,Short Term Loans And Advances,0.00,0.00,4.95,abbottindia,6.14,7.30,
40,OtherCurrentAssets,122.25,127.84,136.73,abbottindia,156.04,186.50,
41,Total Current Assets,3025.11,3853.04,3518.52,abbottindia,3204.64,2760.98,
42,Total Assets,4555.51,4224.12,3840.45,abbottindia,3546.85,2940.91,
43,OTHER ADDITIONAL INFORMATION,,,,abbottindia,,,
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,abbottindia,,,
45,Contingent Liabilities,106.06,123.78,123.51,abbottindia,110.98,40.60,
46,CIF VALUE OF IMPORTS,,,,abbottindia,,,
47,Raw Materials,576.48,503.37,530.55,abbottindia,519.52,481.89,
48,"Stores, Spares And Loose Tools",0.00,0.00,0.00,abbottindia,0.00,0.00,
49,Trade/Other Goods,0.00,0.00,0.00,abbottindia,0.00,0.00,
50,Capital Goods,0.00,0.00,0.00,abbottindia,0.00,0.00,
51,EXPENDITURE IN FOREIGN EXCHANGE,,,,abbottindia,,,
52,Expenditure In Foreign Currency,5.27,8.32,8.31,abbottindia,8.60,9.95,
53,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,,,,abbottindia,,,
54,Dividend Remittance In Foreign Currency,--,--,--,abbottindia,--,--,
55,EARNINGS IN FOREIGN EXCHANGE,,,,abbottindia,,,
56,FOB Value Of Goods,22.12,35.02,29.53,abbottindia,11.77,18.02,
57,Other Earnings,8.86,6.43,5.81,abbottindia,21.43,18.88,
58,BONUS DETAILS,,,,abbottindia,,,
59,Bonus Equity Share Capital,13.50,13.50,13.50,abbottindia,13.50,13.50,
60,NON-CURRENT INVESTMENTS,,,,abbottindia,,,
61,Non-Current Investments Quoted Market Value,--,--,--,abbottindia,--,--,
62,Non-Current Investments Unquoted Book Value,--,--,--,abbottindia,--,--,
63,CURRENT INVESTMENTS,,,,abbottindia,,,
64,Current Investments Quoted Market Value,--,--,--,abbottindia,--,--,
65,Current Investments Unquoted Book Value,--,--,--,abbottindia,--,--,
0,Balance Sheet of Adani Enterprises (in Rs. Cr.),Mar 23,Mar 22,Mar 21,adanienterprises,Mar 20,Mar 19,
1,,12 mths,12 mths,12 mths,adanienterprises,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,adanienterprises,,,
3,SHAREHOLDER'S FUNDS,,,,adanienterprises,,,
4,Equity Share Capital,114.00,109.98,109.98,adanienterprises,109.98,109.98,
5,Total Share Capital,114.00,109.98,109.98,adanienterprises,109.98,109.98,
6,Reserves and Surplus,31759.89,21506.53,17048.59,adanienterprises,16836.59,14645.96,
7,Total Reserves and Surplus,31759.89,21506.53,17048.59,adanienterprises,16836.59,14645.96,
8,Total Shareholders Funds,31873.89,21616.51,17158.57,adanienterprises,16946.57,14755.94,
9,Minority Interest,4839.04,4671.86,1751.44,adanienterprises,1263.37,387.77,
10,NON-CURRENT LIABILITIES,,,,adanienterprises,,,
11,Long Term Borrowings,32590.03,20803.43,9523.30,adanienterprises,3515.81,2992.22,
12,Deferred Tax Liabilities [Net],2979.91,2606.27,26.14,adanienterprises,23.30,0.00,
13,Other Long Term Liabilities,22823.29,7293.37,1623.50,adanienterprises,1797.43,1841.03,
14,Long Term Provisions,401.49,278.97,76.82,adanienterprises,63.00,49.93,
15,Total Non-Current Liabilities,58794.72,30982.04,11249.76,adanienterprises,5399.54,4883.18,
16,CURRENT LIABILITIES,,,,adanienterprises,,,
17,Short Term Borrowings,5729.59,20220.34,5770.01,adanienterprises,8136.84,6959.14,
18,Trade Payables,28546.85,17647.82,11756.34,adanienterprises,11813.66,11988.73,
19,Other Current Liabilities,10405.59,5885.89,3891.98,adanienterprises,3276.92,3508.72,
20,Short Term Provisions,121.02,95.73,64.76,adanienterprises,61.46,52.70,
21,Total Current Liabilities,44803.05,43849.78,21483.09,adanienterprises,23288.88,22509.29,
22,Total Capital And Liabilities,141487.82,101760.19,51642.86,adanienterprises,46898.36,42536.18,
23,ASSETS,,,,adanienterprises,,,
24,NON-CURRENT ASSETS,,,,adanienterprises,,,
25,Tangible Assets,49858.23,20821.32,5678.88,adanienterprises,6478.61,5767.61,
26,Intangible Assets,6135.74,9000.53,5006.76,adanienterprises,3858.72,3198.28,
27,Capital Work-In-Progress,17698.96,19564.17,8686.27,adanienterprises,7231.14,5764.92,
28,Fixed Assets,80019.18,53366.27,19511.10,adanienterprises,17684.06,14730.81,
29,Non-Current Investments,6145.17,4229.19,5473.43,adanienterprises,1897.53,1508.53,
30,Deferred Tax Assets [Net],209.34,173.83,76.54,adanienterprises,272.77,349.31,
31,Long Term Loans And Advances,4577.03,6236.53,3199.01,adanienterprises,945.87,1376.46,
32,Other Non-Current Assets,12528.21,6508.06,3267.50,adanienterprises,1776.08,1388.84,
33,Total Non-Current Assets,104366.09,70814.80,31679.55,adanienterprises,22715.44,19408.17,
34,CURRENT ASSETS,,,,adanienterprises,,,
35,Current Investments,165.00,63.02,29.51,adanienterprises,54.96,2.82,
36,Inventories,6918.05,6788.28,1757.04,adanienterprises,2562.37,2668.82,
37,Trade Receivables,12552.88,13712.19,11982.65,adanienterprises,13146.53,14307.03,
38,Cash And Cash Equivalents,5373.69,3915.86,1810.82,adanienterprises,3376.68,1709.28,
39,Short Term Loans And Advances,4522.63,1452.84,1413.10,adanienterprises,1959.86,2238.77,
40,OtherCurrentAssets,7589.48,5013.20,2970.19,adanienterprises,3082.52,2201.29,
41,Total Current Assets,37121.73,30945.39,19963.31,adanienterprises,24182.92,23128.01,
42,Total Assets,141487.82,101760.19,51642.86,adanienterprises,46898.36,42536.18,
43,OTHER ADDITIONAL INFORMATION,,,,adanienterprises,,,
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,adanienterprises,,,
45,Contingent Liabilities,42708.91,23396.58,12661.10,adanienterprises,12097.09,7804.46,
46,BONUS DETAILS,,,,adanienterprises,,,
47,Bonus Equity Share Capital,41.84,41.84,41.84,adanienterprises,41.84,41.84,
48,NON-CURRENT INVESTMENTS,,,,adanienterprises,,,
49,Non-Current Investments Quoted Market Value,0.00,0.00,0.00,adanienterprises,0.00,0.00,
50,Non-Current Investments Unquoted Book Value,168.90,4229.19,5473.43,adanienterprises,1897.53,1508.53,
51,CURRENT INVESTMENTS,,,,adanienterprises,,,
52,Current Investments Quoted Market Value,0.00,0.00,0.00,adanienterprises,0.00,0.00,
53,Current Investments Unquoted Book Value,165.00,63.02,29.51,adanienterprises,54.96,2.82,
0,Balance Sheet of Adani Ports and Special Economic Zone (in Rs. Cr.),Mar 23,Mar 22,Mar 21,adaniportsspecialeconomiczone,Mar 20,Mar 19,
1,,12 mths,12 mths,12 mths,adaniportsspecialeconomiczone,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,adaniportsspecialeconomiczone,,,
3,SHAREHOLDER'S FUNDS,,,,adaniportsspecialeconomiczone,,,
4,Equity Share Capital,432.03,422.47,406.35,adaniportsspecialeconomiczone,406.35,414.19,
5,Total Share Capital,432.03,537.82,512.18,adaniportsspecialeconomiczone,503.44,580.07,
6,Reserves and Surplus,45151.55,37661.00,30035.38,adaniportsspecialeconomiczone,25050.61,24124.01,
7,Total Reserves and Surplus,45151.55,37661.00,30035.38,adaniportsspecialeconomiczone,25050.61,24124.01,
8,Total Shareholders Funds,45583.58,38198.82,30547.56,adaniportsspecialeconomiczone,25554.05,24704.08,
9,Minority Interest,1338.51,392.77,1464.93,adaniportsspecialeconomiczone,219.59,209.94,
10,NON-CURRENT LIABILITIES,,,,adaniportsspecialeconomiczone,,,
11,Long Term Borrowings,46516.94,39576.13,32829.70,adaniportsspecialeconomiczone,26084.24,19717.44,
12,Deferred Tax Liabilities [Net],3186.37,2207.34,1203.16,adaniportsspecialeconomiczone,286.97,216.03,
13,Other Long Term Liabilities,4153.42,3167.69,1989.15,adaniportsspecialeconomiczone,2187.59,1324.38,
14,Long Term Provisions,1201.75,32.04,26.68,adaniportsspecialeconomiczone,8.23,3.90,
15,Total Non-Current Liabilities,55058.48,44983.20,36048.69,adaniportsspecialeconomiczone,28567.03,21261.75,
16,CURRENT LIABILITIES,,,,adaniportsspecialeconomiczone,,,
17,Short Term Borrowings,4001.49,5761.56,1465.45,adaniportsspecialeconomiczone,1544.12,6545.87,
18,Trade Payables,1828.23,979.59,1013.85,adaniportsspecialeconomiczone,728.74,572.07,
19,Other Current Liabilities,6546.81,4290.46,4660.92,adaniportsspecialeconomiczone,5317.31,3134.50,
20,Short Term Provisions,548.03,104.83,95.73,adaniportsspecialeconomiczone,106.30,99.25,
21,Total Current Liabilities,12924.56,11136.44,7235.95,adaniportsspecialeconomiczone,7696.47,10351.69,
22,Total Capital And Liabilities,114905.13,94877.76,75463.66,adaniportsspecialeconomiczone,62203.67,56527.46,
23,ASSETS,,,,adaniportsspecialeconomiczone,,,
24,NON-CURRENT ASSETS,,,,adaniportsspecialeconomiczone,,,
25,Tangible Assets,72688.82,42321.47,38710.88,adaniportsspecialeconomiczone,27487.88,22780.93,
26,Intangible Assets,0.00,8571.66,5533.03,adaniportsspecialeconomiczone,1940.38,2072.56,
27,Capital Work-In-Progress,0.00,3985.76,3697.13,adaniportsspecialeconomiczone,3216.33,4483.48,
28,Fixed Assets,72688.82,54878.89,47941.04,adaniportsspecialeconomiczone,32644.59,29336.97,
29,Non-Current Investments,3557.85,5913.33,1097.39,adaniportsspecialeconomiczone,1166.11,268.49,
30,Deferred Tax Assets [Net],2199.90,994.38,881.73,adaniportsspecialeconomiczone,1209.62,1028.38,
31,Long Term Loans And Advances,1588.85,571.41,986.26,adaniportsspecialeconomiczone,1264.37,1219.54,
32,Other Non-Current Assets,10458.79,8800.24,7602.38,adaniportsspecialeconomiczone,7812.82,6775.01,
33,Total Non-Current Assets,97457.61,77076.13,62555.85,adaniportsspecialeconomiczone,47383.76,41896.32,
34,CURRENT ASSETS,,,,adaniportsspecialeconomiczone,,,
35,Current Investments,4028.69,47.79,1138.76,adaniportsspecialeconomiczone,11.89,513.81,
36,Inventories,451.97,381.19,991.85,adaniportsspecialeconomiczone,288.28,806.68,
37,Trade Receivables,3940.79,2469.68,2925.71,adaniportsspecialeconomiczone,3202.14,2789.66,
38,Cash And Cash Equivalents,4248.78,10492.09,4700.78,adaniportsspecialeconomiczone,7313.86,5967.30,
39,Short Term Loans And Advances,408.10,1302.42,1082.81,adaniportsspecialeconomiczone,1852.88,1547.61,
40,OtherCurrentAssets,4369.19,3108.46,2067.90,adaniportsspecialeconomiczone,2150.86,3006.08,
41,Total Current Assets,17447.52,17801.63,12907.81,adaniportsspecialeconomiczone,14819.91,14631.14,
42,Total Assets,114905.13,94877.76,75463.66,adaniportsspecialeconomiczone,62203.67,56527.46,
43,OTHER ADDITIONAL INFORMATION,,,,adaniportsspecialeconomiczone,,,
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,adaniportsspecialeconomiczone,,,
45,Contingent Liabilities,0.00,13745.58,17993.84,adaniportsspecialeconomiczone,18497.09,19772.92,
46,BONUS DETAILS,,,,adaniportsspecialeconomiczone,,,
47,Bonus Equity Share Capital,0.00,176.79,176.79,adaniportsspecialeconomiczone,176.79,180.21,
48,NON-CURRENT INVESTMENTS,,,,adaniportsspecialeconomiczone,,,
49,Non-Current Investments Quoted Market Value,0.00,0.00,0.00,adaniportsspecialeconomiczone,0.00,0.00,
