,Stock,Dividend Yield,Mkt Cap (Rs. Cr.),TTM EPS See historical trend,Open,Open,Year,Total Assets,Minority Interest,Net CashFlow From Operating Activities,Total Shareholders Funds,Total Current Assets,Cash And Cash Equivalents,Current Investments,Total Current Liabilities,Long Term Borrowings,Short Term Borrowings,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",Finance Costs,Other Income,Net Cash Used In Investing Activities,Inventories,Current Assets,Current Liabilities,Working Capital,Minority Interest Balance Sheet,Other Income PnL,EBIT,ROC,BookToMkt,Net Debt,TEV,EarningYield,Rank EarningYield,Rank ROC,CombRank,MagicFormulaRank,CombinedRank
47,drlalpathlabs,0.50,20161,31.60  (-2.86% YoY),2330.0,- -,23,2385.56,"Attribute
Minority Interest    33.25
Minority Interest    -2.23
Minority Interest    -2.20
Name: First Date, dtype: object",456.03,1666.3,973.09,665.41,149.94,469.75,83.33,153.34,343.83,37.53,"Attribute
Other Income    41.72
Other Income    41.70
Name: First Date, dtype: object",-287.31,33.81,157.74000000000007,316.40999999999997,-158.6699999999999,33.25,41.72,339.64,0.27444325931672,0.08264967015525024,-1386.23,18808.02,0.018058253872550112,101.0,28.0,221.0,60.0,68.0
48,drreddyslaboratories,0.71,93650,283.19  (+57.54% YoY),5721.85,- -,23,32285.10,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",5887.50,23286.1,20425.5,1730.2,4449.6,8572.1,0.0,1119.0,6011.5,142.8,"Attribute
Other Income    1055.50
Other Income    1055.50
Name: First Date, dtype: object",-4137.30,4867.00,14245.699999999999,7453.1,6792.5999999999985,0.00,1055.50,5098.8,0.22486537978116775,0.2486502936465563,-1225.0599999999997,92424.94,0.05516692788764591,44.0,42.0,161.0,18.0,36.0
49,eichermotors,1.08,94201,117.69  (+56.95% YoY),3427.0,- -,23,19197.64,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",2847.46,14990.28,3683.23,857.12,219.89,3234.58,62.96,132.74,3484.46,28.02,"Attribute
Other Income    595.11
Other Income    595.11
Name: First Date, dtype: object",-2421.60,1278.44,2606.2200000000003,3101.84,-495.6199999999999,0.00,595.11,2917.37,0.20360098430719542,0.15913079478986422,-27.08000000000004,94173.92,0.03097853418441114,73.0,52.0,180.0,53.0,46.0
50,escortskubota,0.22,34660,71.14  (+34.30% YoY),3159.9,- -,23,10085.23,"Attribute
Minority Interest    -3.88
Minority Interest     0.13
Minority Interest     0.13
Name: First Date, dtype: object",223.91,8186.71,4903.41,471.9,1794.93,1715.9,0.0,0.0,895.12,13.27,"Attribute
Other Income    280.93
Other Income    280.93
Name: First Date, dtype: object",-61.77,1217.68,2636.58,1715.9,920.6799999999998,-3.88,280.93,627.46,0.08133187985186932,0.2362005193306405,2925.0,37581.12,0.01669614955594724,105.0,123.0,359.0,129.0,130.0
51,exideindustries,0.76,22257,9.94  (-81.38% YoY),265.95,- -,23,14767.68,"Attribute
Minority Interest     9.02
Minority Interest    -0.07
Minority Interest    -0.07
Name: First Date, dtype: object",768.24,11132.28,5690.99,140.31,603.25,3024.39,141.29,138.09,1137.31,73.84,"Attribute
Other Income    124.74
Other Income    124.74
Name: First Date, dtype: object",-798.82,3436.40,4947.429999999999,2886.2999999999997,2061.1299999999997,9.02,124.74,1086.4099999999999,0.09638685694260223,0.5001698342094623,3.0700000000000003,22269.09,0.048785558817176625,49.0,114.0,234.0,92.0,74.0
52,gailindia,3.24,81235,6.32  (-79.28% YoY),124.1,- -,23,107780.75,"Attribute
Minority Interest    179.55
Minority Interest     20.11
Minority Interest     20.11
Name: First Date, dtype: object",3204.69,64927.43,20530.69,1102.97,0.0,21711.02,8879.69,7395.21,5748.32,366.58,"Attribute
Other Income    1328.47
Other Income    1328.47
Name: First Date, dtype: object",-7640.12,5917.92,19427.719999999998,14315.810000000001,5111.909999999996,179.55,1328.47,4786.429999999999,0.05975615785194787,0.7992543854250015,-128.66,81285.89,0.05888389731600404,40.0,135.0,193.0,101.0,53.0
53,gmrairportsinfrastructure,0.00,36065,-0.12,58.55,- -,23,44111.43,"Attribute
Minority Interest    1761.63
Minority Interest     660.67
Minority Interest     660.67
Name: First Date, dtype: object",2299.23,-792.78,8878.06,4020.67,2538.26,9078.73,28176.48,3767.0,-1066.17,2343.11,"Attribute
Other Income    595.59
Other Income    595.59
Name: First Date, dtype: object",-2422.35,134.73,2319.129999999999,5311.73,-2992.6000000000004,1761.63,595.59,681.35,0.025114236880681668,-0.021981976985997503,-4213.09,33613.54,0.02027010543965319,97.0,146.0,386.0,135.0,131.0
54,glenmarkpharma,0.29,24171,5.18  (-82.70% YoY),853.0,- -,23,19371.68,"Attribute
Minority Interest    365.34
Minority Interest    -80.16
Minority Interest    -80.16
Name: First Date, dtype: object",625.39,9473.92,9873.72,1469.7,0.0,5045.53,3852.14,495.58,1634.31,349.58,"Attribute
Other Income    316.79
Other Income    316.79
Name: First Date, dtype: object",-528.49,2977.79,8404.019999999999,4549.95,3854.069999999999,365.34,316.79,1667.1,0.13496665301159172,0.39195399445616647,-83.95000000000002,24452.39,0.06817738470554412,33.0,80.0,235.0,42.0,76.0
55,godrejconsumerproducts,0.00,101263,16.39  (-2.26% YoY),991.9,- -,23,17498.77,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",2150.65,13794.23,5805.97,390.72,2189.65,3291.31,189.12,844.84,2186.84,175.74,"Attribute
Other Income    168.41
Other Income    168.41
Name: First Date, dtype: object",-1758.34,1537.15,3225.6,2446.47,779.1300000000001,0.00,168.41,2194.17,0.15197745865445952,0.1362218184331888,-582.0799999999999,100680.92,0.021793305027407377,92.0,74.0,310.0,97.0,116.0
56,godrejproperties,0.00,44164,23.41  (+70.96% YoY),1617.6,- -,23,23105.30,"Attribute
Minority Interest     22.95
Minority Interest    -49.21
Minority Interest    -49.21
Name: First Date, dtype: object",-2860.64,9264.2,20172.51,2015.94,1080.47,13786.16,0.0,6411.75,836.0,174.23,"Attribute
Other Income    786.74
Other Income    786.74
Name: First Date, dtype: object",2488.06,12073.40,17076.1,7374.41,9701.689999999999,22.95,786.74,223.49,0.01636089578265316,0.2097681369441174,-1730.2,42456.75,0.00526394507351599,127.0,149.0,421.0,147.0,136.0
57,granulesindia,0.45,8026,18.05  (+6.55% YoY),325.0,- -,23,4904.56,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",738.75,2834.91,2574.15,312.79,0.0,1813.5,148.64,909.98,687.17,55.93,"Attribute
Other Income    13.78
Other Income    13.78
Name: First Date, dtype: object",-191.36,1149.41,2261.36,903.52,1357.8400000000001,0.00,13.78,729.3199999999999,0.20367856923429234,0.35321579865437325,-794.16,7231.84,0.10084847009889598,21.0,51.0,171.0,13.0,39.0
58,grasimindustries,0.51,128049,98.27  (-17.22% YoY),1957.45,- -,23,337205.03,"Attribute
Minority Interest    44170.83
Minority Interest    -4250.94
Minority Interest    -4250.94
Name: First Date, dtype: object",-12685.14,78750.17,94365.31,3713.38,14806.33,69532.99,66701.27,34635.46,14605.78,6043.73,"Attribute
Other Income    3612.05
Other Income    3612.05
Name: First Date, dtype: object",-13686.71,11159.15,75845.59999999999,34897.530000000006,40948.069999999985,44170.83,3612.05,17037.460000000003,0.09659874112621895,0.6150002733328648,-471.9,171747.93,0.09920038046455643,23.0,112.0,225.0,67.0,69.0
59,gujaratgas,1.49,30719,19.79  (+13.68% YoY),453.75,- -,23,10927.43,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",2375.49,7027.95,1979.19,680.98,0.0,2803.37,0.0,0.0,2024.71,40.35,"Attribute
Other Income    101.33
Other Income    101.33
Name: First Date, dtype: object",-1039.05,61.18,1298.21,2803.37,-1505.1599999999999,0.00,101.33,1963.73,0.309396452165364,0.22878186138871706,0.9799999999999898,30719.98,0.06392354422105744,35.0,24.0,99.0,7.0,12.0
60,gujaratnarmadavalleyfertchem,4.94,9438,63.57  (-51.57% YoY),616.8,- -,23,11696.00,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",1373.00,9105.0,4871.0,1994.0,321.0,1292.0,0.0,0.0,1932.0,5.0,"Attribute
Other Income    361.00
Other Income    361.00
Name: First Date, dtype: object",-1229.00,1123.00,2556.0,1292.0,1264.0,0.00,361.00,1576.0,0.2216284629447335,0.9647171010807375,,,,148.0,44.0,,115.0,
61,hcltechnologies,3.71,350985,55.65  (+11.28% YoY),1281.5,- -,23,93411.00,"Attribute
Minority Interest    -7.00
Minority Interest     6.00
Minority Interest     6.00
Name: First Date, dtype: object",18009.00,65405.0,53577.0,14724.0,5385.0,21431.0,2111.0,140.0,19488.0,353.0,"Attribute
Other Income    1358.00
Other Income    1358.00
Name: First Date, dtype: object",-3931.00,228.00,33468.0,21291.0,12177.0,-7.00,1358.00,18483.0,0.3491838585354795,0.18634699488582132,7776.72,358754.72,0.051519879654823776,46.0,18.0,78.0,10.0,6.0
62,hdfclifeinsurancecompany,0.29,139367,6.62  (+0.93% YoY),659.35,- -,23,247871.99,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",6883.17,12989.99,7061.58,1168.55,0.0,8171.24,950.0,0.0,1331.27,82.41,"Attribute
Other Income    1437.32
Other Income     602.51
Name: First Date, dtype: object",-10087.38,0.00,5893.03,8171.24,-2278.21,0.00,1437.32,-23.639999999999873,-0.0018510050550290234,0.09320707197543177,24155.809999999998,163522.81,-0.0001445669873212176,135.0,151.0,409.0,150.0,134.0
63,havellsindia,0.53,88562,17.80  (-7.37% YoY),1425.0,- -,23,11157.44,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",564.93,6625.45,7066.17,1870.17,180.87,3835.54,0.0,0.0,1447.06,33.62,"Attribute
Other Income    177.71
Other Income    177.71
Name: First Date, dtype: object",35.04,3708.58,5015.13,3835.54,1179.5900000000001,0.00,177.71,1302.9699999999998,0.2740048956107737,0.07481143153948645,2382.4399999999996,90944.44,0.014327099050805082,112.0,29.0,230.0,71.0,73.0
64,heromotocorp,3.27,61189,146.60  (+10.48% YoY),3114.6,- -,23,23917.03,"Attribute
Minority Interest    125.06
Minority Interest     10.06
Minority Interest     10.06
Name: First Date, dtype: object",2613.84,16655.57,9435.33,422.8,3671.85,6012.62,20.09,293.15,3860.51,104.88,"Attribute
Other Income    569.01
Other Income    569.01
Name: First Date, dtype: object",-421.33,1756.39,5340.68,5719.47,-378.78999999999996,125.06,569.01,3396.38,0.205268823118081,0.2721987612152511,-201.60000000000002,61112.46,0.055575900561031254,43.0,49.0,108.0,26.0,14.0
65,hindalcoindustries,0.63,107484,37.52  (-44.70% YoY),482.0,- -,23,224817.00,"Attribute
Minority Interest    11.00
Minority Interest     0.00
Minority Interest       --
Name: First Date, dtype: object",19208.00,94802.0,89311.0,15368.0,5857.0,60457.0,51434.0,6901.0,13191.0,3646.0,"Attribute
Other Income    1257.00
Other Income    1257.00
Name: First Date, dtype: object",-8121.00,42958.00,68086.0,53556.0,14530.0,11.00,1257.00,15580.0,0.1130878499517308,0.8820103457258754,-2015.94,105479.06,0.1477070425163061,11.0,97.0,188.0,36.0,50.0
66,hindustanaeronauticsltd,1.38,133508,180.09  (+9.38% YoY),3984.3,- -,23,67203.80,"Attribute
Minority Interest    3.74
Minority Interest    0.01
Minority Interest    0.01
Name: First Date, dtype: object",8829.72,23572.15,51885.04,20316.61,0.0,30827.27,0.0,0.0,6506.63,57.97,"Attribute
Other Income    1670.12
Other Income    1670.12
Name: First Date, dtype: object",-5728.02,12148.69,31568.43,30827.27,741.1599999999999,3.74,1670.12,4894.4800000000005,1.5034310744146897,0.17655983162057706,-164.15000000000003,133347.59,0.03670467535258793,65.0,1.0,110.0,11.0,15.0
67,hindustancopper,0.58,15385,2.95  (-25.95% YoY),157.5,- -,23,2985.27,"Attribute
Minority Interest    0.00
Minority Interest    0.04
Minority Interest    0.04
Name: First Date, dtype: object",673.58,2082.17,701.24,301.04,0.0,838.15,17.2,139.18,395.67,15.93,"Attribute
Other Income    95.87
Other Income    95.87
Name: First Date, dtype: object",-337.30,116.53,400.2,698.97,-298.77000000000004,0.00,95.87,315.73,0.16295657828862822,0.13533766655833604,62987.89000000001,78372.89000000001,0.004028561406884446,131.0,65.0,281.0,119.0,108.0
68,hindustanpetroleumcorporation,0.00,36570,58.81  (+355.37% YoY),253.5,- -,23,161339.51,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",-3466.31,32263.27,43976.02,672.4,5168.89,73865.89,48171.47,18876.83,-12475.43,2174.11,"Attribute
Other Income    1465.91
Other Income    1465.91
Name: First Date, dtype: object",-11383.55,29575.00,38134.729999999996,54989.06,-16854.33,0.00,1465.91,-11767.23,-0.11929571183536923,0.8822332512988789,-680.98,35889.02,-0.32787827586264545,139.0,155.0,440.0,154.0,140.0
69,hindustanunilever,1.58,579609,43.81  (+12.36% YoY),2449.65,- -,23,73087.00,"Attribute
Minority Interest    218.00
Minority Interest    -23.00
Minority Interest    -23.00
Name: First Date, dtype: object",9991.00,50304.0,16998.0,4678.0,2811.0,12028.0,0.0,98.0,13410.0,114.0,"Attribute
Other Income    512.00
Other Income    512.00
Name: First Date, dtype: object",-1494.00,4251.00,9509.0,11930.0,-2421.0,218.00,512.00,13012.0,0.2845770273816814,0.08678954260544608,-1994.0,577833.0,0.022518616970647228,89.0,27.0,154.0,45.0,33.0
70,iciciprudentiallifeinsurancecompany,0.10,84676,6.00  (-21.66% YoY),600.95,- -,23,255851.30,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",89.49,10089.33,5724.79,775.22,0.0,5694.41,1200.0,0.0,1370.49,113.18,"Attribute
Other Income    1967.87
Other Income     919.09
Name: First Date, dtype: object",-1145.41,0.00,4949.57,5694.41,-744.8400000000001,0.00,1967.87,-484.1999999999998,-0.04605240006049012,0.11915218007463745,-12613.0,72063.0,-0.006719120769326837,136.0,153.0,426.0,151.0,138.0
71,idfc,8.64,20376,26.60  (+484.23% YoY),125.5,- -,23,11686.21,"Attribute
Minority Interest     0.00
Minority Interest    -0.04
Minority Interest    -0.04
Name: First Date, dtype: object",0.00,11597.2,11603.18,377.46,11220.62,45.73,0.0,0.0,90.56,0.0,"Attribute
Other Income    0.41
Other Income    0.41
Name: First Date, dtype: object",0.00,0.00,5.100000000000364,45.73,-40.62999999999963,0.00,0.41,90.15,0.008034945551322935,0.5691597958382411,-4.01,20371.99,0.004425193611424313,128.0,150.0,279.0,148.0,106.0
72,itc,3.42,564839,15.96  (+20.39% YoY),451.7,- -,23,85882.98,"Attribute
Minority Interest     383.53
Minority Interest    -285.06
Minority Interest    -285.06
Name: First Date, dtype: object",18877.55,69155.26,39670.89,4880.19,17232.86,13739.41,3.49,35.32,25793.21,43.2,"Attribute
Other Income    1980.49
Other Income    1980.49
Name: First Date, dtype: object",-5732.29,11914.13,17557.839999999997,13704.09,3853.7499999999964,383.53,1980.49,23855.92,0.37092957227895434,0.12243357841792085,,,,148.0,14.0,,91.0,
73,indiacements,0.00,7403,-9.50,241.75,- -,23,11467.22,"Attribute
Minority Interest    50.45
Minority Interest     0.00
Minority Interest    -1.88
Name: First Date, dtype: object",-19.46,5776.3,3426.86,64.87,3.97,2826.55,1801.24,1138.29,-563.94,241.68,"Attribute
Other Income    40.11
Other Income    40.11
Name: First Date, dtype: object",434.85,784.66,3358.0200000000004,1688.2600000000002,1669.7600000000002,50.45,40.11,-362.37000000000006,-0.041887836725635084,0.7802647575307308,-218.54999999999995,7234.9,-0.05008638681944465,137.0,152.0,436.0,152.0,139.0
74,indiabullshousingfinance,0.63,9389,24.12  (-8.51% YoY),198.7,- -,23,74945.24,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",0.00,17361.25,72070.41,5232.23,5370.23,57132.93,0.0,52403.47,1603.85,5636.49,"Attribute
Other Income    6.51
Other Income    6.51
Name: First Date, dtype: object",0.00,0.00,61467.95000000001,4729.459999999999,56738.49000000001,0.00,6.51,7233.83,0.11209593803059512,1.8491053360315262,-1870.17,7518.83,0.9620951664022195,1.0,99.0,181.0,32.0,47.0
75,indiamartintermesh,0.66,18491,52.28  (-37.60% YoY),3038.75,- -,23,3444.63,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",475.83,2058.49,2363.37,58.28,2271.83,856.06,0.0,0.0,409.18,8.15,"Attribute
Other Income    180.53
Other Income    180.50
Name: First Date, dtype: object",-324.01,0.00,33.25999999999976,856.06,-822.8000000000002,0.00,180.53,236.79999999999998,0.11838756930522296,0.11132388729652262,-402.71000000000004,18088.29,0.013091342520492539,117.0,93.0,287.0,124.0,111.0
76,indianenergyexchange,0.00,11860,3.51  (-0.14% YoY),133.0,- -,23,1453.41,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",-22.62,799.1,771.67,64.61,689.49,610.44,0.0,0.0,388.57,2.46,"Attribute
Other Income    73.25
Other Income    73.25
Name: First Date, dtype: object",70.26,0.00,17.569999999999936,610.44,-592.8700000000001,0.00,73.25,317.78,0.4326539503601138,0.06737774030354132,36066.0,47926.0,0.006630638901640028,125.0,9.0,282.0,66.0,110.0
77,indianhotelscompany,0.24,59373,7.43  (+428.56% YoY),416.25,- -,23,13668.75,"Attribute
Minority Interest    660.09
Minority Interest    -50.24
Minority Interest    -50.24
Name: First Date, dtype: object",1618.99,7981.96,2590.34,1053.43,757.33,2119.15,330.98,487.28,1291.35,236.05,"Attribute
Other Income    138.90
Other Income    138.90
Name: First Date, dtype: object",-144.58,109.21,779.58,1631.8700000000001,-852.2900000000001,660.09,138.90,1388.4999999999998,0.17923552852213626,0.13443753894868038,-20316.61,39716.479999999996,0.034960298596451646,69.0,58.0,255.0,57.0,89.0
78,indianoilcorporation,3.27,129704,17.36  (-12.66% YoY),92.45,- -,23,441762.09,"Attribute
Minority Interest     3494.10
Minority Interest    -1912.14
Minority Interest    -1912.14
Name: First Date, dtype: object",29643.72,139720.24,158865.49,2096.64,10436.54,206658.33,63312.94,76801.88,14175.5,7541.36,"Attribute
Other Income    4198.92
Other Income    4198.92
Name: First Date, dtype: object",-28029.56,121107.58,146332.30999999997,129856.44999999998,16475.859999999986,3494.10,4198.92,17517.940000000002,0.0630735207610096,1.077223832726824,-283.84000000000003,132914.26,0.13179880021902843,14.0,132.0,163.0,77.0,37.0
79,indraprasthagas,2.80,32452,24.01  (-1.46% YoY),462.25,- -,23,12620.60,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",2291.93,7931.24,4227.9,2633.23,419.13,4231.58,0.0,0.0,1868.74,10.59,"Attribute
Other Income    202.91
Other Income    202.91
Name: First Date, dtype: object",-841.36,49.17,1175.5399999999995,4231.58,-3056.0400000000004,0.00,202.91,1676.4199999999998,0.3164244688099871,0.24439911253543695,47499.07,79951.07,0.02096807459862638,93.0,23.0,139.0,46.0,27.0
80,industowers,0.00,48967,10.80  (-46.45% YoY),183.95,- -,23,46572.40,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",7904.80,21109.5,8707.6,22.4,275.6,8162.8,2434.0,2278.6,3252.1,1453.9,"Attribute
Other Income    361.30
Other Income    361.30
Name: First Date, dtype: object",-1730.00,0.00,8409.6,5884.200000000001,2525.3999999999996,0.00,361.30,4344.7,0.1684011829594918,0.43109645271305164,-4678.0,44289.0,0.09809885073042968,24.0,63.0,236.0,20.0,77.0
81,infoedgeindia,0.43,57679,-9.89,4440.15,- -,23,16660.30,"Attribute
Minority Interest    1027.85
Minority Interest     -36.95
Minority Interest     -36.95
Name: First Date, dtype: object",520.79,13398.02,3690.63,571.46,754.68,1348.94,1.4,1.02,880.88,7.34,"Attribute
Other Income    392.85
Other Income    392.85
Name: First Date, dtype: object",-366.62,0.00,2364.4900000000002,1347.92,1016.5700000000002,1027.85,392.85,495.37,0.038613358193714545,0.2322859272872276,,,,148.0,143.0,,153.0,
82,infosys,2.28,618511,59.46  (+12.00% YoY),1476.2,- -,23,125816.00,"Attribute
Minority Interest    388.00
Minority Interest    -13.00
Minority Interest    -13.00
Name: First Date, dtype: object",22467.00,75407.0,70881.0,12173.0,6909.0,39186.0,0.0,0.0,33322.0,284.0,"Attribute
Other Income    2701.00
Other Income    2701.00
Name: First Date, dtype: object",-1209.00,0.00,51799.0,39186.0,12613.0,388.00,2701.00,30905.0,0.4887402346838726,0.12191699096701594,-168.13,618730.87,0.0499490190298732,47.0,7.0,82.0,6.0,7.0
83,interglobeaviation,0.00,92663,99.77  (+194.86% YoY),2379.05,- -,23,59169.82,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",12727.94,-6252.4,26148.71,11839.69,11558.03,23851.15,0.0,2252.34,-304.39,3131.73,"Attribute
Other Income    1434.97
Other Income    1434.97
Name: First Date, dtype: object",-4059.49,591.07,2750.989999999998,21598.81,-18847.820000000003,0.00,1434.97,1392.3700000000001,-0.08790353383102638,-0.06747461230480342,424.78,93087.78,0.014957602383470743,109.0,154.0,413.0,142.0,135.0
84,ipcalaboratories,0.44,23170,19.36  (-31.83% YoY),924.05,- -,23,8626.43,"Attribute
Minority Interest    73.30
Minority Interest    -7.67
Minority Interest    -7.67
Name: First Date, dtype: object",805.81,5842.02,5189.27,1853.24,323.32,1805.82,651.78,805.75,745.29,45.54,"Attribute
Other Income    125.62
Other Income    125.62
Name: First Date, dtype: object",-725.00,1743.37,3012.7100000000005,1000.0699999999999,2012.6400000000006,73.30,125.62,665.2099999999999,0.12213957707144835,0.25213724643936125,,,,148.0,89.0,,133.0,
85,jkcement,0.47,24870,48.96  (-42.49% YoY),3320.0,- -,23,13285.06,"Attribute
Minority Interest    -44.40
Minority Interest      7.25
Minority Interest      7.25
Name: First Date, dtype: object",1377.08,4686.75,3738.25,833.27,70.82,2946.83,4100.97,894.14,631.29,312.18,"Attribute
Other Income    87.41
Other Income    87.41
Name: First Date, dtype: object",-2014.78,982.12,2834.16,2052.69,781.4699999999998,-44.40,87.41,856.0600000000001,0.09674535716989939,0.1884499396863691,-377.46,24448.14,0.035015342680465675,68.0,111.0,275.0,104.0,102.0
86,jswsteel,0.43,192396,23.08  (-64.24% YoY),808.05,- -,23,211078.00,"Attribute
Minority Interest    1344.00
Minority Interest       5.00
Minority Interest       5.00
Name: First Date, dtype: object",23323.00,65728.0,68150.0,20714.0,5.0,69963.0,61933.0,16876.0,5201.0,6902.0,"Attribute
Other Income    1030.00
Other Income    1030.00
Name: First Date, dtype: object",-10711.00,33135.00,47431.0,53087.0,-5656.0,1344.00,1030.00,11073.0,0.08942603555074582,0.3416287240898979,-4876.7,188863.3,0.058629707306819275,42.0,117.0,265.0,89.0,98.0
87,jindalsteelpower,0.29,70279,28.11  (-67.34% YoY),700.0,- -,23,69427.23,"Attribute
Minority Interest     312.53
Minority Interest    -800.15
Minority Interest    -800.15
Name: First Date, dtype: object",7275.51,38706.59,15475.68,4716.83,764.86,15498.69,7207.63,5227.66,5855.1,1445.89,"Attribute
Other Income    57.05
Other Income    57.05
Name: First Date, dtype: object",-4018.50,5886.78,9993.99,10271.03,-277.0400000000009,312.53,57.05,7243.9400000000005,0.1560351577435027,0.550756129142418,1736.37,72327.9,0.10015415904512645,22.0,72.0,218.0,29.0,65.0
88,jubilantfoodworks,0.22,35223,4.08  (-41.93% YoY),538.45,- -,23,5382.13,"Attribute
Minority Interest    0.00
Minority Interest    0.17
Minority Interest    0.17
Name: First Date, dtype: object",1026.16,2037.79,685.81,256.91,124.04,1028.96,182.71,0.0,514.85,201.23,"Attribute
Other Income    50.41
Other Income    50.41
Name: First Date, dtype: object",-594.86,177.00,304.8599999999999,1028.96,-724.1000000000001,0.00,50.41,665.6700000000001,0.3390066154339756,0.057853959060840926,-5232.23,29990.77,0.022195828916696705,91.0,20.0,243.0,38.0,81.0
89,ltfinanceholdings,1.59,31150,7.62  (+63.38% YoY),127.0,- -,23,106362.14,"Attribute
Minority Interest    89.44
Minority Interest    86.77
Minority Interest    86.77
Name: First Date, dtype: object",7490.47,21528.37,102677.38,12748.91,14366.2,45551.67,38903.86,44139.59,2130.65,5797.24,"Attribute
Other Income    526.75
Other Income    526.75
Name: First Date, dtype: object",-1106.98,0.00,75562.27,1412.0800000000017,74150.19,89.44,526.75,7401.139999999999,0.08060232462682788,0.6911194221508828,-58.28,31181.16,0.23735935417412307,6.0,125.0,168.0,64.0,38.0
90,lttechnologyservices,0.98,48726,114.15  (+18.65% YoY),4655.0,- -,23,6917.30,"Attribute
Minority Interest    18.00
Minority Interest    -4.30
Minority Interest    -4.30
Name: First Date, dtype: object",1305.10,4950.9,5141.0,689.9,2108.8,1513.9,0.0,0.0,1643.7,43.5,"Attribute
Other Income    208.00
Other Income    208.00
Name: First Date, dtype: object",-571.80,0.00,2342.3,1513.9,828.4000000000001,18.00,208.00,1479.2,0.3471485566768364,0.10160694495751754,-64.61,48679.39,0.03038657633137967,74.0,19.0,152.0,28.0,32.0
91,ltimindtree,1.10,161967,150.52  (+8.22% YoY),5475.0,- -,23,23496.10,"Attribute
Minority Interest     7.10
Minority Interest    -2.00
Minority Interest    -2.00
Name: First Date, dtype: object",3094.60,16592.1,17185.8,2932.0,4741.8,5482.6,0.0,125.3,5791.5,150.4,"Attribute
Other Income    556.90
Other Income    556.90
Name: First Date, dtype: object",-330.90,3.30,9512.0,5357.3,4154.7,7.10,556.90,5385.0,0.3906306672276467,0.10244123802996906,-722.45,161251.65,0.03339500712085737,70.0,13.0,137.0,17.0,24.0
92,larsentoubro,0.83,406211,80.12  (+22.41% YoY),2926.95,- -,23,330352.31,"Attribute
Minority Interest    14241.27
Minority Interest    -2059.90
Minority Interest    -2059.90
Name: First Date, dtype: object",22776.96,89325.95,222204.32,22519.6,35573.42,162065.99,61217.68,57295.7,16973.04,3207.16,"Attribute
Other Income    2929.17
Other Income    2929.17
Name: First Date, dtype: object",-8311.70,6828.78,164111.3,104770.29,59341.009999999995,14241.27,2929.17,17251.03,0.0930879297093731,0.21990037197417106,61216.3,481668.57,0.0358151456716389,67.0,115.0,247.0,107.0,85.0
93,lauruslabs,0.51,21282,10.46  (-32.88% YoY),393.7,- -,23,7660.40,"Attribute
Minority Interest    11.13
Minority Interest    -3.32
Minority Interest    -3.32
Name: First Date, dtype: object",993.90,4037.53,3461.68,48.46,0.0,2432.26,761.42,1210.55,1108.94,165.17,"Attribute
Other Income    6.00
Other Income    6.00
Name: First Date, dtype: object",-996.06,1684.81,3413.22,1221.7100000000003,2191.5099999999993,11.13,6.00,1268.1100000000001,0.21273301303128314,0.18971572220655955,-1933.73,19359.4,0.0655035796563943,34.0,47.0,172.0,15.0,41.0
94,lupin,0.35,52330,21.34  (+144.93% YoY),1135.0,- -,23,22955.93,"Attribute
Minority Interest     78.32
Minority Interest    -17.61
Minority Interest    -17.61
Name: First Date, dtype: object",1897.24,12464.5,12451.3,1293.13,439.77,9265.37,27.51,4216.54,716.49,274.3,"Attribute
Other Income    73.36
Other Income    73.36
Name: First Date, dtype: object",-1286.77,4491.76,10718.399999999998,5048.830000000001,5669.569999999997,78.32,73.36,917.43,0.05951378554719885,0.23819033059430536,-2633.23,49775.09,0.018431508612038672,100.0,136.0,348.0,132.0,127.0
