,Value,Num,Stock
0,Open,2418.0,adanienterprises
1,Previous Close,2413.9,adanienterprises
2,Volume,2019899.0,adanienterprises
3,Value (Lacs),48220.04,adanienterprises
4,i  VWAP,2395.34,adanienterprises
5,Beta,,adanienterprises
0,High,2424.9,adanienterprises
1,Low,2372.0,adanienterprises
2,UC Limit,2655.25,adanienterprises
3,LC Limit,2172.55,adanienterprises
4,52 Week High,4190.0,adanienterprises
5,52 Week Low,1017.45,adanienterprises
0,TTM EPS See historical trend,23.49  (+174.78% YoY),adanienterprises
1,TTM PE See historical trend,101.63  (Low PE),adanienterprises
2,P/B See historical trend,12.23 (High P/B),adanienterprises
3,Face Value,1.00,adanienterprises
0,Mkt Cap (Rs. Cr.),272147,adanienterprises
1,Dividend Yield,0.05,adanienterprises
2,20D Avg Volume,3353952,adanienterprises
3,20D Avg Delivery(%),--,adanienterprises
4,Sector PE,88.49,adanienterprises
5,Book Value Per Share,195.27,adanienterprises
0,Open,- -,adanienterprises
1,Previous Close,- -,adanienterprises
2,Volume,- -,adanienterprises
3,Value(lacs),- -,adanienterprises
0,High,- -,adanienterprises
1,Low,- -,adanienterprises
2,ATP,- -,adanienterprises
3,Spot,- -,adanienterprises
0,Open,826.0,adaniportsspecialeconomiczone
1,Previous Close,825.15,adaniportsspecialeconomiczone
2,Volume,2453090.0,adaniportsspecialeconomiczone
3,Value (Lacs),20394.99,adaniportsspecialeconomiczone
4,i  VWAP,830.34,adaniportsspecialeconomiczone
5,Beta,,adaniportsspecialeconomiczone
0,High,836.75,adaniportsspecialeconomiczone
1,Low,824.25,adaniportsspecialeconomiczone
2,UC Limit,907.65,adaniportsspecialeconomiczone
3,LC Limit,742.65,adaniportsspecialeconomiczone
4,52 Week High,916.0,adaniportsspecialeconomiczone
5,52 Week Low,395.1,adaniportsspecialeconomiczone
0,TTM EPS See historical trend,29.01  (+35.56% YoY),adaniportsspecialeconomiczone
1,TTM PE See historical trend,28.66  (Average PE),adaniportsspecialeconomiczone
2,P/B See historical trend,3.94 (Average P/B),adaniportsspecialeconomiczone
3,Face Value,2.00,adaniportsspecialeconomiczone
0,Mkt Cap (Rs. Cr.),179594,adaniportsspecialeconomiczone
1,Dividend Yield,0.60,adaniportsspecialeconomiczone
2,20D Avg Volume,6878872,adaniportsspecialeconomiczone
3,20D Avg Delivery(%),--,adaniportsspecialeconomiczone
4,Sector PE,74.95,adaniportsspecialeconomiczone
5,Book Value Per Share,211.02,adaniportsspecialeconomiczone
0,Open,- -,adaniportsspecialeconomiczone
1,Previous Close,- -,adaniportsspecialeconomiczone
2,Volume,- -,adaniportsspecialeconomiczone
3,Value(lacs),- -,adaniportsspecialeconomiczone
0,High,- -,adaniportsspecialeconomiczone
1,Low,- -,adaniportsspecialeconomiczone
2,ATP,- -,adaniportsspecialeconomiczone
3,Spot,- -,adaniportsspecialeconomiczone
0,Open,179.25,adityabirlacapital
1,Previous Close,179.95,adityabirlacapital
2,Volume,2422083.0,adityabirlacapital
3,Value (Lacs),4376.7,adityabirlacapital
4,i  VWAP,180.11,adityabirlacapital
5,Beta,,adityabirlacapital
0,High,181.5,adityabirlacapital
1,Low,178.3,adityabirlacapital
2,UC Limit,197.9,adityabirlacapital
3,LC Limit,161.95,adityabirlacapital
4,52 Week High,199.3,adityabirlacapital
5,52 Week Low,108.1,adityabirlacapital
0,TTM EPS See historical trend,19.30  (+154.42% YoY),adityabirlacapital
1,TTM PE See historical trend,9.36  (Low PE),adityabirlacapital
2,P/B See historical trend,2.30 (Average P/B),adityabirlacapital
3,Face Value,10.00,adityabirlacapital
0,Mkt Cap (Rs. Cr.),46961,adityabirlacapital
1,Dividend Yield,0.00,adityabirlacapital
2,20D Avg Volume,4012484,adityabirlacapital
3,20D Avg Delivery(%),--,adityabirlacapital
4,Sector PE,29.06,adityabirlacapital
5,Book Value Per Share,78.85,adityabirlacapital
0,Open,- -,adityabirlacapital
1,Previous Close,- -,adityabirlacapital
2,Volume,- -,adityabirlacapital
3,Value(lacs),- -,adityabirlacapital
0,High,- -,adityabirlacapital
1,Low,- -,adityabirlacapital
2,ATP,- -,adityabirlacapital
3,Spot,- -,adityabirlacapital
0,Open,214.4,adityabirlafashionretail
1,Previous Close,214.25,adityabirlafashionretail
2,Volume,1889920.0,adityabirlafashionretail
3,Value (Lacs),4081.28,adityabirlafashionretail
4,i  VWAP,214.01,adityabirlafashionretail
5,Beta,,adityabirlafashionretail
0,High,216.75,adityabirlafashionretail
1,Low,211.55,adityabirlafashionretail
2,UC Limit,235.65,adityabirlafashionretail
3,LC Limit,192.85,adityabirlafashionretail
4,52 Week High,359.5,adityabirlafashionretail
5,52 Week Low,184.4,adityabirlafashionretail
0,TTM EPS See historical trend,-2.90,adityabirlafashionretail
1,TTM PE See historical trend,--  (Average PE),adityabirlafashionretail
2,P/B See historical trend,6.13 (Low P/B),adityabirlafashionretail
3,Face Value,10.00,adityabirlafashionretail
0,Mkt Cap (Rs. Cr.),20497,adityabirlafashionretail
1,Dividend Yield,0.00,adityabirlafashionretail
2,20D Avg Volume,3164523,adityabirlafashionretail
3,20D Avg Delivery(%),--,adityabirlafashionretail
4,Sector PE,104.13,adityabirlafashionretail
5,Book Value Per Share,35.23,adityabirlafashionretail
0,Open,- -,adityabirlafashionretail
1,Previous Close,- -,adityabirlafashionretail
2,Volume,- -,adityabirlafashionretail
3,Value(lacs),- -,adityabirlafashionretail
0,High,- -,adityabirlafashionretail
1,Low,- -,adityabirlafashionretail
2,ATP,- -,adityabirlafashionretail
3,Spot,- -,adityabirlafashionretail
0,Open,3629.95,alkemlaboratories
1,Previous Close,3605.9,alkemlaboratories
2,Volume,97703.0,alkemlaboratories
3,Value (Lacs),3491.47,alkemlaboratories
4,i  VWAP,3608.93,alkemlaboratories
5,Beta,,alkemlaboratories
0,High,3649.0,alkemlaboratories
1,Low,3566.9,alkemlaboratories
2,UC Limit,3966.45,alkemlaboratories
3,LC Limit,3245.35,alkemlaboratories
4,52 Week High,4243.0,alkemlaboratories
5,52 Week Low,2940.05,alkemlaboratories
0,TTM EPS See historical trend,95.62  (-12.41% YoY),alkemlaboratories
1,TTM PE See historical trend,37.37  (High PE),alkemlaboratories
2,P/B See historical trend,4.73 (Average P/B),alkemlaboratories
3,Face Value,2.00,alkemlaboratories
0,Mkt Cap (Rs. Cr.),42727,alkemlaboratories
1,Dividend Yield,1.40,alkemlaboratories
2,20D Avg Volume,157909,alkemlaboratories
3,20D Avg Delivery(%),--,alkemlaboratories
4,Sector PE,44.47,alkemlaboratories
5,Book Value Per Share,756.52,alkemlaboratories
0,Open,- -,alkemlaboratories
1,Previous Close,- -,alkemlaboratories
2,Volume,- -,alkemlaboratories
3,Value(lacs),- -,alkemlaboratories
0,High,- -,alkemlaboratories
1,Low,- -,alkemlaboratories
2,ATP,- -,alkemlaboratories
3,Spot,- -,alkemlaboratories
0,Open,424.05,ambujacements
1,Previous Close,424.8,ambujacements
2,Volume,2833284.0,ambujacements
3,Value (Lacs),12245.45,ambujacements
4,i  VWAP,430.72,ambujacements
5,Beta,,ambujacements
0,High,434.4,ambujacements
1,Low,422.5,ambujacements
2,UC Limit,467.25,ambujacements
3,LC Limit,382.35,ambujacements
4,52 Week High,598.0,ambujacements
5,52 Week Low,315.3,ambujacements
0,TTM EPS See historical trend,10.47  (-12.18% YoY),ambujacements
1,TTM PE See historical trend,41.28  (Average PE),ambujacements
2,P/B See historical trend,3.22 (High P/B),ambujacements
3,Face Value,2.00,ambujacements
0,Mkt Cap (Rs. Cr.),85820,ambujacements
1,Dividend Yield,0.58,ambujacements
2,20D Avg Volume,3248243,ambujacements
3,20D Avg Delivery(%),--,ambujacements
4,Sector PE,46.96,ambujacements
5,Book Value Per Share,134.46,ambujacements
0,Open,- -,ambujacements
1,Previous Close,- -,ambujacements
2,Volume,- -,ambujacements
3,Value(lacs),- -,ambujacements
0,High,- -,ambujacements
1,Low,- -,ambujacements
2,ATP,- -,ambujacements
3,Spot,- -,ambujacements
0,Open,5138.95,apollohospitalsenterprises
1,Previous Close,5137.75,apollohospitalsenterprises
2,Volume,268482.0,apollohospitalsenterprises
3,Value (Lacs),13743.46,apollohospitalsenterprises
4,i  VWAP,5117.88,apollohospitalsenterprises
5,Beta,,apollohospitalsenterprises
0,High,5154.95,apollohospitalsenterprises
1,Low,5066.0,apollohospitalsenterprises
2,UC Limit,5651.5,apollohospitalsenterprises
3,LC Limit,4624.0,apollohospitalsenterprises
4,52 Week High,5364.0,apollohospitalsenterprises
5,52 Week Low,4123.0,apollohospitalsenterprises
0,TTM EPS See historical trend,46.50  (-24.32% YoY),apollohospitalsenterprises
1,TTM PE See historical trend,110.08  (Average PE),apollohospitalsenterprises
2,P/B See historical trend,11.88 (High P/B),apollohospitalsenterprises
3,Face Value,5.00,apollohospitalsenterprises
0,Mkt Cap (Rs. Cr.),73603,apollohospitalsenterprises
1,Dividend Yield,0.29,apollohospitalsenterprises
2,20D Avg Volume,422049,apollohospitalsenterprises
3,20D Avg Delivery(%),--,apollohospitalsenterprises
4,Sector PE,70.63,apollohospitalsenterprises
5,Book Value Per Share,431.02,apollohospitalsenterprises
0,Open,- -,apollohospitalsenterprises
1,Previous Close,- -,apollohospitalsenterprises
2,Volume,- -,apollohospitalsenterprises
3,Value(lacs),- -,apollohospitalsenterprises
0,High,- -,apollohospitalsenterprises
1,Low,- -,apollohospitalsenterprises
2,ATP,- -,apollohospitalsenterprises
3,Spot,- -,apollohospitalsenterprises
0,Open,369.55,apollotyres
1,Previous Close,368.65,apollotyres
2,Volume,1852792.0,apollotyres
3,Value (Lacs),6890.53,apollotyres
4,i  VWAP,369.89,apollotyres
5,Beta,,apollotyres
0,High,372.5,apollotyres
1,Low,367.1,apollotyres
2,UC Limit,405.5,apollotyres
3,LC Limit,331.8,apollotyres
4,52 Week High,440.9,apollotyres
5,52 Week Low,262.0,apollotyres
0,TTM EPS See historical trend,20.64  (+86.87% YoY),apollotyres
1,TTM PE See historical trend,18.02  (Average PE),apollotyres
2,P/B See historical trend,1.84 (High P/B),apollotyres
3,Face Value,1.00,apollotyres
0,Mkt Cap (Rs. Cr.),23619,apollotyres
1,Dividend Yield,1.21,apollotyres
2,20D Avg Volume,2460098,apollotyres
3,20D Avg Delivery(%),--,apollotyres
4,Sector PE,45.50,apollotyres
5,Book Value Per Share,202.77,apollotyres
0,Open,- -,apollotyres
1,Previous Close,- -,apollotyres
2,Volume,- -,apollotyres
3,Value(lacs),- -,apollotyres
0,High,- -,apollotyres
1,Low,- -,apollotyres
2,ATP,- -,apollotyres
3,Spot,- -,apollotyres
0,Open,178.0,ashokleyland
1,Previous Close,177.0,ashokleyland
2,Volume,12355525.0,ashokleyland
3,Value (Lacs),21943.41,ashokleyland
4,i  VWAP,178.22,ashokleyland
5,Beta,,ashokleyland
0,High,180.0,ashokleyland
1,Low,176.9,ashokleyland
2,UC Limit,194.7,ashokleyland
3,LC Limit,159.3,ashokleyland
4,52 Week High,191.5,ashokleyland
5,52 Week Low,133.1,ashokleyland
0,TTM EPS See historical trend,"6.06  (+10,769.01% YoY)",ashokleyland
1,TTM PE See historical trend,29.31  (Average PE),ashokleyland
2,P/B See historical trend,6.13 (High P/B),ashokleyland
3,Face Value,1.00,ashokleyland
0,Mkt Cap (Rs. Cr.),52146,ashokleyland
1,Dividend Yield,1.46,ashokleyland
2,20D Avg Volume,9381390,ashokleyland
3,20D Avg Delivery(%),--,ashokleyland
4,Sector PE,53.43,ashokleyland
5,Book Value Per Share,28.99,ashokleyland
0,Open,- -,ashokleyland
1,Previous Close,- -,ashokleyland
2,Volume,- -,ashokleyland
3,Value(lacs),- -,ashokleyland
0,High,- -,ashokleyland
1,Low,- -,ashokleyland
2,ATP,- -,ashokleyland
3,Spot,- -,ashokleyland
0,Open,3166.1,asianpaints
1,Previous Close,3161.05,asianpaints
2,Volume,1219145.0,asianpaints
3,Value (Lacs),38608.49,asianpaints
4,i  VWAP,3188.42,asianpaints
5,Beta,,asianpaints
0,High,3227.8,asianpaints
1,Low,3162.0,asianpaints
2,UC Limit,3477.15,asianpaints
3,LC Limit,2844.95,asianpaints
4,52 Week High,3568.0,asianpaints
5,52 Week Low,2685.85,asianpaints
0,TTM EPS See historical trend,48.37  (+33.36% YoY),asianpaints
1,TTM PE See historical trend,65.47  (Low PE),asianpaints
2,P/B See historical trend,19.00 (Average P/B),asianpaints
3,Face Value,1.00,asianpaints
0,Mkt Cap (Rs. Cr.),303764,asianpaints
1,Dividend Yield,0.81,asianpaints
2,20D Avg Volume,911385,asianpaints
3,20D Avg Delivery(%),--,asianpaints
4,Sector PE,70.16,asianpaints
5,Book Value Per Share,166.73,asianpaints
0,Open,- -,asianpaints
1,Previous Close,- -,asianpaints
2,Volume,- -,asianpaints
3,Value(lacs),- -,asianpaints
0,High,- -,asianpaints
1,Low,- -,asianpaints
2,ATP,- -,asianpaints
3,Spot,- -,asianpaints
0,Open,1919.0,astrallimited
1,Previous Close,1912.45,astrallimited
2,Volume,321425.0,astrallimited
3,Value (Lacs),6073.0,astrallimited
4,i  VWAP,1896.02,astrallimited
5,Beta,,astrallimited
0,High,1919.0,astrallimited
1,Low,1885.55,astrallimited
2,UC Limit,2103.65,astrallimited
3,LC Limit,1721.2,astrallimited
4,52 Week High,2058.0,astrallimited
5,52 Week Low,1297.8,astrallimited
0,TTM EPS See historical trend,18.20  (-26.66% YoY),astrallimited
1,TTM PE See historical trend,103.81  (High PE),astrallimited
2,P/B See historical trend,20.92 (High P/B),astrallimited
3,Face Value,1.00,astrallimited
0,Mkt Cap (Rs. Cr.),50753,astrallimited
1,Dividend Yield,0.19,astrallimited
2,20D Avg Volume,486976,astrallimited
3,20D Avg Delivery(%),--,astrallimited
4,Sector PE,78.98,astrallimited
5,Book Value Per Share,90.32,astrallimited
0,Open,- -,astrallimited
1,Previous Close,- -,astrallimited
2,Volume,- -,astrallimited
3,Value(lacs),- -,astrallimited
0,High,- -,astrallimited
1,Low,- -,astrallimited
2,ATP,- -,astrallimited
3,Spot,- -,astrallimited
0,Open,7050.0,atul
1,Previous Close,7045.6,atul
2,Volume,21959.0,atul
3,Value (Lacs),1533.14,atul
4,i  VWAP,6985.2,atul
5,Beta,,atul
0,High,7050.0,atul
1,Low,6940.35,atul
2,UC Limit,7750.15,atul
3,LC Limit,6341.05,atul
4,52 Week High,9154.95,atul
5,52 Week Low,6466.75,atul
0,TTM EPS See historical trend,153.46  (-24.88% YoY),atul
1,TTM PE See historical trend,45.50  (High PE),atul
2,P/B See historical trend,4.42 (Average P/B),atul
3,Face Value,10.00,atul
0,Mkt Cap (Rs. Cr.),20606,atul
1,Dividend Yield,0.47,atul
2,20D Avg Volume,32480,atul
3,20D Avg Delivery(%),--,atul
4,Sector PE,40.80,atul
5,Book Value Per Share,1582.78,atul
0,Open,- -,atul
1,Previous Close,- -,atul
2,Volume,- -,atul
3,Value(lacs),- -,atul
0,High,- -,atul
1,Low,- -,atul
2,ATP,- -,atul
3,Spot,- -,atul
0,Open,917.0,aurobindopharma
1,Previous Close,914.35,aurobindopharma
2,Volume,2579401.0,aurobindopharma
3,Value (Lacs),23437.73,aurobindopharma
4,i  VWAP,895.94,aurobindopharma
5,Beta,,aurobindopharma
0,High,917.45,aurobindopharma
1,Low,881.1,aurobindopharma
2,UC Limit,1005.75,aurobindopharma
3,LC Limit,822.95,aurobindopharma
4,52 Week High,930.0,aurobindopharma
5,52 Week Low,397.2,aurobindopharma
0,TTM EPS See historical trend,33.75  (-17.56% YoY),aurobindopharma
1,TTM PE See historical trend,26.92  (High PE),aurobindopharma
2,P/B See historical trend,1.99 (Average P/B),aurobindopharma
3,Face Value,1.00,aurobindopharma
0,Mkt Cap (Rs. Cr.),53241,aurobindopharma
1,Dividend Yield,0.33,aurobindopharma
2,20D Avg Volume,2085169,aurobindopharma
3,20D Avg Delivery(%),--,aurobindopharma
4,Sector PE,44.47,aurobindopharma
5,Book Value Per Share,458.07,aurobindopharma
0,Open,- -,aurobindopharma
1,Previous Close,- -,aurobindopharma
2,Volume,- -,aurobindopharma
3,Value(lacs),- -,aurobindopharma
0,High,- -,aurobindopharma
1,Low,- -,aurobindopharma
2,ATP,- -,aurobindopharma
3,Spot,- -,aurobindopharma
0,Open,1035.0,axisbank
1,Previous Close,1036.7,axisbank
2,Volume,11589322.0,axisbank
3,Value (Lacs),120650.64,axisbank
4,i  VWAP,1039.64,axisbank
5,Beta,,axisbank
0,High,1044.7,axisbank
1,Low,1032.6,axisbank
2,UC Limit,1140.35,axisbank
3,LC Limit,933.05,axisbank
4,52 Week High,1047.5,axisbank
5,52 Week Low,714.4,axisbank
0,TTM EPS See historical trend,40.66  (-22.64% YoY),axisbank
1,TTM PE See historical trend,25.60  (Average PE),axisbank
2,P/B See historical trend,2.48 (High P/B),axisbank
3,Face Value,2.00,axisbank
0,Mkt Cap (Rs. Cr.),320827,axisbank
1,Dividend Yield,0.10,axisbank
2,20D Avg Volume,9209180,axisbank
3,20D Avg Delivery(%),--,axisbank
4,Sector PE,23.74,axisbank
5,Book Value Per Share,421.13,axisbank
0,Open,- -,axisbank
1,Previous Close,- -,axisbank
2,Volume,- -,axisbank
3,Value(lacs),- -,axisbank
0,High,- -,axisbank
1,Low,- -,axisbank
2,ATP,- -,axisbank
3,Spot,- -,axisbank
0,Open,5065.0,bajajauto
1,Previous Close,5063.7,bajajauto
2,Volume,464531.0,bajajauto
3,Value (Lacs),23302.97,bajajauto
4,i  VWAP,5038.27,bajajauto
5,Beta,,bajajauto
0,High,5073.0,bajajauto
1,Low,4997.1,bajajauto
2,UC Limit,5570.05,bajajauto
3,LC Limit,4557.35,bajajauto
4,52 Week High,5274.9,bajajauto
5,52 Week Low,3461.25,bajajauto
0,TTM EPS See historical trend,231.17  (+8.61% YoY),bajajauto
1,TTM PE See historical trend,21.70  (Average PE),bajajauto
2,P/B See historical trend,4.84 (High P/B),bajajauto
3,Face Value,10.00,bajajauto
0,Mkt Cap (Rs. Cr.),141944,bajajauto
1,Dividend Yield,2.79,bajajauto
2,20D Avg Volume,456961,bajajauto
3,20D Avg Delivery(%),--,bajajauto
4,Sector PE,27.84,bajajauto
5,Book Value Per Share,1037.67,bajajauto
0,Open,- -,bajajauto
1,Previous Close,- -,bajajauto
2,Volume,- -,bajajauto
3,Value(lacs),- -,bajajauto
0,High,- -,bajajauto
1,Low,- -,bajajauto
2,ATP,- -,bajajauto
3,Spot,- -,bajajauto
0,Open,7780.8,bajajfinance
1,Previous Close,7810.75,bajajfinance
2,Volume,944555.0,bajajfinance
3,Value (Lacs),75258.36,bajajfinance
4,i  VWAP,7888.5,bajajfinance
5,Beta,,bajajfinance
0,High,7975.5,bajajfinance
1,Low,7755.0,bajajfinance
2,UC Limit,8591.8,bajajfinance
3,LC Limit,7029.7,bajajfinance
4,52 Week High,7999.9,bajajfinance
5,52 Week Low,5485.7,bajajfinance
0,TTM EPS See historical trend,203.80  (+42.69% YoY),bajajfinance
1,TTM PE See historical trend,39.10  (Low PE),bajajfinance
2,P/B See historical trend,8.88 (Average P/B),bajajfinance
3,Face Value,2.00,bajajfinance
0,Mkt Cap (Rs. Cr.),482772,bajajfinance
1,Dividend Yield,0.38,bajajfinance
2,20D Avg Volume,804405,bajajfinance
3,20D Avg Delivery(%),--,bajajfinance
4,Sector PE,29.06,bajajfinance
5,Book Value Per Share,897.35,bajajfinance
0,Open,- -,bajajfinance
1,Previous Close,- -,bajajfinance
2,Volume,- -,bajajfinance
3,Value(lacs),- -,bajajfinance
0,High,- -,bajajfinance
1,Low,- -,bajajfinance
2,ATP,- -,bajajfinance
3,Spot,- -,bajajfinance
0,Open,1530.25,bajajfinserv
1,Previous Close,1540.25,bajajfinserv
2,Volume,1083086.0,bajajfinserv
3,Value (Lacs),16907.51,bajajfinserv
4,i  VWAP,1549.36,bajajfinserv
5,Beta,,bajajfinserv
0,High,1564.2,bajajfinserv
1,Low,1527.0,bajajfinserv
2,UC Limit,1694.25,bajajfinserv
3,LC Limit,1386.25,bajajfinserv
4,52 Week High,1817.9,bajajfinserv
5,52 Week Low,1215.0,bajajfinserv
0,TTM EPS See historical trend,44.26  (+40.06% YoY),bajajfinserv
1,TTM PE See historical trend,35.27  (Low PE),bajajfinserv
2,P/B See historical trend,6.18 (High P/B),bajajfinserv
3,Face Value,1.00,bajajfinserv
0,Mkt Cap (Rs. Cr.),248646,bajajfinserv
1,Dividend Yield,0.05,bajajfinserv
2,20D Avg Volume,1392409,bajajfinserv
3,20D Avg Delivery(%),--,bajajfinserv
4,Sector PE,29.06,bajajfinserv
5,Book Value Per Share,252.68,bajajfinserv
0,Open,- -,bajajfinserv
1,Previous Close,- -,bajajfinserv
2,Volume,- -,bajajfinserv
3,Value(lacs),- -,bajajfinserv
0,High,- -,bajajfinserv
1,Low,- -,bajajfinserv
2,ATP,- -,bajajfinserv
3,Spot,- -,bajajfinserv
0,Open,2557.45,balkrishnaindustries
1,Previous Close,2557.8,balkrishnaindustries
2,Volume,160421.0,balkrishnaindustries
3,Value (Lacs),4039.72,balkrishnaindustries
4,i  VWAP,2509.09,balkrishnaindustries
5,Beta,,balkrishnaindustries
0,High,2557.45,balkrishnaindustries
1,Low,2478.15,balkrishnaindustries
2,UC Limit,2813.55,balkrishnaindustries
3,LC Limit,2302.05,balkrishnaindustries
4,52 Week High,2578.9,balkrishnaindustries
5,52 Week Low,1796.3,balkrishnaindustries
0,TTM EPS See historical trend,55.99  (-23.34% YoY),balkrishnaindustries
1,TTM PE See historical trend,44.98  (High PE),balkrishnaindustries
2,P/B See historical trend,6.45 (High P/B),balkrishnaindustries
3,Face Value,2.00,balkrishnaindustries
0,Mkt Cap (Rs. Cr.),48681,balkrishnaindustries
1,Dividend Yield,0.64,balkrishnaindustries
2,20D Avg Volume,238280,balkrishnaindustries
3,20D Avg Delivery(%),--,balkrishnaindustries
4,Sector PE,45.50,balkrishnaindustries
5,Book Value Per Share,390.91,balkrishnaindustries
0,Open,- -,balkrishnaindustries
1,Previous Close,- -,balkrishnaindustries
