,0,1,2,3,4,5,6,Year,Stock
6,Purchase of Traded Goods,60.40,82.60,62.30,67.10,79.14,,2019,astrallimited
7,Increase/Decrease in Stocks,6.40,-107.30,39.10,-59.40,-28.39,,2019,astrallimited
8,Power & Fuel,--,--,--,--,--,,2019,astrallimited
9,Employees Cost,246.60,130.30,104.30,97.70,75.41,,2019,astrallimited
10,Depreciation,137.40,105.00,96.20,89.90,67.13,,2019,astrallimited
11,Excise Duty,--,--,--,--,--,,2019,astrallimited
12,Admin. And Selling Expenses,--,--,--,--,--,,2019,astrallimited
13,R & D Expenses,--,--,--,--,--,,2019,astrallimited
14,Provisions And Contingencies,--,--,--,--,--,,2019,astrallimited
15,Exp. Capitalised,--,--,--,--,--,,2019,astrallimited
16,Other Expenses,549.10,364.00,292.90,277.70,254.57,,2019,astrallimited
17,"P/L Before Other Inc. , Int., Excpt. Items & Tax",613.70,530.00,438.30,279.80,236.76,,2019,astrallimited
18,Other Income,23.90,27.40,20.70,10.90,11.47,,2019,astrallimited
19,"P/L Before Int., Excpt. Items & Tax",637.60,557.40,459.00,290.70,248.23,,2019,astrallimited
20,Interest,33.30,8.90,7.60,33.70,28.05,,2019,astrallimited
21,P/L Before Exceptional Items & Tax,604.30,548.50,451.40,257.00,220.18,,2019,astrallimited
22,Exceptional Items,-3.30,-1.90,-12.30,-2.50,-1.99,,2019,astrallimited
23,P/L Before Tax,601.00,546.60,439.10,254.50,218.19,,2019,astrallimited
24,Tax,153.10,141.80,112.20,53.70,76.74,,2019,astrallimited
25,P/L After Tax from Ordinary Activities,447.90,404.80,326.90,200.80,141.45,,2019,astrallimited
26,Prior Year Adjustments,--,--,--,--,--,,2019,astrallimited
27,Extra Ordinary Items,--,--,--,--,--,,2019,astrallimited
28,Net Profit/(Loss) For the Period,447.90,404.80,326.90,200.80,141.45,,2019,astrallimited
29,Equity Share Capital,26.90,20.10,20.10,15.10,11.98,,2019,astrallimited
30,Reserves Excluding Revaluation Reserves,2649.20,1983.80,1623.30,1314.30,1140.78,,2019,astrallimited
31,Equity Dividend Rate (%),350.00,300.00,200.00,100.00,70.00,,2019,astrallimited
32,EPS Before Extra Ordinary,,,,,,,2019,astrallimited
33,Basic EPS,16.67,20.15,16.27,13.33,11.76,,2019,astrallimited
34,Diluted EPS,16.67,20.15,16.27,13.33,11.76,,2019,astrallimited
35,EPS After Extra Ordinary,,,,,,,2019,astrallimited
36,Basic EPS.,16.67,20.15,16.27,13.33,11.76,,2019,astrallimited
37,Diluted EPS.,16.67,20.15,16.27,13.33,11.76,,2019,astrallimited
38,Public Share Holding,,,,,,,2019,astrallimited
39,No Of Shares (Crores),--,--,--,--,--,,2019,astrallimited
40,Share Holding (%),--,--,--,--,--,,2019,astrallimited
41,Promoters and Promoter Group Shareholding,,,,,,,2019,astrallimited
42,a) Pledged/Encumbered,,,,,,,2019,astrallimited
43,- Number of shares (Crores),--,--,--,--,--,,2019,astrallimited
44,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,,2019,astrallimited
45,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,,2019,astrallimited
46,b) Non-encumbered,,,,,,,2019,astrallimited
47,- Number of shares (Crores).,--,--,--,--,--,,2019,astrallimited
48,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,,2019,astrallimited
49,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,,2019,astrallimited
0,Yearly Results of Astral Limited (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2020,astrallimited
1,Net Sales/Income from operations,4611.60,3443.30,2486.30,2042.80,1915.71,,2020,astrallimited
2,Other Operating Income,--,--,--,--,--,,2020,astrallimited
3,Total Income From Operations,4611.60,3443.30,2486.30,2042.80,1915.71,,2020,astrallimited
4,EXPENDITURE,,,,,,,2020,astrallimited
5,Consumption of Raw Materials,2998.00,2338.70,1453.20,1290.00,1231.09,,2020,astrallimited
6,Purchase of Traded Goods,60.40,82.60,62.30,67.10,79.14,,2020,astrallimited
7,Increase/Decrease in Stocks,6.40,-107.30,39.10,-59.40,-28.39,,2020,astrallimited
8,Power & Fuel,--,--,--,--,--,,2020,astrallimited
9,Employees Cost,246.60,130.30,104.30,97.70,75.41,,2020,astrallimited
10,Depreciation,137.40,105.00,96.20,89.90,67.13,,2020,astrallimited
11,Excise Duty,--,--,--,--,--,,2020,astrallimited
12,Admin. And Selling Expenses,--,--,--,--,--,,2020,astrallimited
13,R & D Expenses,--,--,--,--,--,,2020,astrallimited
14,Provisions And Contingencies,--,--,--,--,--,,2020,astrallimited
15,Exp. Capitalised,--,--,--,--,--,,2020,astrallimited
16,Other Expenses,549.10,364.00,292.90,277.70,254.57,,2020,astrallimited
17,"P/L Before Other Inc. , Int., Excpt. Items & Tax",613.70,530.00,438.30,279.80,236.76,,2020,astrallimited
18,Other Income,23.90,27.40,20.70,10.90,11.47,,2020,astrallimited
19,"P/L Before Int., Excpt. Items & Tax",637.60,557.40,459.00,290.70,248.23,,2020,astrallimited
20,Interest,33.30,8.90,7.60,33.70,28.05,,2020,astrallimited
21,P/L Before Exceptional Items & Tax,604.30,548.50,451.40,257.00,220.18,,2020,astrallimited
22,Exceptional Items,-3.30,-1.90,-12.30,-2.50,-1.99,,2020,astrallimited
23,P/L Before Tax,601.00,546.60,439.10,254.50,218.19,,2020,astrallimited
24,Tax,153.10,141.80,112.20,53.70,76.74,,2020,astrallimited
25,P/L After Tax from Ordinary Activities,447.90,404.80,326.90,200.80,141.45,,2020,astrallimited
26,Prior Year Adjustments,--,--,--,--,--,,2020,astrallimited
27,Extra Ordinary Items,--,--,--,--,--,,2020,astrallimited
28,Net Profit/(Loss) For the Period,447.90,404.80,326.90,200.80,141.45,,2020,astrallimited
29,Equity Share Capital,26.90,20.10,20.10,15.10,11.98,,2020,astrallimited
30,Reserves Excluding Revaluation Reserves,2649.20,1983.80,1623.30,1314.30,1140.78,,2020,astrallimited
31,Equity Dividend Rate (%),350.00,300.00,200.00,100.00,70.00,,2020,astrallimited
32,EPS Before Extra Ordinary,,,,,,,2020,astrallimited
33,Basic EPS,16.67,20.15,16.27,13.33,11.76,,2020,astrallimited
34,Diluted EPS,16.67,20.15,16.27,13.33,11.76,,2020,astrallimited
35,EPS After Extra Ordinary,,,,,,,2020,astrallimited
36,Basic EPS.,16.67,20.15,16.27,13.33,11.76,,2020,astrallimited
37,Diluted EPS.,16.67,20.15,16.27,13.33,11.76,,2020,astrallimited
38,Public Share Holding,,,,,,,2020,astrallimited
39,No Of Shares (Crores),--,--,--,--,--,,2020,astrallimited
40,Share Holding (%),--,--,--,--,--,,2020,astrallimited
41,Promoters and Promoter Group Shareholding,,,,,,,2020,astrallimited
42,a) Pledged/Encumbered,,,,,,,2020,astrallimited
43,- Number of shares (Crores),--,--,--,--,--,,2020,astrallimited
44,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,,2020,astrallimited
45,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,,2020,astrallimited
46,b) Non-encumbered,,,,,,,2020,astrallimited
47,- Number of shares (Crores).,--,--,--,--,--,,2020,astrallimited
48,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,,2020,astrallimited
49,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,,2020,astrallimited
0,Yearly Results of Astral Limited (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2021,astrallimited
1,Net Sales/Income from operations,4611.60,3443.30,2486.30,2042.80,1915.71,,2021,astrallimited
2,Other Operating Income,--,--,--,--,--,,2021,astrallimited
3,Total Income From Operations,4611.60,3443.30,2486.30,2042.80,1915.71,,2021,astrallimited
4,EXPENDITURE,,,,,,,2021,astrallimited
5,Consumption of Raw Materials,2998.00,2338.70,1453.20,1290.00,1231.09,,2021,astrallimited
6,Purchase of Traded Goods,60.40,82.60,62.30,67.10,79.14,,2021,astrallimited
7,Increase/Decrease in Stocks,6.40,-107.30,39.10,-59.40,-28.39,,2021,astrallimited
8,Power & Fuel,--,--,--,--,--,,2021,astrallimited
9,Employees Cost,246.60,130.30,104.30,97.70,75.41,,2021,astrallimited
10,Depreciation,137.40,105.00,96.20,89.90,67.13,,2021,astrallimited
11,Excise Duty,--,--,--,--,--,,2021,astrallimited
12,Admin. And Selling Expenses,--,--,--,--,--,,2021,astrallimited
13,R & D Expenses,--,--,--,--,--,,2021,astrallimited
14,Provisions And Contingencies,--,--,--,--,--,,2021,astrallimited
15,Exp. Capitalised,--,--,--,--,--,,2021,astrallimited
16,Other Expenses,549.10,364.00,292.90,277.70,254.57,,2021,astrallimited
17,"P/L Before Other Inc. , Int., Excpt. Items & Tax",613.70,530.00,438.30,279.80,236.76,,2021,astrallimited
18,Other Income,23.90,27.40,20.70,10.90,11.47,,2021,astrallimited
19,"P/L Before Int., Excpt. Items & Tax",637.60,557.40,459.00,290.70,248.23,,2021,astrallimited
20,Interest,33.30,8.90,7.60,33.70,28.05,,2021,astrallimited
21,P/L Before Exceptional Items & Tax,604.30,548.50,451.40,257.00,220.18,,2021,astrallimited
22,Exceptional Items,-3.30,-1.90,-12.30,-2.50,-1.99,,2021,astrallimited
23,P/L Before Tax,601.00,546.60,439.10,254.50,218.19,,2021,astrallimited
24,Tax,153.10,141.80,112.20,53.70,76.74,,2021,astrallimited
25,P/L After Tax from Ordinary Activities,447.90,404.80,326.90,200.80,141.45,,2021,astrallimited
26,Prior Year Adjustments,--,--,--,--,--,,2021,astrallimited
27,Extra Ordinary Items,--,--,--,--,--,,2021,astrallimited
28,Net Profit/(Loss) For the Period,447.90,404.80,326.90,200.80,141.45,,2021,astrallimited
29,Equity Share Capital,26.90,20.10,20.10,15.10,11.98,,2021,astrallimited
30,Reserves Excluding Revaluation Reserves,2649.20,1983.80,1623.30,1314.30,1140.78,,2021,astrallimited
31,Equity Dividend Rate (%),350.00,300.00,200.00,100.00,70.00,,2021,astrallimited
32,EPS Before Extra Ordinary,,,,,,,2021,astrallimited
33,Basic EPS,16.67,20.15,16.27,13.33,11.76,,2021,astrallimited
34,Diluted EPS,16.67,20.15,16.27,13.33,11.76,,2021,astrallimited
35,EPS After Extra Ordinary,,,,,,,2021,astrallimited
36,Basic EPS.,16.67,20.15,16.27,13.33,11.76,,2021,astrallimited
37,Diluted EPS.,16.67,20.15,16.27,13.33,11.76,,2021,astrallimited
38,Public Share Holding,,,,,,,2021,astrallimited
39,No Of Shares (Crores),--,--,--,--,--,,2021,astrallimited
40,Share Holding (%),--,--,--,--,--,,2021,astrallimited
41,Promoters and Promoter Group Shareholding,,,,,,,2021,astrallimited
42,a) Pledged/Encumbered,,,,,,,2021,astrallimited
43,- Number of shares (Crores),--,--,--,--,--,,2021,astrallimited
44,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,,2021,astrallimited
45,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,,2021,astrallimited
46,b) Non-encumbered,,,,,,,2021,astrallimited
47,- Number of shares (Crores).,--,--,--,--,--,,2021,astrallimited
48,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,,2021,astrallimited
49,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,,2021,astrallimited
0,Yearly Results of Astral Limited (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2022,astrallimited
1,Net Sales/Income from operations,4611.60,3443.30,2486.30,2042.80,1915.71,,2022,astrallimited
2,Other Operating Income,--,--,--,--,--,,2022,astrallimited
3,Total Income From Operations,4611.60,3443.30,2486.30,2042.80,1915.71,,2022,astrallimited
4,EXPENDITURE,,,,,,,2022,astrallimited
5,Consumption of Raw Materials,2998.00,2338.70,1453.20,1290.00,1231.09,,2022,astrallimited
6,Purchase of Traded Goods,60.40,82.60,62.30,67.10,79.14,,2022,astrallimited
7,Increase/Decrease in Stocks,6.40,-107.30,39.10,-59.40,-28.39,,2022,astrallimited
8,Power & Fuel,--,--,--,--,--,,2022,astrallimited
9,Employees Cost,246.60,130.30,104.30,97.70,75.41,,2022,astrallimited
10,Depreciation,137.40,105.00,96.20,89.90,67.13,,2022,astrallimited
11,Excise Duty,--,--,--,--,--,,2022,astrallimited
12,Admin. And Selling Expenses,--,--,--,--,--,,2022,astrallimited
13,R & D Expenses,--,--,--,--,--,,2022,astrallimited
14,Provisions And Contingencies,--,--,--,--,--,,2022,astrallimited
15,Exp. Capitalised,--,--,--,--,--,,2022,astrallimited
16,Other Expenses,549.10,364.00,292.90,277.70,254.57,,2022,astrallimited
17,"P/L Before Other Inc. , Int., Excpt. Items & Tax",613.70,530.00,438.30,279.80,236.76,,2022,astrallimited
18,Other Income,23.90,27.40,20.70,10.90,11.47,,2022,astrallimited
19,"P/L Before Int., Excpt. Items & Tax",637.60,557.40,459.00,290.70,248.23,,2022,astrallimited
20,Interest,33.30,8.90,7.60,33.70,28.05,,2022,astrallimited
21,P/L Before Exceptional Items & Tax,604.30,548.50,451.40,257.00,220.18,,2022,astrallimited
22,Exceptional Items,-3.30,-1.90,-12.30,-2.50,-1.99,,2022,astrallimited
23,P/L Before Tax,601.00,546.60,439.10,254.50,218.19,,2022,astrallimited
24,Tax,153.10,141.80,112.20,53.70,76.74,,2022,astrallimited
25,P/L After Tax from Ordinary Activities,447.90,404.80,326.90,200.80,141.45,,2022,astrallimited
26,Prior Year Adjustments,--,--,--,--,--,,2022,astrallimited
27,Extra Ordinary Items,--,--,--,--,--,,2022,astrallimited
28,Net Profit/(Loss) For the Period,447.90,404.80,326.90,200.80,141.45,,2022,astrallimited
29,Equity Share Capital,26.90,20.10,20.10,15.10,11.98,,2022,astrallimited
30,Reserves Excluding Revaluation Reserves,2649.20,1983.80,1623.30,1314.30,1140.78,,2022,astrallimited
31,Equity Dividend Rate (%),350.00,300.00,200.00,100.00,70.00,,2022,astrallimited
32,EPS Before Extra Ordinary,,,,,,,2022,astrallimited
33,Basic EPS,16.67,20.15,16.27,13.33,11.76,,2022,astrallimited
34,Diluted EPS,16.67,20.15,16.27,13.33,11.76,,2022,astrallimited
35,EPS After Extra Ordinary,,,,,,,2022,astrallimited
36,Basic EPS.,16.67,20.15,16.27,13.33,11.76,,2022,astrallimited
37,Diluted EPS.,16.67,20.15,16.27,13.33,11.76,,2022,astrallimited
38,Public Share Holding,,,,,,,2022,astrallimited
39,No Of Shares (Crores),--,--,--,--,--,,2022,astrallimited
40,Share Holding (%),--,--,--,--,--,,2022,astrallimited
41,Promoters and Promoter Group Shareholding,,,,,,,2022,astrallimited
42,a) Pledged/Encumbered,,,,,,,2022,astrallimited
43,- Number of shares (Crores),--,--,--,--,--,,2022,astrallimited
44,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,,2022,astrallimited
45,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,,2022,astrallimited
46,b) Non-encumbered,,,,,,,2022,astrallimited
47,- Number of shares (Crores).,--,--,--,--,--,,2022,astrallimited
48,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,,2022,astrallimited
49,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,,2022,astrallimited
0,Yearly Results of Astral Limited (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2023,astrallimited
1,Net Sales/Income from operations,4611.60,3443.30,2486.30,2042.80,1915.71,,2023,astrallimited
2,Other Operating Income,--,--,--,--,--,,2023,astrallimited
3,Total Income From Operations,4611.60,3443.30,2486.30,2042.80,1915.71,,2023,astrallimited
4,EXPENDITURE,,,,,,,2023,astrallimited
5,Consumption of Raw Materials,2998.00,2338.70,1453.20,1290.00,1231.09,,2023,astrallimited
6,Purchase of Traded Goods,60.40,82.60,62.30,67.10,79.14,,2023,astrallimited
7,Increase/Decrease in Stocks,6.40,-107.30,39.10,-59.40,-28.39,,2023,astrallimited
8,Power & Fuel,--,--,--,--,--,,2023,astrallimited
9,Employees Cost,246.60,130.30,104.30,97.70,75.41,,2023,astrallimited
10,Depreciation,137.40,105.00,96.20,89.90,67.13,,2023,astrallimited
11,Excise Duty,--,--,--,--,--,,2023,astrallimited
12,Admin. And Selling Expenses,--,--,--,--,--,,2023,astrallimited
13,R & D Expenses,--,--,--,--,--,,2023,astrallimited
14,Provisions And Contingencies,--,--,--,--,--,,2023,astrallimited
15,Exp. Capitalised,--,--,--,--,--,,2023,astrallimited
16,Other Expenses,549.10,364.00,292.90,277.70,254.57,,2023,astrallimited
17,"P/L Before Other Inc. , Int., Excpt. Items & Tax",613.70,530.00,438.30,279.80,236.76,,2023,astrallimited
18,Other Income,23.90,27.40,20.70,10.90,11.47,,2023,astrallimited
19,"P/L Before Int., Excpt. Items & Tax",637.60,557.40,459.00,290.70,248.23,,2023,astrallimited
20,Interest,33.30,8.90,7.60,33.70,28.05,,2023,astrallimited
21,P/L Before Exceptional Items & Tax,604.30,548.50,451.40,257.00,220.18,,2023,astrallimited
22,Exceptional Items,-3.30,-1.90,-12.30,-2.50,-1.99,,2023,astrallimited
23,P/L Before Tax,601.00,546.60,439.10,254.50,218.19,,2023,astrallimited
24,Tax,153.10,141.80,112.20,53.70,76.74,,2023,astrallimited
25,P/L After Tax from Ordinary Activities,447.90,404.80,326.90,200.80,141.45,,2023,astrallimited
26,Prior Year Adjustments,--,--,--,--,--,,2023,astrallimited
27,Extra Ordinary Items,--,--,--,--,--,,2023,astrallimited
28,Net Profit/(Loss) For the Period,447.90,404.80,326.90,200.80,141.45,,2023,astrallimited
29,Equity Share Capital,26.90,20.10,20.10,15.10,11.98,,2023,astrallimited
30,Reserves Excluding Revaluation Reserves,2649.20,1983.80,1623.30,1314.30,1140.78,,2023,astrallimited
31,Equity Dividend Rate (%),350.00,300.00,200.00,100.00,70.00,,2023,astrallimited
32,EPS Before Extra Ordinary,,,,,,,2023,astrallimited
33,Basic EPS,16.67,20.15,16.27,13.33,11.76,,2023,astrallimited
34,Diluted EPS,16.67,20.15,16.27,13.33,11.76,,2023,astrallimited
35,EPS After Extra Ordinary,,,,,,,2023,astrallimited
36,Basic EPS.,16.67,20.15,16.27,13.33,11.76,,2023,astrallimited
37,Diluted EPS.,16.67,20.15,16.27,13.33,11.76,,2023,astrallimited
38,Public Share Holding,,,,,,,2023,astrallimited
39,No Of Shares (Crores),--,--,--,--,--,,2023,astrallimited
40,Share Holding (%),--,--,--,--,--,,2023,astrallimited
41,Promoters and Promoter Group Shareholding,,,,,,,2023,astrallimited
42,a) Pledged/Encumbered,,,,,,,2023,astrallimited
43,- Number of shares (Crores),--,--,--,--,--,,2023,astrallimited
44,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,,2023,astrallimited
45,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,,2023,astrallimited
46,b) Non-encumbered,,,,,,,2023,astrallimited
47,- Number of shares (Crores).,--,--,--,--,--,,2023,astrallimited
48,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,,2023,astrallimited
49,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,,2023,astrallimited
0,Yearly Results of Aarti Industries (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2018,aartiindustries
1,Net Sales/Income from operations,6565.00,6865.27,4316.71,3994.41,4857.59,,2018,aartiindustries
2,Other Operating Income,--,--,--,--,--,,2018,aartiindustries
3,Total Income From Operations,6565.00,6865.27,4316.71,3994.41,4857.59,,2018,aartiindustries
4,EXPENDITURE,,,,,,,2018,aartiindustries
5,Consumption of Raw Materials,3465.00,3266.89,1922.84,1765.21,2813.23,,2018,aartiindustries
6,Purchase of Traded Goods,290.00,210.88,185.79,218.20,143.13,,2018,aartiindustries
7,Increase/Decrease in Stocks,46.00,-229.54,-65.41,-16.09,-63.38,,2018,aartiindustries
8,Power & Fuel,--,--,--,--,--,,2018,aartiindustries
9,Employees Cost,383.00,433.56,358.28,292.34,238.13,,2018,aartiindustries
10,Depreciation,310.00,281.41,218.31,172.64,159.63,,2018,aartiindustries
11,Excise Duty,--,--,--,--,--,,2018,aartiindustries
12,Admin. And Selling Expenses,--,--,--,--,--,,2018,aartiindustries
13,R & D Expenses,--,--,--,--,--,,2018,aartiindustries
14,Provisions And Contingencies,--,--,--,--,--,,2018,aartiindustries
15,Exp. Capitalised,--,--,--,--,--,,2018,aartiindustries
16,Other Expenses,1292.00,1292.79,980.69,805.21,812.69,,2018,aartiindustries
17,"P/L Before Other Inc. , Int., Excpt. Items & Tax",779.00,1609.28,716.21,756.90,754.16,,2018,aartiindustries
18,Other Income,--,3.20,1.95,10.51,4.55,,2018,aartiindustries
19,"P/L Before Int., Excpt. Items & Tax",779.00,1612.48,718.16,767.41,758.71,,2018,aartiindustries
20,Interest,166.00,112.88,86.16,121.55,180.96,,2018,aartiindustries
21,P/L Before Exceptional Items & Tax,613.00,1499.60,632.00,645.86,577.75,,2018,aartiindustries
22,Exceptional Items,--,--,--,--,--,,2018,aartiindustries
23,P/L Before Tax,613.00,1499.60,632.00,645.86,577.75,,2018,aartiindustries
24,Tax,67.00,210.75,118.50,122.50,108.45,,2018,aartiindustries
25,P/L After Tax from Ordinary Activities,546.00,1288.85,513.50,523.36,469.30,,2018,aartiindustries
26,Prior Year Adjustments,--,--,--,--,--,,2018,aartiindustries
27,Extra Ordinary Items,--,--,--,--,--,,2018,aartiindustries
28,Net Profit/(Loss) For the Period,546.00,1288.85,513.50,523.36,469.30,,2018,aartiindustries
29,Equity Share Capital,181.00,181.25,87.12,87.12,43.33,,2018,aartiindustries
30,Reserves Excluding Revaluation Reserves,4739.70,5604.17,3324.62,2814.69,2517.08,,2018,aartiindustries
31,Equity Dividend Rate (%),50.00,70.00,60.00,70.00,220.00,,2018,aartiindustries
32,EPS Before Extra Ordinary,,,,,,,2018,aartiindustries
33,Basic EPS,15.06,35.55,29.47,30.04,57.63,,2018,aartiindustries
34,Diluted EPS,15.06,35.55,29.47,30.04,57.63,,2018,aartiindustries
35,EPS After Extra Ordinary,,,,,,,2018,aartiindustries
36,Basic EPS.,15.06,35.55,29.47,30.04,57.63,,2018,aartiindustries
37,Diluted EPS.,15.06,35.55,29.47,30.04,57.63,,2018,aartiindustries
38,Public Share Holding,,,,,,,2018,aartiindustries
39,No Of Shares (Crores),--,--,--,--,--,,2018,aartiindustries
40,Share Holding (%),--,--,--,--,--,,2018,aartiindustries
41,Promoters and Promoter Group Shareholding,,,,,,,2018,aartiindustries
42,a) Pledged/Encumbered,,,,,,,2018,aartiindustries
43,- Number of shares (Crores),--,--,--,--,--,,2018,aartiindustries
44,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,,2018,aartiindustries
45,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,,2018,aartiindustries
46,b) Non-encumbered,,,,,,,2018,aartiindustries
47,- Number of shares (Crores).,--,--,--,--,--,,2018,aartiindustries
48,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,,2018,aartiindustries
49,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,,2018,aartiindustries
