,0,1,2,3,4,5,6,Stock
39,Short Term Loans And Advances,4.94,18.51,17.88,366.53,15.84,,abbindia
40,OtherCurrentAssets,737.78,1036.16,1323.32,1624.74,3419.39,,abbindia
41,Total Current Assets,7898.60,6635.34,6083.64,6398.19,7525.12,,abbindia
42,Total Assets,9318.23,8072.74,7590.50,7700.83,9076.90,,abbindia
43,OTHER ADDITIONAL INFORMATION,,,,,,,abbindia
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,abbindia
45,Contingent Liabilities,1157.42,662.86,641.50,882.48,889.37,,abbindia
46,CIF VALUE OF IMPORTS,,,,,,,abbindia
47,Raw Materials,0.00,0.00,0.00,0.00,0.00,,abbindia
48,"Stores, Spares And Loose Tools",0.00,0.00,0.00,0.00,0.00,,abbindia
49,Trade/Other Goods,0.00,0.00,0.00,0.00,0.00,,abbindia
50,Capital Goods,0.00,0.00,0.00,0.00,0.00,,abbindia
51,EXPENDITURE IN FOREIGN EXCHANGE,,,,,,,abbindia
52,Expenditure In Foreign Currency,4460.54,3058.68,2401.95,3749.80,4559.00,,abbindia
53,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,,,,,,,abbindia
54,Dividend Remittance In Foreign Currency,--,--,--,--,--,,abbindia
55,EARNINGS IN FOREIGN EXCHANGE,,,,,,,abbindia
56,FOB Value Of Goods,--,--,--,--,--,,abbindia
57,Other Earnings,1013.17,871.75,949.96,1468.03,1634.00,,abbindia
58,BONUS DETAILS,,,,,,,abbindia
59,Bonus Equity Share Capital,18.79,18.79,18.79,18.79,18.79,,abbindia
60,NON-CURRENT INVESTMENTS,,,,,,,abbindia
61,Non-Current Investments Quoted Market Value,--,--,--,--,--,,abbindia
62,Non-Current Investments Unquoted Book Value,--,--,--,--,0.09,,abbindia
63,CURRENT INVESTMENTS,,,,,,,abbindia
64,Current Investments Quoted Market Value,--,--,--,--,--,,abbindia
65,Current Investments Unquoted Book Value,493.15,--,0.08,0.08,0.08,,abbindia
0,Balance Sheet of ACC (in Rs. Cr.),Mar 23,Dec 21,Dec 20,Dec 19,Dec 18,,acc
1,,15 mths,12 mths,12 mths,12 mths,12 mths,,acc
2,EQUITIES AND LIABILITIES,,,,,,,acc
3,SHAREHOLDER'S FUNDS,,,,,,,acc
4,Equity Share Capital,187.99,187.99,187.99,187.99,187.99,,acc
5,Total Share Capital,187.99,187.99,187.99,187.99,187.99,,acc
6,Reserves and Surplus,13950.48,14120.84,12511.14,11355.78,10343.91,,acc
7,Total Reserves and Surplus,13950.48,14120.84,12511.14,11355.78,10343.91,,acc
8,Total Shareholders Funds,14138.47,14308.83,12699.13,11543.77,10531.90,,acc
9,Minority Interest,3.48,3.35,3.24,3.16,3.03,,acc
10,NON-CURRENT LIABILITIES,,,,,,,acc
11,Long Term Borrowings,0.00,0.00,0.00,0.00,0.00,,acc
12,Deferred Tax Liabilities [Net],457.33,403.70,394.79,655.72,674.57,,acc
13,Other Long Term Liabilities,125.68,101.37,83.98,0.00,0.00,,acc
14,Long Term Provisions,177.80,215.55,214.83,235.10,140.29,,acc
15,Total Non-Current Liabilities,760.81,720.62,693.60,890.82,814.86,,acc
16,CURRENT LIABILITIES,,,,,,,acc
17,Short Term Borrowings,0.00,0.00,0.00,0.00,0.00,,acc
18,Trade Payables,1493.39,1904.89,1422.23,1474.98,1926.26,,acc
19,Other Current Liabilities,4137.54,4085.45,3366.16,3199.86,2752.60,,acc
20,Short Term Provisions,10.08,15.70,15.87,23.39,27.30,,acc
21,Total Current Liabilities,5641.01,6006.04,4804.26,4698.23,4706.16,,acc
22,Total Capital And Liabilities,20543.77,21038.84,18200.23,17135.98,16055.95,,acc
23,ASSETS,,,,,,,acc
24,NON-CURRENT ASSETS,,,,,,,acc
25,Tangible Assets,7363.87,6696.03,6638.27,6976.89,7035.18,,acc
26,Intangible Assets,144.25,49.95,45.98,34.27,37.42,,acc
27,Capital Work-In-Progress,1684.00,1245.04,548.11,445.67,397.78,,acc
28,Fixed Assets,9192.12,7991.02,7232.36,7456.83,7470.38,,acc
29,Non-Current Investments,163.31,149.55,129.27,116.18,104.10,,acc
30,Deferred Tax Assets [Net],0.00,0.00,0.00,0.00,0.00,,acc
31,Long Term Loans And Advances,8.86,10.02,135.91,143.76,169.14,,acc
32,Other Non-Current Assets,2920.56,2515.10,2243.87,1869.07,1612.32,,acc
33,Total Non-Current Assets,12288.62,10669.46,9751.60,9601.41,9371.51,,acc
34,CURRENT ASSETS,,,,,,,acc
35,Current Investments,0.00,0.00,0.00,0.00,0.00,,acc
36,Inventories,1624.20,1273.91,901.27,1141.93,1679.39,,acc
37,Trade Receivables,869.24,489.02,451.41,626.65,867.37,,acc
38,Cash And Cash Equivalents,414.71,7523.71,6005.70,4647.73,3096.98,,acc
39,Short Term Loans And Advances,5.76,6.60,58.99,29.02,77.30,,acc
40,OtherCurrentAssets,5341.24,1076.14,1031.26,1089.24,963.40,,acc
41,Total Current Assets,8255.15,10369.38,8448.63,7534.57,6684.44,,acc
42,Total Assets,20543.77,21038.84,18200.23,17135.98,16055.95,,acc
43,OTHER ADDITIONAL INFORMATION,,,,,,,acc
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,acc
45,Contingent Liabilities,4145.82,3842.58,3862.59,2670.09,2328.96,,acc
46,BONUS DETAILS,,,,,,,acc
47,Bonus Equity Share Capital,91.95,91.95,91.95,91.95,91.95,,acc
48,NON-CURRENT INVESTMENTS,,,,,,,acc
49,Non-Current Investments Quoted Market Value,0.00,0.00,0.00,0.00,0.00,,acc
50,Non-Current Investments Unquoted Book Value,18.40,18.40,8.20,3.70,3.70,,acc
51,CURRENT INVESTMENTS,,,,,,,acc
52,Current Investments Quoted Market Value,0.00,0.00,0.00,0.00,0.00,,acc
53,Current Investments Unquoted Book Value,0.00,0.00,0.00,0.00,0.00,,acc
0,Balance Sheet of AU Small Finance Bank (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,ausmallfinancebank
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,ausmallfinancebank
2,EQUITIES AND LIABILITIES,,,,,,,ausmallfinancebank
3,SHAREHOLDER'S FUNDS,,,,,,,ausmallfinancebank
4,Equity Share Capital,666.75,314.90,312.21,304.12,292.36,,ausmallfinancebank
5,Total Share Capital,666.75,314.90,312.21,304.12,292.36,,ausmallfinancebank
6,Revaluation Reserve,0.00,0.00,0.00,0.00,0.00,,ausmallfinancebank
7,Reserves and Surplus,10266.57,7157.78,5859.89,4020.56,2652.59,,ausmallfinancebank
8,Total Reserves and Surplus,10266.57,7157.78,5859.89,4020.56,2652.59,,ausmallfinancebank
9,Total ShareHolders Funds,10977.34,7514.01,6275.22,4376.81,3162.89,,ausmallfinancebank
10,Deposits,69364.99,52584.62,35979.31,26163.93,19422.44,,ausmallfinancebank
11,Borrowings,6298.65,5990.78,7029.70,10335.32,8613.36,,ausmallfinancebank
12,Other Liabilities and Provisions,3575.14,2988.39,2307.08,1267.01,1424.11,,ausmallfinancebank
13,Total Capital and Liabilities,90216.12,69077.80,51591.31,42143.07,32622.80,,ausmallfinancebank
14,ASSETS,,,,,,,ausmallfinancebank
15,Cash and Balances with Reserve Bank of India,8916.09,2468.41,1569.35,1049.64,811.14,,ausmallfinancebank
16,Balances with Banks Money at Call and Short Notice,509.08,3460.11,3211.99,2320.04,929.05,,ausmallfinancebank
17,Investments,20072.01,15306.50,10815.41,10668.22,7161.67,,ausmallfinancebank
18,Advances,58421.54,46095.26,34608.91,26992.42,22818.73,,ausmallfinancebank
19,Fixed Assets,740.14,622.57,482.37,448.00,447.03,,ausmallfinancebank
20,Other Assets,1557.25,1124.95,903.27,664.76,455.17,,ausmallfinancebank
21,Total Assets,90216.12,69077.80,51591.31,42143.07,32622.80,,ausmallfinancebank
22,OTHER ADDITIONAL INFORMATION,,,,,,,ausmallfinancebank
23,Number of Branches,474.00,919.00,744.00,406.00,322.00,,ausmallfinancebank
24,Number of Employees,28320.00,27817.00,22484.00,17112.00,12623.00,,ausmallfinancebank
25,Capital Adequacy Ratios (%),23.59,20.99,23.40,21.99,19.31,,ausmallfinancebank
26,KEY PERFORMANCE INDICATORS,,,,,,,ausmallfinancebank
27,Tier 1 (%),21.78,19.69,21.50,18.36,15.96,,ausmallfinancebank
28,Tier 2 (%),1.81,1.30,1.90,3.63,3.35,,ausmallfinancebank
29,ASSETS QUALITY,,,,,,,ausmallfinancebank
30,Gross NPA,981.31,924.38,1502.83,457.78,470.14,,ausmallfinancebank
31,Gross NPA (%),1.66,2.00,4.00,2.00,2.00,,ausmallfinancebank
32,Net NPA,286.16,271.85,755.46,217.30,294.50,,ausmallfinancebank
33,Net NPA (%),0.42,0.50,2.18,0.81,1.29,,ausmallfinancebank
34,Net NPA To Advances (%),0.42,1.00,2.00,1.00,1.00,,ausmallfinancebank
35,"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,ausmallfinancebank
36,Bills for Collection,0.00,0.00,0.00,0.00,0.00,,ausmallfinancebank
37,Contingent Liabilities,3498.59,2107.61,1220.84,1360.05,502.14,,ausmallfinancebank
0,Balance Sheet of Aarti Industries (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,aartiindustries
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,aartiindustries
2,EQUITIES AND LIABILITIES,,,,,,,aartiindustries
3,SHAREHOLDER'S FUNDS,,,,,,,aartiindustries
4,Equity Share Capital,181.25,181.25,87.12,87.12,43.33,,aartiindustries
5,Total Share Capital,181.25,181.25,87.12,87.12,43.33,,aartiindustries
6,Reserves and Surplus,4738.81,5733.21,3415.27,2891.14,2586.71,,aartiindustries
7,Total Reserves and Surplus,4738.81,5733.21,3415.78,2891.65,2587.22,,aartiindustries
8,Total Shareholders Funds,4920.06,5914.46,3502.90,2978.77,2630.55,,aartiindustries
9,Minority Interest,0.72,0.72,12.24,94.62,83.95,,aartiindustries
10,NON-CURRENT LIABILITIES,,,,,,,aartiindustries
11,Long Term Borrowings,634.71,930.41,1268.05,580.84,814.80,,aartiindustries
12,Deferred Tax Liabilities [Net],0.00,250.23,233.94,211.01,193.01,,aartiindustries
13,Other Long Term Liabilities,242.07,240.03,224.41,550.89,203.24,,aartiindustries
14,Long Term Provisions,0.00,0.00,0.00,0.00,0.00,,aartiindustries
15,Total Non-Current Liabilities,876.78,1420.67,1726.40,1342.74,1211.05,,aartiindustries
16,CURRENT LIABILITIES,,,,,,,aartiindustries
17,Short Term Borrowings,2239.32,1287.21,1224.07,1229.67,1290.83,,aartiindustries
18,Trade Payables,404.93,490.08,576.33,345.16,279.28,,aartiindustries
19,Other Current Liabilities,109.23,456.62,559.62,301.63,319.64,,aartiindustries
20,Short Term Provisions,29.86,103.04,40.12,39.91,42.42,,aartiindustries
21,Total Current Liabilities,2783.34,2336.95,2400.14,1916.37,1932.17,,aartiindustries
22,Total Capital And Liabilities,8580.90,9672.80,7641.68,6332.50,5857.94,,aartiindustries
23,ASSETS,,,,,,,aartiindustries
24,NON-CURRENT ASSETS,,,,,,,aartiindustries
25,Tangible Assets,4859.48,4417.74,3592.48,2467.57,2145.36,,aartiindustries
26,Intangible Assets,1.47,0.19,0.10,0.50,0.90,,aartiindustries
27,Capital Work-In-Progress,988.98,1490.38,1297.91,1417.64,794.57,,aartiindustries
28,Fixed Assets,5957.17,5908.31,4890.49,3885.71,2940.83,,aartiindustries
29,Non-Current Investments,17.17,73.13,63.52,37.01,33.16,,aartiindustries
30,Deferred Tax Assets [Net],52.78,0.00,0.00,0.00,0.00,,aartiindustries
31,Long Term Loans And Advances,0.00,0.00,0.00,0.00,0.00,,aartiindustries
32,Other Non-Current Assets,94.50,417.66,320.07,404.49,306.43,,aartiindustries
33,Total Non-Current Assets,6121.62,6399.10,5274.08,4327.63,3280.84,,aartiindustries
34,CURRENT ASSETS,,,,,,,aartiindustries
35,Current Investments,0.00,0.00,0.00,0.00,0.00,,aartiindustries
36,Inventories,1031.05,1411.33,935.68,835.68,771.79,,aartiindustries
37,Trade Receivables,940.49,1390.50,793.73,753.44,776.04,,aartiindustries
38,Cash And Cash Equivalents,200.73,256.84,412.32,247.29,804.20,,aartiindustries
39,Short Term Loans And Advances,0.00,0.00,0.00,0.00,0.00,,aartiindustries
40,OtherCurrentAssets,287.01,215.03,225.87,168.46,225.07,,aartiindustries
41,Total Current Assets,2459.28,3273.70,2367.60,2004.87,2577.10,,aartiindustries
42,Total Assets,8580.90,9672.80,7641.68,6332.50,5857.94,,aartiindustries
43,OTHER ADDITIONAL INFORMATION,,,,,,,aartiindustries
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,aartiindustries
45,Contingent Liabilities,652.82,1008.90,439.02,568.36,406.72,,aartiindustries
46,BONUS DETAILS,,,,,,,aartiindustries
47,Bonus Equity Share Capital,159.21,159.21,72.74,72.74,28.96,,aartiindustries
48,NON-CURRENT INVESTMENTS,,,,,,,aartiindustries
49,Non-Current Investments Quoted Market Value,0.00,0.00,0.00,0.00,0.00,,aartiindustries
50,Non-Current Investments Unquoted Book Value,17.17,73.13,63.52,37.01,33.16,,aartiindustries
51,CURRENT INVESTMENTS,,,,,,,aartiindustries
52,Current Investments Quoted Market Value,0.00,0.00,0.00,0.00,0.00,,aartiindustries
53,Current Investments Unquoted Book Value,0.00,0.00,0.00,0.00,0.00,,aartiindustries
0,Balance Sheet of Abbott India (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,abbottindia
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,abbottindia
2,EQUITIES AND LIABILITIES,,,,,,,abbottindia
3,SHAREHOLDER'S FUNDS,,,,,,,abbottindia
4,Equity Share Capital,21.25,21.25,21.25,21.25,21.25,,abbottindia
5,Total Share Capital,21.25,21.25,21.25,21.25,21.25,,abbottindia
6,Reserves and Surplus,3167.29,2798.54,2580.91,2410.46,1987.34,,abbottindia
7,Total Reserves and Surplus,3167.29,2798.54,2580.91,2410.46,1987.34,,abbottindia
8,Total Shareholders Funds,3188.54,2819.79,2602.16,2431.71,2008.59,,abbottindia
9,NON-CURRENT LIABILITIES,,,,,,,abbottindia
10,Long Term Borrowings,0.00,0.00,0.00,0.00,0.00,,abbottindia
11,Deferred Tax Liabilities [Net],0.00,0.00,0.00,0.00,0.00,,abbottindia
12,Other Long Term Liabilities,67.49,108.74,117.68,139.20,0.00,,abbottindia
13,Long Term Provisions,93.46,92.40,89.75,84.84,75.43,,abbottindia
14,Total Non-Current Liabilities,160.95,201.14,207.43,224.04,75.43,,abbottindia
15,CURRENT LIABILITIES,,,,,,,abbottindia
16,Short Term Borrowings,0.00,0.00,0.00,0.00,0.00,,abbottindia
17,Trade Payables,891.99,889.45,762.67,657.77,663.52,,abbottindia
18,Other Current Liabilities,187.84,185.88,152.23,125.88,98.04,,abbottindia
19,Short Term Provisions,126.19,127.86,115.96,107.45,95.33,,abbottindia
20,Total Current Liabilities,1206.02,1203.19,1030.86,891.10,856.89,,abbottindia
21,Total Capital And Liabilities,4555.51,4224.12,3840.45,3546.85,2940.91,,abbottindia
22,ASSETS,,,,,,,abbottindia
23,NON-CURRENT ASSETS,,,,,,,abbottindia
24,Tangible Assets,229.39,262.37,249.61,268.93,103.11,,abbottindia
25,Intangible Assets,7.52,8.63,1.17,0.90,1.85,,abbottindia
26,Capital Work-In-Progress,3.66,0.66,0.66,1.64,0.73,,abbottindia
27,Other Assets,0.00,0.00,0.00,0.00,0.00,,abbottindia
28,Fixed Assets,240.57,271.66,251.44,271.47,105.69,,abbottindia
29,Non-Current Investments,0.00,0.00,0.00,0.00,0.00,,abbottindia
30,Deferred Tax Assets [Net],16.93,16.96,17.81,14.44,13.07,,abbottindia
31,Long Term Loans And Advances,0.00,0.00,14.35,16.78,16.11,,abbottindia
32,Other Non-Current Assets,1272.90,82.46,38.33,39.51,45.06,,abbottindia
33,Total Non-Current Assets,1530.40,371.08,321.93,342.21,179.93,,abbottindia
34,CURRENT ASSETS,,,,,,,abbottindia
35,Current Investments,0.00,0.00,0.00,0.00,0.00,,abbottindia
36,Inventories,648.85,687.82,717.59,527.17,606.79,,abbottindia
37,Trade Receivables,316.95,288.16,250.21,317.91,276.11,,abbottindia
38,Cash And Cash Equivalents,1937.06,2749.22,2409.04,2197.37,1684.28,,abbottindia
39,Short Term Loans And Advances,0.00,0.00,4.95,6.14,7.30,,abbottindia
40,OtherCurrentAssets,122.25,127.84,136.73,156.04,186.50,,abbottindia
41,Total Current Assets,3025.11,3853.04,3518.52,3204.64,2760.98,,abbottindia
42,Total Assets,4555.51,4224.12,3840.45,3546.85,2940.91,,abbottindia
43,OTHER ADDITIONAL INFORMATION,,,,,,,abbottindia
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,abbottindia
45,Contingent Liabilities,106.06,123.78,123.51,110.98,40.60,,abbottindia
46,CIF VALUE OF IMPORTS,,,,,,,abbottindia
47,Raw Materials,576.48,503.37,530.55,519.52,481.89,,abbottindia
48,"Stores, Spares And Loose Tools",0.00,0.00,0.00,0.00,0.00,,abbottindia
49,Trade/Other Goods,0.00,0.00,0.00,0.00,0.00,,abbottindia
50,Capital Goods,0.00,0.00,0.00,0.00,0.00,,abbottindia
51,EXPENDITURE IN FOREIGN EXCHANGE,,,,,,,abbottindia
52,Expenditure In Foreign Currency,5.27,8.32,8.31,8.60,9.95,,abbottindia
53,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,,,,,,,abbottindia
54,Dividend Remittance In Foreign Currency,--,--,--,--,--,,abbottindia
55,EARNINGS IN FOREIGN EXCHANGE,,,,,,,abbottindia
56,FOB Value Of Goods,22.12,35.02,29.53,11.77,18.02,,abbottindia
57,Other Earnings,8.86,6.43,5.81,21.43,18.88,,abbottindia
58,BONUS DETAILS,,,,,,,abbottindia
59,Bonus Equity Share Capital,13.50,13.50,13.50,13.50,13.50,,abbottindia
60,NON-CURRENT INVESTMENTS,,,,,,,abbottindia
61,Non-Current Investments Quoted Market Value,--,--,--,--,--,,abbottindia
62,Non-Current Investments Unquoted Book Value,--,--,--,--,--,,abbottindia
63,CURRENT INVESTMENTS,,,,,,,abbottindia
64,Current Investments Quoted Market Value,--,--,--,--,--,,abbottindia
65,Current Investments Unquoted Book Value,--,--,--,--,--,,abbottindia
0,Balance Sheet of Adani Enterprises (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,adanienterprises
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,adanienterprises
2,EQUITIES AND LIABILITIES,,,,,,,adanienterprises
3,SHAREHOLDER'S FUNDS,,,,,,,adanienterprises
4,Equity Share Capital,114.00,109.98,109.98,109.98,109.98,,adanienterprises
5,Total Share Capital,114.00,109.98,109.98,109.98,109.98,,adanienterprises
6,Reserves and Surplus,31759.89,21506.53,17048.59,16836.59,14645.96,,adanienterprises
7,Total Reserves and Surplus,31759.89,21506.53,17048.59,16836.59,14645.96,,adanienterprises
8,Total Shareholders Funds,31873.89,21616.51,17158.57,16946.57,14755.94,,adanienterprises
9,Minority Interest,4839.04,4671.86,1751.44,1263.37,387.77,,adanienterprises
10,NON-CURRENT LIABILITIES,,,,,,,adanienterprises
11,Long Term Borrowings,32590.03,20803.43,9523.30,3515.81,2992.22,,adanienterprises
12,Deferred Tax Liabilities [Net],2979.91,2606.27,26.14,23.30,0.00,,adanienterprises
13,Other Long Term Liabilities,22823.29,7293.37,1623.50,1797.43,1841.03,,adanienterprises
14,Long Term Provisions,401.49,278.97,76.82,63.00,49.93,,adanienterprises
15,Total Non-Current Liabilities,58794.72,30982.04,11249.76,5399.54,4883.18,,adanienterprises
16,CURRENT LIABILITIES,,,,,,,adanienterprises
17,Short Term Borrowings,5729.59,20220.34,5770.01,8136.84,6959.14,,adanienterprises
18,Trade Payables,28546.85,17647.82,11756.34,11813.66,11988.73,,adanienterprises
19,Other Current Liabilities,10405.59,5885.89,3891.98,3276.92,3508.72,,adanienterprises
20,Short Term Provisions,121.02,95.73,64.76,61.46,52.70,,adanienterprises
21,Total Current Liabilities,44803.05,43849.78,21483.09,23288.88,22509.29,,adanienterprises
22,Total Capital And Liabilities,141487.82,101760.19,51642.86,46898.36,42536.18,,adanienterprises
23,ASSETS,,,,,,,adanienterprises
24,NON-CURRENT ASSETS,,,,,,,adanienterprises
25,Tangible Assets,49858.23,20821.32,5678.88,6478.61,5767.61,,adanienterprises
26,Intangible Assets,6135.74,9000.53,5006.76,3858.72,3198.28,,adanienterprises
27,Capital Work-In-Progress,17698.96,19564.17,8686.27,7231.14,5764.92,,adanienterprises
28,Fixed Assets,80019.18,53366.27,19511.10,17684.06,14730.81,,adanienterprises
29,Non-Current Investments,6145.17,4229.19,5473.43,1897.53,1508.53,,adanienterprises
30,Deferred Tax Assets [Net],209.34,173.83,76.54,272.77,349.31,,adanienterprises
31,Long Term Loans And Advances,4577.03,6236.53,3199.01,945.87,1376.46,,adanienterprises
32,Other Non-Current Assets,12528.21,6508.06,3267.50,1776.08,1388.84,,adanienterprises
33,Total Non-Current Assets,104366.09,70814.80,31679.55,22715.44,19408.17,,adanienterprises
34,CURRENT ASSETS,,,,,,,adanienterprises
35,Current Investments,165.00,63.02,29.51,54.96,2.82,,adanienterprises
36,Inventories,6918.05,6788.28,1757.04,2562.37,2668.82,,adanienterprises
37,Trade Receivables,12552.88,13712.19,11982.65,13146.53,14307.03,,adanienterprises
38,Cash And Cash Equivalents,5373.69,3915.86,1810.82,3376.68,1709.28,,adanienterprises
39,Short Term Loans And Advances,4522.63,1452.84,1413.10,1959.86,2238.77,,adanienterprises
40,OtherCurrentAssets,7589.48,5013.20,2970.19,3082.52,2201.29,,adanienterprises
41,Total Current Assets,37121.73,30945.39,19963.31,24182.92,23128.01,,adanienterprises
42,Total Assets,141487.82,101760.19,51642.86,46898.36,42536.18,,adanienterprises
43,OTHER ADDITIONAL INFORMATION,,,,,,,adanienterprises
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,adanienterprises
45,Contingent Liabilities,42708.91,23396.58,12661.10,12097.09,7804.46,,adanienterprises
46,BONUS DETAILS,,,,,,,adanienterprises
47,Bonus Equity Share Capital,41.84,41.84,41.84,41.84,41.84,,adanienterprises
48,NON-CURRENT INVESTMENTS,,,,,,,adanienterprises
49,Non-Current Investments Quoted Market Value,0.00,0.00,0.00,0.00,0.00,,adanienterprises
50,Non-Current Investments Unquoted Book Value,168.90,4229.19,5473.43,1897.53,1508.53,,adanienterprises
51,CURRENT INVESTMENTS,,,,,,,adanienterprises
52,Current Investments Quoted Market Value,0.00,0.00,0.00,0.00,0.00,,adanienterprises
53,Current Investments Unquoted Book Value,165.00,63.02,29.51,54.96,2.82,,adanienterprises
0,Balance Sheet of Adani Ports and Special Economic Zone (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,adaniportsspecialeconomiczone
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,adaniportsspecialeconomiczone
2,EQUITIES AND LIABILITIES,,,,,,,adaniportsspecialeconomiczone
3,SHAREHOLDER'S FUNDS,,,,,,,adaniportsspecialeconomiczone
4,Equity Share Capital,432.03,422.47,406.35,406.35,414.19,,adaniportsspecialeconomiczone
5,Total Share Capital,557.76,537.82,512.18,503.44,580.07,,adaniportsspecialeconomiczone
6,Reserves and Surplus,44985.02,37661.00,30035.38,25050.61,24124.01,,adaniportsspecialeconomiczone
7,Total Reserves and Surplus,44985.02,37661.00,30035.38,25050.61,24124.01,,adaniportsspecialeconomiczone
8,Total Shareholders Funds,45542.78,38198.82,30547.56,25554.05,24704.08,,adaniportsspecialeconomiczone
9,Minority Interest,1338.51,392.77,1464.93,219.59,209.94,,adaniportsspecialeconomiczone
10,NON-CURRENT LIABILITIES,,,,,,,adaniportsspecialeconomiczone
11,Long Term Borrowings,46391.21,39576.13,32829.70,26084.24,19717.44,,adaniportsspecialeconomiczone
12,Deferred Tax Liabilities [Net],3186.37,2207.34,1203.16,286.97,216.03,,adaniportsspecialeconomiczone
13,Other Long Term Liabilities,4153.42,3167.69,1989.15,2187.59,1324.38,,adaniportsspecialeconomiczone
14,Long Term Provisions,1201.75,32.04,26.68,8.23,3.90,,adaniportsspecialeconomiczone
15,Total Non-Current Liabilities,54932.75,44983.20,36048.69,28567.03,21261.75,,adaniportsspecialeconomiczone
16,CURRENT LIABILITIES,,,,,,,adaniportsspecialeconomiczone
17,Short Term Borrowings,3302.37,5761.56,1465.45,1544.12,6545.87,,adaniportsspecialeconomiczone
18,Trade Payables,2527.35,979.59,1013.85,728.74,572.07,,adaniportsspecialeconomiczone
19,Other Current Liabilities,6546.81,4290.46,4660.92,5317.31,3134.50,,adaniportsspecialeconomiczone
